File Name,Average Precision with Candidate Guidance,Average Precision without Candidate Guidance,Average Sequence Matcher Similarity with Candidate Guidance,Average Sequence Matcher Similarity without Candidate Guidance
exercise_2_01_types_ranges_result,21.914901270602876,9.369920567219905,27.914325145607116,12.08559055629496
exercise_7_08_print_result,31.380116652411658,14.884990091267055,33.77032356364129,16.24459950881587
exercise_4_14_swap_result,27.510189726192664,12.72494408936474,29.620455290074094,14.124125083044778
exercise_5_03_strcat_result,27.89695942232162,16.430689801404313,30.22410199232602,16.495646784878815
exercise_1_05_celsius_fahrenheit_result,23.926186532299766,16.626570348251796,30.50037965792377,21.367602855863307
exercise_5_06_getop_result,23.645337250576272,10.554625531558669,22.28114091513784,11.779012653841049
exercise_5_08_date_conversion_result,25.487459466585054,14.690302962723003,31.734386964442834,19.30861299720982
exercise_1_17_line_80_result,25.355202141423465,13.45630562514579,28.271824115596978,12.717700833373287
exercise_1_10_copy_io_esc_replace_result,40.06209542603499,32.13033273532658,35.09635631159764,26.028815684012883
exercise_5_04_strend_result,23.601667460026828,9.35570324489288,28.189954652805007,10.856938730232692
exercise_7_05_calculator_result,30.78041224492261,20.013911608461008,28.199289959679515,15.961957614973835
exercise_2_07_invert_result,21.105078065242516,10.077363802834997,23.960626598090176,12.874734111022537
exercise_2_09_bitcount_result,27.517292718252058,16.839586830850255,32.7110728227418,18.59218849736979
exercise_8_01_cat_result,27.135143777888366,15.27280054578126,28.270088036961965,15.279461537712955
exercise_4_04_stack_result,28.022119108506168,16.024594175700596,28.714089125425357,15.130423165843037
exercise_7_07_find_result,26.91765491094507,13.428535981103277,27.210452221994082,13.058909375609689
exercise_2_08_rightrot_result,26.679982212031476,17.09380521143387,29.217726153014834,16.87659094653161
exercise_1_02_printf_argument_result,51.274572649572654,20.87168902648779,58.945822193167075,29.320072223165294
exercise_5_10_expr_result,32.63027170496425,18.647703141079838,29.437245059419237,14.718828251884133
exercise_4_05_math_result,28.041299574810964,16.424658271668417,28.549240863991564,15.983611960249863
exercise_7_03_minprintf_result,31.337489618641897,20.26998869128172,30.094126049040902,17.47616706143153
exercise_1_14_frequency_histogram_result,32.87233512645725,19.22777941710608,31.847236425458064,16.081002918662065
exercise_4_07_ungets_result,29.621646672632732,13.271479705658328,34.51356120064919,15.800378807489482
exercise_5_12_detab_result,29.434418420940382,15.041000554455938,25.492895772204694,12.093939426865415
exercise_1_01_hello_world_result,39.86476812947401,30.219576719576715,47.12730674109549,35.07905855112293
exercise_5_07_readlines_result,27.118028892072314,15.468156017427074,29.84544158901914,16.549233315423166
exercise_5_19_undcl_result,27.014337241233658,16.26183150298483,24.621416201803676,14.766204084117563
exercise_6_03_cross_referencer_result,27.59401880352326,14.587415781937858,27.74303642722971,14.500358877447676
exercise_5_06_reverse_result,29.563844054512035,12.678634065022008,30.48308190856204,11.64831233586231
exercise_6_01_count_c_keywords_result,30.33313290713518,18.72612630223433,28.479712017142106,16.931997272523457
exercise_5_20_dcl_result,27.985409056468498,17.97314316178943,25.99591039132881,15.439006314973259
exercise_6_06_define_result,28.08668346615149,15.466592927789842,27.029210511480034,14.41618086243723
exercise_6_02_var_group_result,27.412749730214546,15.53778449004398,26.945869847188717,14.887403634143531
exercise_1_22_fold_line_result,25.496157298054655,12.420805850045175,25.36014254489592,10.661654352835793
exercise_8_04_syscalls_result,28.205313497286564,13.177341212258364,28.7923632365453,13.754028402108098
exercise_6_05_undef_result,28.605869244020585,16.02764533955839,28.50151355138908,15.886032230780106
exercise_1_16_longest_line_result,33.812893066118846,13.88487573477461,35.346388383419935,13.63896765370089
exercise_7_06_compare_result,28.426953225040897,15.21513359996082,31.34958733520345,15.88567633159513
exercise_3_03_expand_result,22.12592412808882,11.259395073543992,20.744083345440476,8.794908937465523
