Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.8398387225677895,7.142857142857143,0.12,2.627961710408444,6.666666666666667,0.09,2.8398387225677895,7.142857142857143,0.09
3,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.0,0.07
3,6.413885305524152,37.5,0.34,2.5197593442434796,15.0,0.44,2.719665272174911,11.764705882352942,0.19
15,1.8160849415439309,4.761904761904762,0.1,0.0,0.0,0.05,3.7477767366779213,9.090909090909092,0.26
4,0.0,0.0,0.19,0.0,0.0,0.18,0.0,0.0,0.19
3,6.178110636313396,15.384615384615385,0.11,0.0,0.0,0.0,7.495553473355842,18.181818181818183,0.15
1,0.7947529289544674,2.1739130434782608,0.02,,,,,,
2,6.837203339116283,23.076923076923077,0.45,31.947155212313625,50.0,0.91,,,
16,3.0890553181566975,7.6923076923076925,0.22,0.0,0.0,0.22,0.0,0.0,0.01
4,1.3353534059549443,3.5714285714285716,0.09,0.46833399312669227,1.2987012987012987,0.04,3.0890553181566975,7.6923076923076925,0.22
3,16.233395773754953,33.333333333333336,0.29,0.0,0.0,0.0,13.134549472120788,28.571428571428573,0.27
1,3.0890553181566975,7.6923076923076925,0.06,,,,,,
1,0.0,0.0,0.0,,,,,,
1,0.5238546714708301,1.4492753623188406,0.01,,,,,,
24,2.627961710408444,6.666666666666667,0.14,15.97357760615681,25.0,0.3,1.6466642419110007,4.3478260869565215,0.04
3,0.0,0.0,0.02,0.0,0.0,0.08,0.0,0.0,0.02
3,2.276859592073037,10.0,0.13,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.02,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,0.7605497822189857,2.0833333333333335,0.01,,,,,,
1,23.230436319655343,52.083333333333336,0.46,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15
3,0.7605497822189857,2.0833333333333335,0.05,0.0,0.0,0.4,0.48108068600212583,1.3333333333333333,0.04
3,4.456882760699063,18.181818181818183,0.12,5.669791110976001,22.22222222222222,0.15,4.456882760699063,18.181818181818183,0.11
6,0.0,0.0,0.3,0.0,0.0,0.04,0.0,0.0,0.46
1,0.0,33.333333333333336,0.25,,,,,,
1,5.679677445135579,14.285714285714286,0.09,,,,,,
15,8.116697886877475,16.666666666666668,0.12,3.7477767366779213,9.090909090909092,0.06,8.116697886877475,16.666666666666668,0.12
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
35,0.5844855918911488,1.6129032258064515,0.04,0.0,0.0,0.06,0.0,0.0,0.15
3,0.5568633223045912,1.5384615384615385,0.04,0.5482271666382152,1.5151515151515151,0.03,4.767707020457095,11.11111111111111,0.35
3,3.673526562988939,15.384615384615385,0.12,0.0,100.0,1.0,0.6728248038139728,3.125,0.02
6,0.0,0.0,0.0,4.196114906296549,10.0,0.29,5.522397783539471,12.5,0.42
1,0.0,0.0,0.0,,,,,,
1,21.3643503198117,40.0,0.4,,,,,,
15,0.0,33.333333333333336,0.4,4.196114906296549,10.0,0.08,0.0,33.333333333333336,0.33
1,2.2869567780619007,5.882352941176471,0.04,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.17,0.0,0.0,0.27
6,34.19372521950972,45.45454545454545,0.59,3.564186929405141,25.0,0.28,52.70837136273562,85.71428571428571,0.82
