Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.05,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,0.0,0.0,0.11,0.9964194812460634,2.7027027027027026,0.07,0.0,0.0,0.12
3,4.988641679706251,66.66666666666667,0.31,8.820727472213227,57.142857142857146,0.33,5.154337627145953,26.08695652173913,0.27
15,0.0,0.0,0.09,2.2869567780619007,5.882352941176471,0.17,1.3353534059549443,3.5714285714285716,0.11
4,4.767707020457095,11.11111111111111,0.29,4.196114906296549,10.0,0.29,3.0890553181566975,7.6923076923076925,0.23
3,5.255923420816887,13.333333333333334,0.09,8.392229812593097,20.0,0.15,0.0,0.0,0.0
1,4.196114906296549,10.0,0.08,,,,,,
2,4.9323515694897075,27.272727272727273,0.49,3.176023542809473,14.285714285714286,0.24,,,
16,0.0,0.0,0.17,0.0,0.0,0.31,0.0,0.0,0.16
7,2.8398387225677895,7.142857142857143,0.12,3.0890553181566975,7.6923076923076925,0.14,0.0,0.0,0.5
4,3.482270899863668,12.5,0.17,6.917184228205474,25.0,0.29,5.679677445135579,14.285714285714286,0.25
1,6.567274736060395,14.285714285714286,0.06,,,,,,
1,10.682175159905848,20.0,0.11,,,,,,
24,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.12
3,6.567274736060395,14.285714285714286,0.44,4.196114906296549,10.0,0.24,4.767707020457095,11.11111111111111,0.31
3,0.0,66.66666666666667,0.22,5.669791110976001,22.22222222222222,0.37,5.669791110976001,22.22222222222222,0.34
15,0.0,0.0,0.22,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.21
4,0.0,0.0,0.2,6.567274736060395,14.285714285714286,0.13,2.627961710408444,6.666666666666667,0.03
3,11.044795567078939,25.0,0.17,9.652434877402245,33.333333333333336,0.24,7.495553473355842,18.181818181818183,0.11
1,4.767707020457095,11.11111111111111,0.09,,,,,,
1,0.0,0.0,0.0,,,,,,
1,0.0,0.0,0.0,,,,,,
24,1.2414943415352928,3.3333333333333335,0.06,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,1.9146030690102511,5.0,0.08,0.0,0.0,0.22,0.6488583831481832,1.7857142857142858,0.04
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.57,39.76353643835252,60.0,0.6
15,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.14
1,1.199348129252962,3.225806451612903,0.02,,,,,,
1,25.013885257627877,51.785714285714285,0.37,,,,,,
35,0.0,0.0,0.12,0.48108068600212583,1.3333333333333333,0.03,0.0,0.0,0.09
3,3.7477767366779213,9.090909090909092,0.22,0.0,0.0,0.11,3.3864985683445354,8.333333333333334,0.22
3,1.3355980882200826,6.0606060606060606,0.03,9.652434877402245,33.333333333333336,0.4,2.908317710573757,12.5,0.08
6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
1,15.97357760615681,25.0,0.4,,,,,,
1,0.8321783954793125,2.272727272727273,0.01,,,,,,
35,3.3331687445989306,7.317073170731708,0.12,2.8310852916881273,6.25,0.1,8.116697886877475,16.666666666666668,0.46
