Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,4.196114906296549,10.0,0.16,2.445593937240363,6.25,0.09,2.627961710408444,6.666666666666667,0.08
3,1.123099644603982,3.0303030303030303,0.05,1.6466642419110007,4.3478260869565215,0.08,2.445593937240363,6.25,0.11
3,6.27465531099474,33.333333333333336,0.59,7.267884212102741,37.5,0.67,14.794015674776452,50.0,0.4
15,2.627961710408444,6.666666666666667,0.15,0.5398548275054964,1.492537313432836,0.05,5.522397783539471,12.5,0.33
10,2.445593937240363,6.25,0.11,5.522397783539471,12.5,0.27,0.5398548275054964,1.492537313432836,0.04
4,4.767707020457095,11.11111111111111,0.07,5.522397783539471,12.5,0.07,5.522397783539471,12.5,0.08
4,0.0,0.0,0.33,0.0,0.0,0.07,0.0,0.0,0.07
1,4.767707020457095,11.11111111111111,0.08,,,,,,
1,2.445593937240363,6.25,0.03,,,,,,
24,3.3864985683445354,8.333333333333334,0.15,2.445593937240363,6.25,0.09,15.97357760615681,25.0,0.3
3,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.02
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.21,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,10.682175159905848,20.0,0.13,,,,,,
1,36.08495366064782,72.72727272727273,0.53,,,,,,
35,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.11
3,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.09
1,1.9146030690102511,5.0,0.03,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.15
3,0.0,0.0,0.0,2.627961710408444,6.666666666666667,0.06,0.0,0.0,0.0
2,0.0,0.0,0.13,0.0,0.0,0.0,,,
1,13.134549472120788,28.571428571428573,0.29,,,,,,
15,2.2869567780619007,5.882352941176471,0.05,2.445593937240363,6.25,0.03,0.0,33.333333333333336,0.25
1,8.116697886877475,16.666666666666668,0.15,,,,,,
35,3.0890553181566975,7.6923076923076925,0.05,0.0,0.0,0.0,0.0,0.0,0.0
11,3.7477767366779213,9.090909090909092,0.07,5.522397783539471,12.5,0.14,0.8321783954793125,2.272727272727273,0.01
14,10.682175159905848,20.0,0.67,10.682175159905848,20.0,0.67,10.682175159905848,20.0,0.67
6,59.460355750136046,75.0,0.86,59.460355750136046,75.0,0.86,59.460355750136046,75.0,0.86
14,0.0,100.0,1.0,10.682175159905848,20.0,0.33,0.0,33.333333333333336,0.5
1,0.0,33.333333333333336,0.5,,,,,,
1,2.8398387225677895,7.142857142857143,0.04,,,,,,
35,3.0890553181566975,7.6923076923076925,0.46,0.0,0.0,0.0,0.0,0.0,0.24
6,34.57207846419409,50.0,0.57,0.0,0.0,0.0,26.65837681702885,45.45454545454545,0.59
14,0.0,0.0,0.0,4.196114906296549,10.0,0.17,2.445593937240363,6.25,0.05
1,4.767707020457095,11.11111111111111,0.11,,,,,,
14,0.0,100.0,1.0,0.0,100.0,1.0,1.506189323093867,4.0,0.02
1,0.0,50.0,0.67,,,,,,
1,0.0,100.0,1.0,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.24,0.0,33.333333333333336,0.94
9,0.0,50.0,0.67,0.0,50.0,0.67,2.8398387225677895,7.142857142857143,0.03
1,0.0,50.0,0.4,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
