Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.18,0.0,0.0,0.12,0.0,0.0,0.21
17,0.0,0.0,0.22,0.0,0.0,0.25,0.0,33.333333333333336,0.32
3,0.0,0.0,0.18,0.0,0.0,0.09,0.0,0.0,0.14
1,15.97357760615681,25.0,0.1,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.17,0.0,0.0,0.17
2,0.0,0.0,0.0,0.0,0.0,0.09,,,
1,18.931747781986427,56.52173913043478,0.41,,,,,,
15,1.8160849415439309,4.761904761904762,0.1,2.8398387225677895,7.142857142857143,0.2,2.0244462660665508,5.2631578947368425,0.11
1,7.40354787297858,60.0,0.55,,,,,,
15,2.2869567780619007,5.882352941176471,0.15,1.9146030690102511,5.0,0.13,0.0,0.0,0.36
2,2.1476912089159055,5.555555555555555,0.17,2.445593937240363,6.25,0.18,,,
4,15.97357760615681,25.0,0.15,0.0,33.333333333333336,0.22,2.8398387225677895,7.142857142857143,0.03
2,0.0,0.0,0.11,2.4074859035470344,10.526315789473685,0.12,,,
1,0.0,50.0,0.67,,,,,,
17,5.522397783539471,12.5,0.2,0.0,0.0,0.0,2.908317710573757,12.5,0.18
1,0.0,0.0,0.0,,,,,,
4,2.627961710408444,6.666666666666667,0.15,0.0,33.333333333333336,0.8,2.627961710408444,6.666666666666667,0.19
1,8.116697886877475,16.666666666666668,0.11,,,,,,
17,2.8398387225677895,7.142857142857143,0.05,10.682175159905848,20.0,0.2,0.7772751558853214,2.127659574468085,0.01
4,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.02
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.31
1,0.0,0.0,0.0,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.18,0.0,0.0,0.37,0.0,0.0,0.38
17,0.0,50.0,0.59,0.0,0.0,0.47,0.0,0.0,0.44
2,1.387819277861591,3.7037037037037037,0.12,1.286713095960916,3.4482758620689653,0.1,,,
3,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.07
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.18,0.0,0.0,0.07,0.0,0.0,0.06
19,0.0,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.09
1,1.0885011049519644,2.9411764705882355,0.06,,,,,,
3,0.0,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.02
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
24,0.0,0.0,0.16,0.0,0.0,0.09,0.0,0.0,0.06
19,0.0,0.0,0.14,0.0,0.0,0.41,0.0,0.0,0.13
1,1.2414943415352928,3.3333333333333335,0.05,,,,,,
3,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.09,0.0,0.0,0.0
2,28.117066259517458,60.0,0.67,4.767707020457095,11.11111111111111,0.13,,,
1,6.770186228657864,28.571428571428573,0.17,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,14.535768424205482,42.857142857142854,0.32
29,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.1
2,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.05,,,
2,3.7477767366779213,9.090909090909092,0.1,0.0,0.0,0.0,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.682175159905848,20.0,0.22,0.0,0.0,0.0,,,
1,0.0,33.333333333333336,0.29,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.07
3,18.99589214128981,50.0,0.5,2.445593937240363,6.25,0.06,3.7477767366779213,9.090909090909092,0.08
3,7.129384882260374,55.55555555555556,0.33,9.287528999566801,30.0,0.15,7.809849842300637,50.0,0.28
15,2.445593937240363,6.25,0.12,0.0,0.0,0.02,0.0,0.0,0.2
4,0.0,33.333333333333336,0.17,0.48108068600212583,1.3333333333333333,0.01,1.0253311603116817,2.7777777777777777,0.02
4,0.912490810176151,2.5316455696202533,0.03,0.0,0.0,0.14,1.286713095960916,3.4482758620689653,0.02
1,3.3864985683445354,8.333333333333334,0.08,,,,,,
1,1.9146030690102511,5.0,0.05,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.02
3,6.567274736060395,14.285714285714286,0.36,0.0,0.0,0.15,2.627961710408444,6.666666666666667,0.24
3,22.11154143869056,80.0,0.74,6.9161417925511355,27.272727272727273,0.13,15.8636093934526,58.333333333333336,0.46
15,0.0,0.0,0.22,2.2869567780619007,5.882352941176471,0.18,2.445593937240363,6.25,0.18
4,15.97357760615681,25.0,0.14,0.6044751875664687,1.6666666666666667,0.01,0.6866732953963862,1.8867924528301887,0.01
4,0.9366679862533845,2.5974025974025974,0.03,30.213753973567677,50.0,0.46,2.8310852916881273,6.25,0.05
2,14.323145079400492,41.666666666666664,0.49,1.4780822562194806,9.090909090909092,0.03,,,
16,2.2869567780619007,5.882352941176471,0.09,0.0,0.0,0.27,0.5799975368190927,2.7027027027027026,0.06
1,0.0,0.0,0.0,,,,,,
4,12.703318703865365,40.0,0.35,12.703318703865365,40.0,0.36,2.908317710573757,12.5,0.3
1,0.4504321747452186,1.25,0.01,,,,,,
1,0.5087757562008263,1.408450704225352,0.01,,,,,,
24,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,15.97357760615681,25.0,0.08,0.5317343965184799,1.4705882352941178,0.01
2,2.8398387225677895,7.142857142857143,0.2,0.7947529289544674,2.1739130434782608,0.05,,,
3,8.516593018819643,41.666666666666664,0.38,9.746997877627233,25.0,0.47,3.652945772536268,22.22222222222222,0.2
15,0.0,0.0,0.27,0.0,0.0,0.31,2.1476912089159055,5.555555555555555,0.13
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,10.682175159905848,20.0,0.08,4.02724819242185,16.666666666666668,0.15,4.990049701936832,20.0,0.21
1,0.4504321747452186,1.25,0.01,,,,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,2.445593937240363,6.25,0.05,3.7477767366779213,9.090909090909092,0.06
2,0.9366679862533845,2.5974025974025974,0.05,0.5015572500202529,1.3888888888888888,0.03,,,
3,12.468257194435667,60.0,0.35,2.447822402834545,11.11111111111111,0.11,2.75631563063758,42.857142857142854,0.26
15,0.0,0.0,0.27,4.048892532133102,10.526315789473685,0.19,3.012378646187734,8.0,0.17
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,9.429254736980939,16.0,0.22,5.522397783539471,12.5,0.12,15.310245441182444,25.0,0.31
2,12.30068628846377,33.333333333333336,0.54,13.134549472120788,50.0,0.54,,,
16,3.012378646187734,8.0,0.18,0.0,0.0,0.27,8.116697886877475,16.666666666666668,0.16
1,0.0,0.0,0.0,,,,,,
4,1.9822566267103439,12.0,0.26,10.682175159905848,20.0,0.19,0.8895304663046931,2.4691358024691357,0.08
1,15.97357760615681,25.0,0.18,,,,,,
1,0.0,33.333333333333336,0.25,,,,,,
24,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.06
1,15.97357760615681,25.0,0.47,,,,,,
3,0.0,0.0,0.0,0.0,33.333333333333336,0.12,2.627961710408444,6.666666666666667,0.06
2,2.8398387225677895,7.142857142857143,0.09,0.5356571470331629,2.5,0.05,,,
3,11.633270842295033,40.0,0.28,3.4197980307804725,29.41176470588235,0.21,4.246549372656572,35.714285714285715,0.29
15,0.0,0.0,0.24,8.116697886877475,16.666666666666668,0.18,4.891187874480726,12.5,0.24
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,4.02724819242185,16.666666666666668,0.19,0.0,0.0,0.03,4.02724819242185,16.666666666666668,0.19
1,2.627961710408444,6.666666666666667,0.05,,,,,,
1,2.445593937240363,6.25,0.05,,,,,,
24,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.06
3,0.0,0.0,0.2,0.0,0.0,0.11,0.0,0.0,0.02
3,5.70796903405875,40.0,0.34,5.70796903405875,40.0,0.34,53.3167536340577,66.66666666666667,0.79
15,0.0,0.0,0.5,15.97357760615681,25.0,0.46,3.3864985683445354,8.333333333333334,0.17
4,3.3864985683445354,8.333333333333334,0.22,3.3864985683445354,8.333333333333334,0.22,4.767707020457095,11.11111111111111,0.3
2,51.697315395717055,60.0,0.67,26.46015952359329,33.333333333333336,0.34,,,
16,3.3864985683445354,8.333333333333334,0.22,0.0,0.0,0.22,5.522397783539471,12.5,0.31
4,15.97357760615681,25.0,0.25,6.567274736060395,14.285714285714286,0.18,4.767707020457095,11.11111111111111,0.09
4,6.567274736060395,14.285714285714286,0.57,3.3864985683445354,8.333333333333334,0.27,2.2869567780619007,5.882352941176471,0.08
3,8.392229812593097,20.0,0.15,18.99589214128981,50.0,0.25,0.0,0.0,0.0
1,15.97357760615681,25.0,0.25,,,,,,
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,3.068760685324541,40.0,0.06,,,,,,
35,0.0,0.0,0.13,5.522397783539471,12.5,0.33,0.0,0.0,0.15
3,0.0,0.0,0.0,10.682175159905848,20.0,0.12,0.0,0.0,0.0
2,0.0,0.0,0.19,4.048892532133102,10.526315789473685,0.29,,,
1,5.522397783539471,12.5,0.12,,,,,,
8,18.759582846667257,36.70886075949367,0.23,44.65400668143526,63.888888888888886,0.51,32.88110288319333,58.18181818181818,0.48
2,19.433857260558607,37.362637362637365,0.32,37.18859907240354,60.416666666666664,0.38,,,
11,13.533528323661276,100.0,0.55,36.64389621908534,59.375,0.51,25.232010996163606,33.333333333333336,0.31
29,30.82627646062185,36.8421052631579,0.58,17.662903260733675,21.875,0.36,2.8398387225677895,7.142857142857143,0.33
11,5.522397783539471,12.5,0.12,2.445593937240363,6.25,0.06,2.627961710408444,6.666666666666667,0.06
14,24.446151121745054,42.857142857142854,0.73,12.605968092174914,25.0,0.44,7.535838128770539,15.789473684210526,0.33
6,3.2342452920962157,23.529411764705884,0.26,13.785929931830408,35.0,0.43,6.770186228657864,28.571428571428573,0.27
14,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,5.522397783539471,12.5,0.1
9,50.81327481546149,66.66666666666667,0.83,2.6831116687501106,4.761904761904762,0.09,100.00000000000004,100.0,1.0
5,0.0,100.0,1.0,24.446151121745054,42.857142857142854,0.5,3.172414419318193,6.976744186046512,0.08
17,0.0,0.0,0.8,0.0,0.0,0.03,0.0,0.0,0.62
1,0.0,33.333333333333336,0.5,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
2,2.2869567780619007,5.882352941176471,0.03,0.0,0.0,0.0,,,
2,0.0,66.66666666666667,0.44,0.0,33.333333333333336,0.22,,,
11,0.0,0.0,0.0,2.252278368576829,20.0,0.15,0.0,0.0,0.0
29,0.0,0.0,0.0,2.0705706652424007,12.5,0.12,27.534765745159184,75.0,0.4
29,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.0,0.0
2,3.3864985683445354,8.333333333333334,0.04,1.2414943415352928,3.3333333333333335,0.03,,,
2,13.134549472120788,28.571428571428573,0.31,10.682175159905848,20.0,0.15,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,50.0,0.25,1.9146030690102511,5.0,0.04,,,
