Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.03
3,0.0,0.0,0.13,0.0,0.0,0.14,0.0,0.0,0.07
3,0.0,66.66666666666667,0.43,0.9243411456936733,4.25531914893617,0.05,4.02724819242185,16.666666666666668,0.24
15,0.0,0.0,0.12,0.0,0.0,0.12,8.116697886877475,16.666666666666668,0.41
1,8.116697886877475,16.666666666666668,0.08,,,,,,
1,8.116697886877475,16.666666666666668,0.11,,,,,,
24,6.567274736060395,14.285714285714286,0.4,2.445593937240363,6.25,0.16,8.116697886877475,16.666666666666668,0.35
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
3,59.460355750136046,75.0,0.92,14.058533129758727,60.0,0.59,3.673526562988939,15.384615384615385,0.21
15,8.116697886877475,16.666666666666668,0.4,0.0,0.0,0.11,0.0,0.0,0.2
1,0.0,33.333333333333336,0.29,,,,,,
1,5.522397783539471,12.5,0.07,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.03
3,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.0
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.0,0.0,50.0,0.67,0.0,50.0,0.67
1,5.522397783539471,12.5,0.08,,,,,,
24,0.0,0.0,0.1,2.445593937240363,6.25,0.16,3.0890553181566975,7.6923076923076925,0.17
3,10.682175159905848,20.0,0.62,0.0,0.0,0.1,0.0,0.0,0.23
3,0.0,0.0,0.0,6.567274736060395,25.0,0.5,0.0,0.0,0.0
6,0.0,0.0,0.57,3.7477767366779213,9.090909090909092,0.18,10.682175159905848,20.0,0.43
1,1.5732934811145336,4.166666666666667,0.02,,,,,,
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
24,3.7477767366779213,9.090909090909092,0.14,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.12,0.0,0.0,0.2,0.0,0.0,0.08
3,5.854497694024015,33.333333333333336,0.1,3.673526562988939,15.384615384615385,0.04,53.3167536340577,66.66666666666667,0.74
15,3.0890553181566975,7.6923076923076925,0.14,10.682175159905848,20.0,0.35,10.682175159905848,20.0,0.35
4,3.3864985683445354,8.333333333333334,0.22,4.196114906296549,10.0,0.22,0.0,0.0,0.03
2,68.037493331712,75.0,0.86,51.697315395717055,60.0,0.77,,,
16,0.0,0.0,0.31,3.0890553181566975,7.6923076923076925,0.18,0.0,0.0,0.12
4,15.97357760615681,25.0,0.25,2.445593937240363,6.25,0.04,0.0,0.0,0.0
4,3.7477767366779213,9.090909090909092,0.22,8.116697886877475,16.666666666666668,0.42,6.567274736060395,14.285714285714286,0.42
3,13.134549472120788,28.571428571428573,0.25,18.99589214128981,50.0,0.25,1.092534162077208,5.0,0.03
1,3.3864985683445354,8.333333333333334,0.05,,,,,,
1,1.506189323093867,4.0,0.02,,,,,,
1,3.2968973405945605,73.52941176470588,0.03,,,,,,
35,0.0,0.0,0.02,0.0,0.0,0.19,0.0,0.0,0.15
3,0.0,0.0,0.13,0.0,0.0,0.1,0.0,0.0,0.11
1,0.5844855918911488,1.6129032258064515,0.01,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.0,0.13
3,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.02
1,4.767707020457095,11.11111111111111,0.11,,,,,,
35,0.0,0.0,0.04,0.0,0.0,0.12,0.0,0.0,0.07
3,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.12
3,0.0,0.0,0.0,2.0540268312306345,9.090909090909092,0.12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.46
1,0.4504321747452186,1.25,0.01,,,,,,
1,0.0,0.0,0.0,,,,,,
8,6.353996743001647,71.01449275362319,0.03,0.051157209631248195,51.61290322580645,0.01,0.491471825781025,58.97435897435897,0.01
1,0.11926116110163658,66.66666666666667,0.04,,,,,,
9,0.0,0.0,0.12,0.0,0.0,0.05,0.0,0.0,0.14
6,3.245327239171969,6.329113924050633,0.07,3.469194439174961,6.756756756756757,0.07,26.269098944241588,40.0,0.55
14,0.5087757562008263,1.408450704225352,0.01,0.0,0.0,0.0,0.5015572500202529,1.3888888888888888,0.01
1,1.0031145000405055,2.7777777777777777,0.04,,,,,,
14,0.43923912641022456,1.2195121951219512,0.03,0.4877178495671594,1.3513513513513513,0.03,0.5398548275054964,1.492537313432836,0.03
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
2,2.627961710408444,6.666666666666667,0.06,0.0,66.66666666666667,0.5,,,
11,3.1251907639724417,13.333333333333334,0.11,3.1251907639724417,13.333333333333334,0.11,0.641999201938103,2.985074626865672,0.03
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5162051047489141,1.4285714285714286,0.01,3.0890553181566975,7.6923076923076925,0.08,,,
2,2.7082058616876536,64.91228070175438,0.02,8.49763541292019,73.33333333333333,0.03,,,
8,7.318392722481689,70.83333333333333,0.02,5.602920874136727,58.8235294117647,0.06,0.5008480768836571,73.52941176470588,0.06
8,2.5150933054585893,59.01639344262295,0.01,1.2093874088053422,57.142857142857146,0.07,2.1084178415098385,52.0,0.07
2,4.980879452497685,60.256410256410255,0.02,0.8609552801181916,74.35897435897436,0.03,,,
11,0.0,0.0,0.42,0.5943123208853887,1.639344262295082,0.11,0.0,0.0,0.26
6,13.597796343834903,22.22222222222222,0.19,18.26249361348376,25.806451612903224,0.21,32.70292922455488,44.44444444444444,0.52
14,0.0,0.0,0.02,3.0890553181566975,7.6923076923076925,0.26,0.969094302009921,2.6315789473684212,0.04
1,1.8864569336713677,5.128205128205129,0.03,,,,,,
14,1.0885011049519644,2.9411764705882355,0.02,0.5482271666382152,1.5151515151515151,0.01,0.7002773917100699,1.9230769230769231,0.01
1,1.3355980882200826,6.0606060606060606,0.05,,,,,,
14,1.0885011049519644,2.9411764705882355,0.02,1.6466642419110007,4.3478260869565215,0.03,0.0,0.0,0.0
9,0.0,50.0,0.86,0.0,50.0,0.86,0.0,50.0,0.86
1,0.0,33.333333333333336,0.33,,,,,,
2,31.947155212313625,50.0,0.67,0.0,33.333333333333336,0.25,,,
11,0.0,0.0,0.01,1.727223799216787,4.545454545454546,0.02,0.0,0.0,0.0
3,0.0047534293553421056,25.0,0.03,0.8000051947199437,71.42857142857143,0.09,0.19035794277881743,77.77777777777777,0.1
8,6.6883013740600274,8.536585365853659,0.11,3.1221929756173616,16.666666666666668,0.12,2.5297652042675205,6.741573033707865,0.09
35,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.13
6,12.22307556087252,37.5,0.43,9.287528999566801,30.0,0.32,39.76353643835252,60.0,0.67
14,0.0,0.0,0.75,0.0,0.0,0.75,10.682175159905848,20.0,0.46
1,15.97357760615681,25.0,0.15,,,,,,
1,0.4877178495671594,1.3513513513513513,0.01,,,,,,
35,1.1599713834969503,3.125,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017970640943795243,66.66666666666667,0.05,,,,,,
8,0.0003387613361581551,69.23076923076923,0.03,0.01945568486273245,80.0,0.01,10.52023542138313,72.22222222222223,0.02
2,0.14404536908159915,87.5,0.09,0.05709148507843503,39.285714285714285,0.04,,,
11,0.0,0.0,0.03,1.1599713834969503,3.125,0.18,0.0,0.0,0.05
6,17.33488915555015,35.0,0.41,2.4181756076515732,15.0,0.08,21.409092659758045,47.05882352941177,0.4
14,1.727223799216787,4.545454545454546,0.07,2.8398387225677895,7.142857142857143,0.21,0.918708060432945,2.5,0.03
1,0.9754356991343187,2.7027027027027026,0.02,,,,,,
14,1.6466642419110007,4.3478260869565215,0.02,1.199348129252962,3.225806451612903,0.01,5.522397783539471,12.5,0.18
1,3.197383344450448,11.538461538461538,0.02,,,,,,
14,0.9432284668356838,2.5641025641025643,0.01,0.0,0.0,0.0,5.522397783539471,12.5,0.12
9,0.0,0.0,0.01,0.0,0.0,0.18,0.0,0.0,0.0
1,0.4877178495671594,1.3513513513513513,0.01,,,,,,
2,31.947155212313625,50.0,0.67,0.0,33.333333333333336,0.33,,,
11,3.7477767366779213,9.090909090909092,0.05,2.627961710408444,6.666666666666667,0.07,3.7477767366779213,9.090909090909092,0.15
3,14.429220726208035,88.23529411764706,0.04,18.56755912040104,87.83783783783784,0.05,17.486356081288186,86.95652173913044,0.1
8,21.371127236827704,92.85714285714286,0.09,0.16783311105235352,61.53846153846154,0.01,6.858322787247666,70.37037037037037,0.05
8,20.75273498348033,92.7536231884058,0.07,15.75363543160782,60.49382716049383,0.08,10.428040920524035,66.19718309859155,0.05
1,27.657216143051272,87.83783783783784,0.07,,,,,,
4,0.0,100.0,1.0,0.43923912641022456,1.2195121951219512,0.01,0.0,100.0,0.67
1,29.387631579814347,89.1891891891892,0.08,,,,,,
8,22.042068335026393,87.32394366197182,0.07,8.13936213389788,65.67164179104478,0.01,22.55649431306936,85.18518518518519,0.06
35,10.195805384530553,19.718309859154928,0.15,5.115812503781383,17.91044776119403,0.11,3.8052311260144016,60.0,0.25
4,0.0,0.0,0.09,0.0,0.0,0.01,1.7667412731996648,3.9473684210526314,0.02
1,33.35910322759464,60.0,0.29,,,,,,
12,0.5317343965184799,1.4705882352941178,0.03,3.7477767366779213,9.090909090909092,0.33,0.0,0.0,0.0
6,47.750342648354646,75.0,0.71,11.59119922599073,50.0,0.36,35.55670235668696,57.142857142857146,0.65
14,0.5087757562008263,1.408450704225352,0.02,4.196114906296549,10.0,0.22,0.5087757562008263,1.408450704225352,0.02
6,8.392229812593097,20.0,0.25,0.9621613720042518,2.6666666666666665,0.02,13.134549472120788,28.571428571428573,0.25
1,0.4945407352517106,1.36986301369863,0.01,,,,,,
2,3.7477767366779213,9.090909090909092,0.1,3.7477767366779213,9.090909090909092,0.1,,,
10,0.0,0.0,0.57,3.7477767366779213,9.090909090909092,0.26,2.2869567780619007,5.882352941176471,0.11
6,0.9754356991343187,2.7027027027027026,0.01,1.0175515124016525,2.816901408450704,0.01,0.9754356991343187,2.7027027027027026,0.01
1,0.5087757562008263,1.408450704225352,0.01,,,,,,
1,0.47462176237300036,1.3157894736842106,0.01,,,,,,
1,0.4945407352517106,1.36986301369863,0.01,,,,,,
35,1.0175515124016525,2.816901408450704,0.05,2.627961710408444,6.666666666666667,0.14,0.0,33.333333333333336,0.4
1,0.5238546714708301,1.4492753623188406,0.01,,,,,,
35,2.4520037521807825,7.246376811594203,0.11,11.44707843033496,31.25,0.42,1.2944532586971997,5.882352941176471,0.07
4,0.4877178495671594,1.3513513513513513,0.02,0.0,0.0,0.0,0.0,0.0,0.01
1,16.59038701421971,36.36363636363637,0.45,,,,,,
12,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0
11,2.2869567780619007,5.882352941176471,0.04,3.7477767366779213,9.090909090909092,0.09,3.0890553181566975,7.6923076923076925,0.07
14,3.3864985683445354,8.333333333333334,0.16,3.0890553181566975,7.6923076923076925,0.13,2.8398387225677895,7.142857142857143,0.15
6,0.9754356991343187,2.7027027027027026,0.01,4.891187874480726,12.5,0.08,4.5739135561238005,11.764705882352942,0.07
1,15.97357760615681,25.0,0.33,,,,,,
1,2.627961710408444,6.666666666666667,0.04,,,,,,
35,0.5749785925016119,1.5873015873015872,0.03,2.627961710408444,6.666666666666667,0.14,0.0,0.0,0.09
6,24.808415001701817,45.45454545454545,0.71,24.808415001701817,45.45454545454545,0.71,31.55984539112946,55.55555555555556,0.76
14,0.5238546714708301,1.4492753623188406,0.02,0.0,0.0,0.1,0.5162051047489141,1.4285714285714286,0.02
6,11.044795567078939,25.0,0.25,7.495553473355842,18.181818181818183,0.11,11.044795567078939,25.0,0.25
1,3.7477767366779213,9.090909090909092,0.06,,,,,,
2,4.767707020457095,11.11111111111111,0.11,2.2869567780619007,5.882352941176471,0.05,,,
10,0.8733042428534794,2.380952380952381,0.04,0.0,33.333333333333336,0.29,0.0,50.0,0.86
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.06,,,,,,
35,1.7466084857069586,4.761904761904762,0.08,0.0,0.0,0.33,0.0,50.0,0.46
1,0.8733042428534794,2.380952380952381,0.01,,,,,,
35,5.113818794967397,23.076923076923077,0.18,0.0,0.0,0.12,0.0,33.333333333333336,0.2
4,0.0,0.0,0.08,2.106055451080167,4.6875,0.03,0.0,0.0,0.0
1,38.989389329183524,64.70588235294117,0.41,,,,,,
12,1.727223799216787,4.545454545454546,0.11,2.627961710408444,6.666666666666667,0.23,2.2869567780619007,5.882352941176471,0.14
6,100.00000000000004,100.0,0.93,88.01117367933934,90.0,0.9,100.00000000000004,100.0,0.93
