Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.1
17,0.0,0.0,0.03,0.0,0.0,0.2,0.0,50.0,0.67
3,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.13
1,2.627961710408444,6.666666666666667,0.04,,,,,,
24,0.0,0.0,0.12,0.0,0.0,0.17,0.0,0.0,0.17
2,0.0,0.0,0.09,0.0,0.0,0.11,,,
1,20.36883305093221,70.58823529411765,0.35,,,,,,
15,0.0,0.0,0.11,2.8398387225677895,7.142857142857143,0.21,1.8160849415439309,4.761904761904762,0.11
1,7.955891555490761,43.75,0.26,,,,,,
15,0.0,0.0,0.17,1.9146030690102511,5.0,0.13,2.627961710408444,6.666666666666667,0.18
2,0.8321783954793125,2.272727272727273,0.06,0.5657759656209534,1.5625,0.05,,,
4,15.97357760615681,25.0,0.15,0.0,33.333333333333336,0.33,2.627961710408444,6.666666666666667,0.04
2,1.4262733286728257,6.451612903225806,0.1,2.445593937240363,6.25,0.07,,,
1,2.8398387225677895,7.142857142857143,0.05,,,,,,
17,12.703318703865365,40.0,0.31,0.0,0.0,0.0,3.7477767366779213,9.090909090909092,0.18
1,0.0,0.0,0.0,,,,,,
4,2.627961710408444,6.666666666666667,0.19,0.44476523315234656,1.2345679012345678,0.03,6.567274736060395,14.285714285714286,0.35
1,4.767707020457095,11.11111111111111,0.04,,,,,,
17,2.8398387225677895,7.142857142857143,0.05,3.3864985683445354,8.333333333333334,0.03,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.08,0.5087757562008263,1.408450704225352,0.01
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.31
1,0.0,0.0,0.12,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.18,0.0,0.0,0.16,0.0,0.0,0.36
17,15.97357760615681,25.0,0.53,0.0,0.0,0.62,0.0,0.0,0.44
2,5.522397783539471,12.5,0.44,0.0,100.0,1.0,,,
3,0.0,0.0,0.08,0.0,0.0,0.16,0.0,0.0,0.08
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.07
19,0.0,0.0,0.12,0.0,0.0,0.15,0.0,0.0,0.14
1,1.506189323093867,4.0,0.09,,,,,,
3,0.0,0.0,0.33,0.0,0.0,0.05,0.0,0.0,0.01
1,15.97357760615681,25.0,0.1,,,,,,
24,0.0,0.0,0.16,0.0,0.0,0.09,0.969094302009921,2.6315789473684212,0.07
19,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.04
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.13,0.5162051047489141,1.4285714285714286,0.01
