Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.3664011637870855,1.0204081632653061,0.06,0.0,0.0,0.55,1.6504045595709425,7.407407407407407,0.19
17,0.0,0.0,0.32,0.0,0.0,0.12,0.0,0.0,0.14
1,14.058533129758727,60.0,0.18,,,,,,
1,0.0,0.0,0.03,,,,,,
2,9.535414040914192,22.22222222222222,0.22,0.0,100.0,0.89,,,
1,0.0,0.0,0.0,,,,,,
1,10.682175159905848,20.0,0.29,,,,,,
3,0.0,0.0,0.09,0.0,0.0,0.21,0.0,0.0,0.06
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
24,0.0,0.0,0.1,0.0,0.0,0.67,0.0,0.0,0.52
17,3.0890553181566975,7.6923076923076925,0.11,0.0,50.0,0.4,0.0,0.0,0.75
3,0.0,0.0,0.11,6.9717291216921975,40.0,0.3,0.0,0.0,0.23
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
2,0.0,0.0,0.21,3.3864985683445354,8.333333333333334,0.22,,,
1,5.522397783539471,12.5,0.11,,,,,,
3,3.737437943747671,21.428571428571427,0.19,10.571070857151538,21.428571428571427,0.26,10.552670315936318,33.333333333333336,0.3
15,0.0,0.0,0.5,2.8398387225677895,7.142857142857143,0.17,2.627961710408444,6.666666666666667,0.13
1,15.97357760615681,25.0,0.25,,,,,,
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.3,0.0,0.0,0.09,0.0,0.0,0.07
1,0.0,0.0,0.0,,,,,,
3,7.809849842300637,28.571428571428573,0.17,8.116697886877475,16.666666666666668,0.09,2.908317710573757,12.5,0.18
3,5.522397783539471,30.0,0.42,5.854497694024015,33.333333333333336,0.19,2.328734903585348,17.391304347826086,0.14
15,0.0,0.0,0.5,2.445593937240363,6.25,0.14,0.0,0.0,0.0
4,0.0,0.0,0.03,2.627961710408444,6.666666666666667,0.19,4.196114906296549,10.0,0.29
2,46.17366309441026,54.54545454545455,0.65,3.0890553181566975,7.6923076923076925,0.14,,,
16,0.0,0.0,0.29,0.0,0.0,0.22,0.0,0.0,0.24
4,0.0,33.333333333333336,0.4,0.6149917424924614,1.694915254237288,0.01,0.4877178495671594,1.3513513513513513,0.01
4,3.3864985683445354,8.333333333333334,0.22,5.522397783539471,12.5,0.44,10.682175159905848,20.0,0.5
3,0.0,0.0,0.0,7.809849842300637,28.571428571428573,0.17,0.0,0.0,0.0
1,15.97357760615681,25.0,0.25,,,,,,
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.1,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.02
3,1.123099644603982,3.0303030303030303,0.08,0.0,0.0,0.12,8.116697886877475,16.666666666666668,0.25
3,4.368583925857938,30.76923076923077,0.26,10.308675254291908,17.391304347826086,0.29,3.4585921141027365,25.0,0.34
15,0.0,0.0,0.38,4.767707020457095,11.11111111111111,0.32,4.767707020457095,11.11111111111111,0.3
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,0.0,0.0,0.13,0.0,0.0,0.31,5.522397783539471,12.5,0.58
1,2.445593937240363,6.25,0.04,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
24,7.261813302549418,12.5,0.2,1.7911710595643588,8.0,0.11,1.7179060012299232,7.6923076923076925,0.13
1,0.0,0.0,0.0,,,,,,
3,5.522397783539471,12.5,0.42,0.0,0.0,0.24,2.8398387225677895,7.142857142857143,0.32
1,0.5657759656209534,1.5625,0.01,,,,,,
