Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.03
3,0.0,0.0,0.1,0.0,0.0,0.04,0.0,0.0,0.08
3,0.0,66.66666666666667,0.26,4.02724819242185,16.666666666666668,0.11,1.2753998269755913,7.894736842105263,0.11
15,0.0,0.0,0.22,0.0,0.0,0.03,6.567274736060395,14.285714285714286,0.28
4,0.0,50.0,0.2,1.199348129252962,3.225806451612903,0.02,1.8160849415439309,4.761904761904762,0.03
4,0.0,0.0,0.23,0.0,0.0,0.19,0.0,0.0,0.19
2,29.84745896009822,44.44444444444444,0.35,66.87403049764218,80.0,0.8,,,
16,13.950796967929138,27.272727272727273,0.19,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,4.196114906296549,10.0,0.05,,,,,,
24,3.0890553181566975,7.6923076923076925,0.2,0.0,0.0,0.03,0.0,0.0,0.02
3,0.9621613720042518,2.6666666666666665,0.06,3.0890553181566975,7.6923076923076925,0.21,0.8522452865706931,2.3255813953488373,0.04
3,0.0,66.66666666666667,0.36,0.0,0.0,0.08,2.3901021968803136,14.285714285714286,0.22
15,0.0,0.0,0.5,1.727223799216787,4.545454545454546,0.07,0.0,0.0,0.11
4,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.02
2,3.3864985683445354,8.333333333333334,0.26,6.567274736060395,14.285714285714286,0.42,,,
16,0.0,50.0,0.67,0.0,0.0,0.5,2.627961710408444,6.666666666666667,0.07
4,15.97357760615681,25.0,0.4,4.767707020457095,11.11111111111111,0.12,3.3864985683445354,8.333333333333334,0.11
1,2.627961710408444,6.666666666666667,0.03,,,,,,
1,0.5657759656209534,1.5625,0.01,,,,,,
24,1.4445809981770859,3.8461538461538463,0.07,2.445593937240363,6.25,0.09,1.387819277861591,3.7037037037037037,0.05
3,10.682175159905848,20.0,0.44,0.0,0.0,0.18,0.46833399312669227,1.2987012987012987,0.03
3,66.06328636027612,80.0,0.93,66.06328636027612,80.0,0.93,53.3167536340577,66.66666666666667,0.79
15,10.682175159905848,20.0,0.33,0.4562454050880755,1.2658227848101267,0.02,3.3864985683445354,8.333333333333334,0.17
4,3.3864985683445354,8.333333333333334,0.22,4.196114906296549,10.0,0.22,4.196114906296549,10.0,0.29
2,44.63236137853326,55.55555555555556,0.79,80.91067115702207,85.71428571428571,0.8,,,
16,0.0,0.0,0.27,0.0,0.0,0.22,0.0,0.0,0.02
4,15.97357760615681,25.0,0.25,4.196114906296549,10.0,0.08,0.0,0.0,0.0
4,5.522397783539471,12.5,0.3,15.97357760615681,25.0,0.67,5.522397783539471,12.5,0.22
3,13.134549472120788,28.571428571428573,0.25,4.990049701936832,20.0,0.11,0.0,0.0,0.0
1,0.8130350574508933,2.2222222222222223,0.01,,,,,,
1,0.0,50.0,0.5,,,,,,
1,21.664438916758456,69.44444444444444,0.18,,,,,,
8,20.78450547846392,61.53846153846154,0.06,22.053265675465894,60.526315789473685,0.07,21.55196534069553,60.273972602739725,0.07
2,18.424799552055028,60.563380281690144,0.06,6.659447980503191,63.04347826086956,0.08,,,
11,0.0,33.333333333333336,0.67,1.123099644603982,3.0303030303030303,0.09,1.123099644603982,3.0303030303030303,0.08
2,13.134549472120788,28.571428571428573,0.24,6.567274736060395,14.285714285714286,0.12,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.7074713884600372,60.869565217391305,0.06,30.023887058455372,67.53246753246754,0.21,12.179824065417966,67.3913043478261,0.12
8,4.320304869998879,19.23076923076923,0.16,5.406502668979588,27.272727272727273,0.23,1.4467975640651802,7.6923076923076925,0.05
35,1.921531915090591,4.285714285714286,0.08,3.7477767366779213,9.090909090909092,0.21,0.0,0.0,0.11
6,6.567274736060395,25.0,0.22,5.669791110976001,22.22222222222222,0.2,1.958224832501124,8.695652173913043,0.1
14,3.7477767366779213,9.090909090909092,0.11,0.4945407352517106,1.36986301369863,0.01,15.97357760615681,25.0,0.25
1,21.3643503198117,40.0,0.25,,,,,,
14,15.97357760615681,25.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1,1.727223799216787,4.545454545454546,0.02,,,,,,
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
35,0.4622106633998758,1.2820512820512822,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03691458929701432,54.54545454545455,0.13,,,,,,
