Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.07,0.0,0.0,0.07
3,0.0,0.0,0.17,0.0,0.0,0.04,10.682175159905848,20.0,0.44
3,4.990049701936832,20.0,0.2,4.02724819242185,16.666666666666668,0.11,4.990049701936832,20.0,0.2
15,0.0,0.0,0.11,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,0.0,50.0,0.5,,,,,,
1,11.213672939889536,61.111111111111114,0.12,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.14
3,8.116697886877475,16.666666666666668,0.47,0.0,0.0,0.55,10.682175159905848,20.0,0.42
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.53,0.0,0.0,0.06,0.0,0.0,0.38
1,0.0,33.333333333333336,0.25,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.17
3,0.0,0.0,0.2,0.0,0.0,0.14,3.0890553181566975,7.6923076923076925,0.23
1,0.0,0.0,0.2,,,,,,
3,0.7772751558853214,2.127659574468085,0.05,3.3864985683445354,8.333333333333334,0.18,2.2869567780619007,5.882352941176471,0.18
1,10.682175159905848,20.0,0.27,,,,,,
3,0.6866732953963862,1.8867924528301887,0.04,0.0,0.0,0.11,1.2414943415352928,3.3333333333333335,0.07
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
35,0.7605497822189857,2.0833333333333335,0.06,3.3864985683445354,8.333333333333334,0.24,0.0,0.0,0.14
11,0.0,33.333333333333336,0.4,10.682175159905848,20.0,0.17,15.97357760615681,25.0,0.33
14,15.97357760615681,25.0,0.18,0.0,50.0,0.67,0.0,33.333333333333336,0.5
1,0.0,100.0,1.0,,,,,,
35,0.7605497822189857,2.0833333333333335,0.06,3.3864985683445354,8.333333333333334,0.26,0.0,0.0,0.14
11,5.522397783539471,12.5,0.08,10.682175159905848,20.0,0.14,10.682175159905848,20.0,0.14
14,0.0,0.0,0.67,0.0,0.0,0.67,8.116697886877475,16.666666666666668,0.32
1,10.682175159905848,20.0,0.12,,,,,,
35,0.7445292335166879,2.0408163265306123,0.05,15.97357760615681,25.0,0.57,0.0,0.0,0.15
11,0.0,33.333333333333336,0.33,0.0,33.333333333333336,0.33,15.97357760615681,25.0,0.29
14,0.0,0.0,0.0,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.18
1,0.0,50.0,0.5,,,,,,
35,0.7002773917100699,1.9230769230769231,0.07,0.7605497822189857,2.0833333333333335,0.07,0.0,0.0,0.27
6,5.522397783539471,12.5,0.11,1.5643180021894858,4.918032786885246,0.03,2.445593937240363,6.25,0.05
14,0.0,0.0,0.0,0.0,0.0,0.0,3.7477767366779213,9.090909090909092,0.06
1,0.0,33.333333333333336,0.5,,,,,,
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
35,0.7002773917100699,1.9230769230769231,0.08,0.0,0.0,0.09,0.0,0.0,0.19
6,0.0,0.0,0.0,1.5499686563608683,5.769230769230769,0.04,4.237713199752784,15.0,0.15
14,1.387819277861591,3.7037037037037037,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,,,,,,
1,2.1476912089159055,5.555555555555555,0.05,,,,,,
8,34.56945110707028,66.0,0.35,23.938580843792238,58.18181818181818,0.45,19.105129819824903,45.588235294117645,0.17
2,33.925417790739864,64.0,0.33,34.64002907385929,65.3061224489796,0.3,,,
6,1.199348129252962,3.225806451612903,0.1,2.1476912089159055,5.555555555555555,0.2,0.0,0.0,0.03
11,2.2869567780619007,5.882352941176471,0.03,3.3864985683445354,8.333333333333334,0.07,0.7605497822189857,2.0833333333333335,0.01
14,0.0,0.0,0.22,0.918708060432945,2.5,0.09,2.445593937240363,6.25,0.16
1,34.81470442510222,58.0,0.64,,,,,,
5,15.97357760615681,25.0,0.48,0.8522452865706931,2.3255813953488373,0.1,4.767707020457095,11.11111111111111,0.35
4,0.0,100.0,1.0,0.0,100.0,0.67,2.445593937240363,6.25,0.03
9,15.97357760615681,25.0,0.48,5.522397783539471,12.5,0.4,0.0,0.0,0.06
1,30.679661188970517,53.333333333333336,0.65,,,,,,
6,2.2869567780619007,5.882352941176471,0.22,10.682175159905848,20.0,0.61,0.0,33.333333333333336,0.88
11,2.8398387225677895,7.142857142857143,0.05,0.0,0.0,0.0,0.0,50.0,0.06
14,10.682175159905848,20.0,0.61,3.0890553181566975,7.6923076923076925,0.25,4.767707020457095,11.11111111111111,0.35
2,0.969094302009921,2.6315789473684212,0.02,0.0,50.0,0.29,,,
10,15.97357760615681,25.0,0.42,0.0,33.333333333333336,0.44,0.0,100.0,1.0
1,38.107469947182764,62.5,0.62,,,,,,
8,27.358384246243777,50.0,0.62,30.98701482178642,51.282051282051285,0.48,12.453140235823195,33.333333333333336,0.3
35,0.0,0.0,0.03,3.3864985683445354,8.333333333333334,0.25,0.0,0.0,0.05
11,3.7477767366779213,9.090909090909092,0.08,3.0890553181566975,7.6923076923076925,0.07,3.3864985683445354,8.333333333333334,0.07
14,4.456882760699063,25.0,0.27,4.456882760699063,25.0,0.27,4.456882760699063,25.0,0.27
29,0.0,0.0,0.06,3.3864985683445354,8.333333333333334,0.16,3.3864985683445354,8.333333333333334,0.18
3,3.3864985683445354,8.333333333333334,0.06,3.3864985683445354,8.333333333333334,0.06,1.387819277861591,3.7037037037037037,0.03
9,1.4445809981770859,3.8461538461538463,0.05,4.767707020457095,11.11111111111111,0.21,0.0,0.0,0.0
2,1.4445809981770859,3.8461538461538463,0.03,5.522397783539471,12.5,0.09,,,
3,4.767707020457095,11.11111111111111,0.09,3.3864985683445354,8.333333333333334,0.06,10.682175159905848,20.0,0.13
9,2.8398387225677895,7.142857142857143,0.33,10.682175159905848,20.0,0.58,2.8398387225677895,7.142857142857143,0.33
2,0.0,0.0,0.0,0.0,33.333333333333336,0.33,,,
