Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,15.97357760615681,25.0,0.29,2.627961710408444,6.666666666666667,0.08,1.4445809981770859,3.8461538461538463,0.05
3,0.0,0.0,0.11,3.0890553181566975,7.6923076923076925,0.13,0.0,0.0,0.11
3,9.425159511373677,45.45454545454545,0.46,4.990049701936832,20.0,0.29,5.522397783539471,30.0,0.24
15,3.7477767366779213,9.090909090909092,0.24,2.445593937240363,6.25,0.1,2.8398387225677895,7.142857142857143,0.18
4,2.1476912089159055,5.555555555555555,0.09,4.767707020457095,11.11111111111111,0.27,2.8398387225677895,7.142857142857143,0.19
3,8.392229812593097,20.0,0.16,8.392229812593097,20.0,0.16,0.0,0.0,0.0
1,4.196114906296549,10.0,0.08,,,,,,
2,0.0,0.0,0.1,0.0,0.0,0.0,,,
16,2.627961710408444,6.666666666666667,0.14,3.7477767366779213,9.090909090909092,0.19,1.6466642419110007,4.3478260869565215,0.07
4,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.09
1,0.0,50.0,0.67,,,,,,
1,0.5482271666382152,1.5151515151515151,0.01,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.03
3,2.8398387225677895,7.142857142857143,0.11,0.0,0.0,0.22,1.8160849415439309,4.761904761904762,0.15
3,11.339582221952005,44.44444444444444,0.42,4.02724819242185,16.666666666666668,0.26,4.456882760699063,18.181818181818183,0.27
15,0.0,0.0,0.11,2.0244462660665508,5.2631578947368425,0.14,4.196114906296549,10.0,0.24
4,0.0,0.0,0.29,4.196114906296549,10.0,0.19,0.0,0.0,0.1
3,8.392229812593097,20.0,0.13,18.99589214128981,50.0,0.25,0.0,0.0,0.0
1,10.682175159905848,20.0,0.25,,,,,,
1,0.0,50.0,0.67,,,,,,
1,0.43384866842485925,1.2048192771084338,0.01,,,,,,
24,0.0,0.0,0.15,2.445593937240363,6.25,0.09,1.8160849415439309,4.761904761904762,0.07
3,2.2869567780619007,5.882352941176471,0.11,0.0,0.0,0.03,0.8733042428534794,2.380952380952381,0.05
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.11,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,0.969094302009921,2.6315789473684212,0.02,,,,,,
1,46.49137594949086,65.625,0.62,,,,,,
35,1.387819277861591,3.7037037037037037,0.08,1.727223799216787,4.545454545454546,0.12,0.0,0.0,0.15
3,10.682175159905848,20.0,0.5,0.0,0.0,0.18,0.43923912641022456,1.2195121951219512,0.03
3,9.652434877402245,33.333333333333336,0.21,2.159701133933343,9.523809523809524,0.05,0.0,0.0,0.0
6,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.43
1,0.0,50.0,0.67,,,,,,
1,6.567274736060395,14.285714285714286,0.18,,,,,,
35,6.760229884571737,14.285714285714286,0.21,12.703318703865365,40.0,0.36,0.0,0.0,0.38
6,0.0,66.66666666666667,0.24,21.409092659758045,29.41176470588235,0.36,75.98356856515926,83.33333333333333,0.92
14,4.767707020457095,11.11111111111111,0.26,4.767707020457095,11.11111111111111,0.26,1.9146030690102511,5.0,0.1
1,11.044795567078939,25.0,0.57,,,,,,
14,0.0,100.0,1.0,4.767707020457095,11.11111111111111,0.4,4.767707020457095,11.11111111111111,0.4
1,0.0,50.0,0.67,,,,,,
1,3.7477767366779213,9.090909090909092,0.04,,,,,,
35,13.950796967929138,27.272727272727273,0.55,24.446151121745054,42.857142857142854,0.8,0.0,0.0,0.19
6,59.460355750136046,75.0,0.91,59.460355750136046,75.0,0.91,59.460355750136046,75.0,0.91
14,0.0,100.0,1.0,0.0,0.0,0.13,4.767707020457095,11.11111111111111,0.26
1,15.97357760615681,25.0,0.4,,,,,,
1,0.0,100.0,1.0,,,,,,
35,0.0,0.0,0.0,3.3864985683445354,8.333333333333334,0.16,0.0,33.333333333333336,0.94
9,0.0,100.0,1.0,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,100.0,1.0,,,,,,
35,0.0,100.0,1.0,0.4504321747452186,1.25,0.01,0.0,0.0,0.0
24,1.506189323093867,4.0,0.07,0.0,0.0,0.02,0.0,0.0,0.01
3,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.18,3.026457500336624,6.666666666666667,0.08
3,7.267884212102741,37.5,0.68,1.3737889784665156,12.5,0.19,1.9822566267103439,12.0,0.25
15,0.0,33.333333333333336,0.5,0.0,0.0,0.12,8.116697886877475,16.666666666666668,0.35
4,10.682175159905848,20.0,0.35,6.567274736060395,14.285714285714286,0.26,5.522397783539471,12.5,0.27
3,9.535414040914192,22.22222222222222,0.17,0.0,66.66666666666667,0.44,0.8853994618255676,4.081632653061225,0.03
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
2,6.567274736060395,14.285714285714286,0.34,0.0,0.0,0.19,,,
16,15.97357760615681,25.0,0.35,2.8398387225677895,7.142857142857143,0.14,15.97357760615681,25.0,0.35
4,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.0,0.04
1,0.0,50.0,0.67,,,,,,
1,1.365113166115079,47.61904761904762,0.24,,,,,,
35,0.0,0.0,0.08,0.0,0.0,0.14,0.0,0.0,0.09
3,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0
1,1.092534162077208,5.0,0.03,,,,,,
3,0.0,0.0,0.09,0.0,0.0,0.04,0.7291698644541256,2.0,0.02
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.0,0.5238546714708301,1.4492753623188406,0.01,0.0,0.0,0.0
1,0.6258807799153787,1.7241379310344827,0.02,,,,,,
8,38.51354398447353,52.72727272727273,0.4,45.67911330550177,54.166666666666664,0.58,42.90922303918798,50.98039215686274,0.54
1,33.073034932916975,53.06122448979592,0.43,,,,,,
9,0.9432284668356838,2.5641025641025643,0.02,1.4445809981770859,3.8461538461538463,0.04,0.9432284668356838,2.5641025641025643,0.02
4,0.7772751558853214,2.127659574468085,0.02,0.9432284668356838,2.5641025641025643,0.02,0.0,50.0,0.25
9,0.9432284668356838,2.5641025641025643,0.11,0.9432284668356838,2.5641025641025643,0.11,0.0,0.0,0.16
2,0.0,0.0,0.0,0.5162051047489141,1.4285714285714286,0.01,,,
10,0.0,0.0,0.0,0.8954307276600084,2.4390243902439024,0.02,10.682175159905848,20.0,0.13
1,51.086369427314935,55.0,0.58,,,,,,
8,15.17249576563017,18.91891891891892,0.24,10.629480219240392,17.5,0.19,4.674499231292217,17.142857142857142,0.21
29,0.8733042428534794,2.380952380952381,0.02,1.8160849415439309,4.761904761904762,0.05,6.567274736060395,14.285714285714286,0.18
11,0.5317343965184799,1.4705882352941178,0.01,1.0559717178170818,2.857142857142857,0.03,1.2414943415352928,3.3333333333333335,0.03
14,0.8733042428534794,2.380952380952381,0.14,0.8733042428534794,2.380952380952381,0.14,0.6371624499564389,1.7543859649122806,0.09
6,2.177002209903929,5.882352941176471,0.05,1.4005547834201397,3.8461538461538463,0.03,1.2977167662963665,3.5714285714285716,0.03
1,15.97357760615681,25.0,0.18,,,,,,
2,1.199348129252962,3.225806451612903,0.03,1.286713095960916,3.4482758620689653,0.03,,,
2,0.0,100.0,1.0,0.0,66.66666666666667,0.5,,,
11,0.0,0.0,0.0,2.0540268312306345,9.090909090909092,0.15,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,33.333333333333336,0.29,0.0,0.0,0.0,,,
2,3.9297526283216277,50.0,0.08,3.737437943747671,21.428571428571427,0.05,,,
8,10.294463359001494,19.642857142857142,0.14,9.929912170789816,18.96551724137931,0.15,14.206457149702644,26.829268292682926,0.16
35,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.0,0.17
6,4.904007504361565,7.246376811594203,0.04,12.045422179467957,17.24137931034483,0.11,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,100.0,1.0,2.2869567780619007,5.882352941176471,0.06
6,0.0,0.0,0.0,4.048892532133102,10.526315789473685,0.11,11.044795567078939,25.0,0.27
1,15.97357760615681,25.0,0.04,,,,,,
11,4.767707020457095,11.11111111111111,0.14,4.196114906296549,10.0,0.13,4.196114906296549,10.0,0.13
14,0.0,50.0,0.67,0.8733042428534794,2.380952380952381,0.01,5.522397783539471,12.5,0.17
1,4.767707020457095,11.11111111111111,0.14,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.17
6,1.9146030690102511,5.0,0.04,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.07
10,0.0,0.0,0.0,0.0,0.0,0.25,3.0890553181566975,7.6923076923076925,0.07
1,10.682175159905848,20.0,0.33,,,,,,
11,10.682175159905848,20.0,0.25,8.116697886877475,16.666666666666668,0.14,4.767707020457095,11.11111111111111,0.14
14,17.747405280050266,33.333333333333336,0.44,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.15
1,0.0,33.333333333333336,0.5,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.36,0.0,33.333333333333336,0.74
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
1,0.0,50.0,0.5,,,,,,
35,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.02
3,0.0,0.0,0.24,3.3864985683445354,8.333333333333334,0.2,3.7477767366779213,9.090909090909092,0.13
3,3.673526562988939,15.384615384615385,0.38,6.567274736060395,25.0,0.2,1.3039112944078959,6.0606060606060606,0.12
15,1.727223799216787,4.545454545454546,0.09,0.5398548275054964,1.492537313432836,0.04,2.445593937240363,6.25,0.14
4,0.0,0.0,0.25,6.567274736060395,14.285714285714286,0.35,2.8398387225677895,7.142857142857143,0.14
3,16.233395773754953,33.333333333333336,0.29,6.567274736060395,25.0,0.14,0.0,0.0,0.0
1,3.3864985683445354,8.333333333333334,0.06,,,,,,
1,0.0,0.0,0.0,,,,,,
1,7.464071057938675,71.42857142857143,0.03,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.13
3,0.0,0.0,0.2,0.0,0.0,0.21,0.0,0.0,0.05
1,0.0,100.0,0.8,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.5087757562008263,1.408450704225352,0.01
1,10.682175159905848,20.0,0.11,,,,,,
35,0.4877178495671594,1.3513513513513513,0.03,10.682175159905848,20.0,0.46,0.0,0.0,0.15
3,0.5482271666382152,1.5151515151515151,0.07,0.0,0.0,0.11,0.0,0.0,0.03
1,0.0,66.66666666666667,0.67,,,,,,
15,10.682175159905848,20.0,0.11,8.116697886877475,16.666666666666668,0.12,0.4622106633998758,1.2820512820512822,0.01
1,10.682175159905848,20.0,0.11,,,,,,
