Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.09,1.4445809981770859,3.8461538461538463,0.05,2.627961710408444,6.666666666666667,0.09
3,2.4074859035470344,10.526315789473685,0.1,1.5812969835075312,5.882352941176471,0.12,4.02724819242185,16.666666666666668,0.27
3,1.2413584734794654,7.6923076923076925,0.12,2.1671320168371846,13.043478260869565,0.19,23.356898886410015,66.66666666666667,0.86
15,0.0,0.0,0.5,0.918708060432945,2.5,0.07,2.627961710408444,6.666666666666667,0.13
4,0.0,0.0,0.08,2.445593937240363,6.25,0.17,0.0,0.0,0.06
2,51.697315395717055,60.0,0.67,100.00000000000004,100.0,0.92,,,
16,2.445593937240363,6.25,0.17,0.0,0.0,0.22,0.0,0.0,0.09
4,1.4445809981770859,3.8461538461538463,0.02,2.445593937240363,6.25,0.05,2.445593937240363,6.25,0.05
4,0.0,100.0,1.0,2.445593937240363,6.25,0.17,2.445593937240363,6.25,0.17
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.445593937240363,6.25,0.05,,,,,,
1,15.97357760615681,25.0,0.4,,,,,,
1,1.727223799216787,4.545454545454546,0.02,,,,,,
24,2.627961710408444,6.666666666666667,0.11,1.506189323093867,4.0,0.06,1.2414943415352928,3.3333333333333335,0.05
3,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.09
3,66.06328636027612,80.0,0.93,53.3167536340577,66.66666666666667,0.78,53.3167536340577,66.66666666666667,0.79
15,1.9146030690102511,5.0,0.09,3.3864985683445354,8.333333333333334,0.17,3.3864985683445354,8.333333333333334,0.17
4,5.522397783539471,12.5,0.3,0.0,100.0,1.0,3.3864985683445354,8.333333333333334,0.22
2,68.037493331712,75.0,0.71,18.556675930109115,24.0,0.23,,,
16,3.3864985683445354,8.333333333333334,0.22,0.0,0.0,0.22,3.3864985683445354,8.333333333333334,0.22
4,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25
4,6.567274736060395,14.285714285714286,0.57,3.3864985683445354,8.333333333333334,0.22,15.97357760615681,25.0,0.73
3,8.392229812593097,20.0,0.15,4.02724819242185,16.666666666666668,0.1,8.392229812593097,20.0,0.15
1,3.3864985683445354,8.333333333333334,0.06,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
1,0.028757177761265115,66.66666666666667,0.08,,,,,,
8,17.841339070374364,32.30769230769231,0.23,9.267343244756791,46.15384615384615,0.36,26.873796634858863,39.473684210526315,0.38
2,39.633518557253375,72.72727272727273,0.44,31.920469551931625,45.16129032258065,0.43,,,
11,0.0,0.0,0.0,1.0885011049519644,2.9411764705882355,0.02,2.2869567780619007,5.882352941176471,0.05
9,35.08439695638686,45.45454545454545,0.68,0.0,0.0,0.27,28.917849332325716,38.46153846153846,0.53
6,10.552670315936318,50.0,0.63,22.089591134157878,50.0,0.77,10.414419091986518,20.833333333333332,0.24
14,0.0,33.333333333333336,0.57,0.0,33.333333333333336,0.57,0.0,0.0,0.55
1,4.5739135561238005,11.764705882352942,0.16,,,,,,
14,0.0,100.0,1.0,0.0,33.333333333333336,0.8,1.9146030690102511,5.0,0.1
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
3,3.0266181377145767,20.0,0.2,9.337534921653756,33.333333333333336,0.3,0.0,33.333333333333336,0.21
8,12.03921753741131,47.05882352941177,0.4,2.0929373635196202,24.137931034482758,0.2,1.3536018732379203,15.909090909090908,0.12
35,0.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.25
6,5.136663909505954,19.047619047619047,0.24,0.0,0.0,0.12,17.39579737564223,31.25,0.31
14,0.0,0.0,0.04,2.627961710408444,6.666666666666667,0.21,2.0244462660665508,5.2631578947368425,0.16
1,4.5739135561238005,11.764705882352942,0.07,,,,,,
14,6.567274736060395,14.285714285714286,0.06,3.7477767366779213,9.090909090909092,0.05,3.7477767366779213,9.090909090909092,0.05
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
1,0.0,50.0,0.33,,,,,,
35,0.0,0.0,0.17,0.0,0.0,0.08,0.0,0.0,0.31
6,5.669791110976001,22.22222222222222,0.17,0.0,0.0,0.0,7.809849842300637,28.571428571428573,0.18
14,15.97357760615681,25.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
35,0.0,100.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.05,0.0,0.0,0.21,0.0,0.0,0.07
3,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.03,3.3864985683445354,8.333333333333334,0.07
2,10.682175159905848,20.0,0.28,0.7605497822189857,2.0833333333333335,0.07,,,
1,75.98356856515926,83.33333333333333,0.89,,,,,,
15,0.0,0.0,0.31,2.1476912089159055,5.555555555555555,0.18,0.0,0.0,0.07
6,59.460355750136046,75.0,0.86,0.0,100.0,1.0,4.180647946097227,9.090909090909092,0.04
10,0.7002773917100699,1.9230769230769231,0.01,0.0,0.0,0.0,15.97357760615681,25.0,0.25
1,3.0890553181566975,7.6923076923076925,0.06,,,,,,
1,8.116697886877475,16.666666666666668,0.17,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,0.0,33.333333333333336,0.29,10.682175159905848,20.0,0.12,6.567274736060395,14.285714285714286,0.11
2,0.0,0.0,0.17,3.0890553181566975,7.6923076923076925,0.16,,,
1,2.8398387225677895,7.142857142857143,0.07,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,10.682175159905848,20.0,0.2,2.8398387225677895,7.142857142857143,0.04,10.682175159905848,20.0,0.22
2,39.76353643835252,60.0,0.86,39.76353643835252,60.0,0.86,,,
1,8.116697886877475,16.666666666666668,0.13,,,,,,
8,33.36389721924496,54.666666666666664,0.36,25.651322826411135,46.98795180722892,0.32,25.651322826411135,46.98795180722892,0.33
2,40.43241395577808,52.94117647058823,0.51,34.7937722417763,52.0,0.39,,,
11,6.39278612067076,100.0,0.44,2.75631563063758,42.857142857142854,0.37,20.829024871656475,24.193548387096776,0.28
29,0.6866732953963862,1.8867924528301887,0.06,0.7716270058689811,3.5714285714285716,0.07,1.6149667158045986,3.6144578313253013,0.06
11,0.43923912641022456,1.2195121951219512,0.01,1.0885011049519644,2.9411764705882355,0.03,0.42858892466764814,1.1904761904761905,0.01
14,0.5398548275054964,1.492537313432836,0.06,0.5482271666382152,1.5151515151515151,0.06,0.969094302009921,2.6315789473684212,0.13
6,13.61651396712643,18.181818181818183,0.24,19.624326517169116,25.806451612903224,0.34,1.802167556326529,7.017543859649122,0.06
14,0.7772751558853214,2.127659574468085,0.06,0.0,0.0,0.03,0.0,0.0,0.02
6,1.595387743412228,3.5714285714285716,0.03,6.12957497932821,13.043478260869565,0.08,2.0407314606611986,4.545454545454546,0.04
10,0.9432284668356838,2.5641025641025643,0.02,0.42858892466764814,1.1904761904761905,0.01,0.6149917424924614,1.694915254237288,0.01
1,2.2869567780619007,5.882352941176471,0.06,,,,,,
1,4.891187874480726,12.5,0.13,,,,,,
14,15.97357760615681,25.0,0.33,0.0,33.333333333333336,0.5,2.445593937240363,6.25,0.06
1,0.4562454050880755,1.2658227848101267,0.01,,,,,,
2,0.7445292335166879,2.0408163265306123,0.02,1.9146030690102511,5.0,0.05,,,
2,0.0,66.66666666666667,0.44,0.0,33.333333333333336,0.22,,,
11,0.0,0.0,0.0,0.0,66.66666666666667,0.24,0.0,0.0,0.0
