Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,1.727223799216787,4.545454545454546,0.09,1.9146030690102511,5.0,0.07,0.0,0.0,0.08
3,15.97357760615681,25.0,0.57,0.48108068600212583,1.3333333333333333,0.03,1.0253311603116817,2.7777777777777777,0.06
3,4.02724819242185,16.666666666666668,0.11,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.06
1,10.682175159905848,20.0,0.13,,,,,,
1,0.11593385798805884,42.857142857142854,0.14,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15
3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02
1,0.0,50.0,0.4,,,,,,
8,49.95923521643368,75.0,0.44,29.165487591733008,56.97674418604651,0.3,6.140508270800303,72.72727272727273,0.27
1,35.97386220096647,66.66666666666667,0.38,,,,,,
9,7.545383788761362,25.0,0.17,3.8275613602956104,37.5,0.21,11.835581533042372,14.893617021276595,0.17
29,0.42858892466764814,1.1904761904761905,0.01,0.3822478057284026,1.0638297872340425,0.01,15.97357760615681,25.0,0.22
11,0.4622106633998758,1.2820512820512822,0.01,0.5087757562008263,1.408450704225352,0.01,4.767707020457095,11.11111111111111,0.15
14,0.4184430101881885,1.1627906976744187,0.06,0.4504321747452186,1.25,0.06,0.4135480978530135,1.1494252873563218,0.05
6,0.7728519957559892,2.150537634408602,0.02,0.8081880163144475,2.247191011235955,0.02,0.827096195706027,2.2988505747126435,0.02
1,2.1476912089159055,5.555555555555555,0.04,,,,,,
2,0.47462176237300036,1.3157894736842106,0.01,0.7144315612998046,1.9607843137254901,0.01,,,
2,6.178110636313396,15.384615384615385,0.12,0.0,66.66666666666667,0.5,,,
11,3.673526562988939,15.384615384615385,0.12,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2,0.39952724108597504,1.1111111111111112,0.01,8.116697886877475,16.666666666666668,0.18,,,
2,0.0,50.0,0.01,0.0,66.66666666666667,0.03,,,
8,0.0012550948899607169,100.0,0.16,12.600564500231187,100.0,0.41,24.935220877729634,100.0,0.5
8,84.12745652216238,92.5,0.67,84.62636359771207,88.17204301075269,0.56,13.533528323661276,100.0,0.41
2,32.93477750057233,84.0909090909091,0.43,3.275206996495882,86.95652173913044,0.19,,,
11,8.116697886877475,16.666666666666668,0.2,8.116697886877475,16.666666666666668,0.18,0.5015572500202529,1.3888888888888888,0.01
2,2.4829886830705856,6.666666666666667,0.04,0.0,33.333333333333336,0.25,,,
11,0.0,66.66666666666667,0.75,5.522397783539471,12.5,0.22,0.0,0.0,0.57
3,0.0,50.0,0.08,4.120822309252771,80.95238095238095,0.27,6.985245215652006,69.23076923076923,0.07
8,13.264496309003723,63.63636363636363,0.32,44.139584640929364,46.875,0.45,7.274387918128418,33.333333333333336,0.14
35,1.727223799216787,4.545454545454546,0.2,0.0,0.0,0.0,0.0,0.0,0.12
6,36.55552228545123,62.5,0.57,9.147827112247601,23.529411764705884,0.14,36.55552228545123,62.5,0.57
14,59.460355750136046,75.0,0.89,19.338531381761726,30.76923076923077,0.25,7.030983742621925,12.121212121212121,0.08
1,8.116697886877475,16.666666666666668,0.07,,,,,,
1,15.97357760615681,25.0,0.33,,,,,,
35,1.0253311603116817,2.7777777777777777,0.17,0.47462176237300036,1.3157894736842106,0.05,0.0,0.0,0.11
6,39.76353643835252,60.0,0.56,3.0977170338913482,6.818181818181818,0.07,3.419816740540656,7.5,0.07
14,0.0,0.0,0.86,10.682175159905848,20.0,0.38,0.0,0.0,0.86
1,0.6488583831481832,1.7857142857142858,0.0,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
35,0.0,33.333333333333336,0.11,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5413458104408098,100.0,0.23,,,,,,
8,0.0016701700790245667,100.0,0.19,17.049942472977204,91.66666666666667,0.45,17.049942472977204,91.66666666666667,0.49
2,29.280246850392217,83.33333333333333,0.36,34.24432373565111,90.625,0.51,,,
11,8.116697886877475,16.666666666666668,0.2,0.5749785925016119,1.5873015873015872,0.01,1.0885011049519644,2.9411764705882355,0.02
2,13.134549472120788,28.571428571428573,0.4,2.2869567780619007,5.882352941176471,0.05,,,
11,7.495553473355842,18.181818181818183,0.11,11.044795567078939,25.0,0.4,0.0,66.66666666666667,0.75
3,32.95303385024263,96.15384615384616,0.45,30.071053572843603,100.0,0.5,4.9787068367863965,100.0,0.43
8,100.00000000000004,100.0,0.75,59.867443078917944,62.5,0.6,59.867443078917944,62.5,0.6
35,1.6466642419110007,4.3478260869565215,0.16,3.0890553181566975,7.6923076923076925,0.34,0.0,0.0,0.11
6,19.37692912686648,50.0,0.4,38.05803001674947,46.15384615384615,0.3,38.05803001674947,46.15384615384615,0.3
14,59.460355750136046,75.0,0.89,0.0,66.66666666666667,0.75,0.0,66.66666666666667,0.57
1,0.0,0.0,0.0,,,,,,
1,0.7605497822189857,2.0833333333333335,0.01,,,,,,
35,6.567274736060395,14.285714285714286,0.47,0.8321783954793125,2.272727272727273,0.1,0.0,0.0,0.11
6,0.0,100.0,1.0,12.605968092174914,25.0,0.31,24.446151121745054,42.857142857142854,0.31
14,0.0,100.0,1.0,0.0,0.0,0.57,0.0,100.0,1.0
1,15.97357760615681,25.0,0.18,,,,,,
1,1.727223799216787,4.545454545454546,0.03,,,,,,
35,4.767707020457095,11.11111111111111,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1,5.967350351410419,100.0,0.29,,,,,,
8,1.5877422572448638,100.0,0.31,39.108782912313885,90.9090909090909,0.6,56.3580670650154,73.46938775510205,0.5
2,50.723735651234996,92.3076923076923,0.62,72.49523391726319,90.625,0.65,,,
11,1.3353534059549443,3.5714285714285716,0.04,5.522397783539471,12.5,0.17,0.0,0.0,0.06
2,21.3643503198117,40.0,0.44,16.233395773754953,33.333333333333336,0.44,,,
11,8.688218206838483,14.814814814814815,0.1,0.0,0.0,0.24,8.055259301867162,13.793103448275861,0.1
3,28.734757805787755,100.0,0.38,23.907458375640832,100.0,0.46,68.67991550116365,76.0,0.56
8,100.00000000000004,100.0,0.8,52.60093017679722,63.63636363636363,0.7,37.80850935680652,46.666666666666664,0.51
35,2.2869567780619007,5.882352941176471,0.29,2.445593937240363,6.25,0.33,0.0,0.0,0.11
