Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,8.116697886877475,16.666666666666668,0.24,1.387819277861591,3.7037037037037037,0.05
3,15.97357760615681,25.0,0.57,0.0,0.0,0.12,0.6866732953963862,1.8867924528301887,0.04
3,4.02724819242185,16.666666666666668,0.11,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.09,10.682175159905848,20.0,0.44,0.0,0.0,0.06
1,10.682175159905848,20.0,0.13,,,,,,
1,10.588944007215476,89.28571428571429,0.41,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15
3,0.0,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.02
1,0.7445292335166879,2.0408163265306123,0.01,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.17
3,0.0,0.0,0.02,0.0,0.0,0.31,0.0,0.0,0.04
1,0.6735878102046051,1.8518518518518519,0.01,,,,,,
35,0.6258807799153787,1.7241379310344827,0.05,15.97357760615681,25.0,0.67,0.0,0.0,0.14
11,0.0,33.333333333333336,0.4,10.682175159905848,20.0,0.17,10.682175159905848,20.0,0.13
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.97357760615681,25.0,0.18,,,,,,
8,57.14278571432763,80.59701492537313,0.52,52.683046290418666,78.46153846153847,0.38,42.45271145448808,86.27450980392157,0.4
1,40.85114182103546,84.7457627118644,0.41,,,,,,
9,7.196884728311048,11.475409836065573,0.12,4.112982349983277,40.0,0.31,7.637220463250014,9.722222222222221,0.09
29,0.7772751558853214,2.127659574468085,0.01,0.5015572500202529,1.3888888888888888,0.01,15.97357760615681,25.0,0.22
11,0.5657759656209534,1.5625,0.01,10.682175159905848,20.0,0.17,4.196114906296549,10.0,0.07
14,0.6735878102046051,1.8518518518518519,0.07,0.6735878102046051,1.8518518518518519,0.07,0.5482271666382152,1.5151515151515151,0.07
6,1.1137266446091825,3.076923076923077,0.02,1.4890584670333757,4.081632653061225,0.02,1.1689711837822976,3.225806451612903,0.02
1,0.6258807799153787,1.7241379310344827,0.01,,,,,,
2,0.5482271666382152,1.5151515151515151,0.01,0.5943123208853887,1.639344262295082,0.01,,,
2,0.0,66.66666666666667,0.4,31.947155212313625,50.0,0.44,,,
11,3.673526562988939,15.384615384615385,0.12,3.673526562988939,15.384615384615385,0.12,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.97357760615681,25.0,0.25,10.682175159905848,20.0,0.14,,,
2,36.08047274014381,82.97872340425532,0.38,0.008143217278099255,83.33333333333333,0.14,,,
8,30.063867049349668,97.05882352941177,0.42,14.547886469344993,69.6969696969697,0.38,18.10285592852007,95.83333333333333,0.55
8,52.584336181314,91.66666666666667,0.33,22.976067784680602,63.63636363636363,0.38,19.676067416607854,95.83333333333333,0.56
2,30.835295917195772,75.0,0.21,19.61173634384482,52.5,0.3,,,
11,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.06,0.7291698644541256,2.0,0.01
2,1.6466642419110007,4.3478260869565215,0.03,21.3643503198117,40.0,0.44,,,
11,0.0,0.0,0.05,0.0,0.0,0.31,0.0,0.0,0.57
1,51.697315395717055,62.5,0.6,,,,,,
8,1.5732934811145336,4.166666666666667,0.05,0.0,0.0,0.04,2.445593937240363,6.25,0.07
2,4.891187874480726,12.5,0.14,21.3643503198117,40.0,0.44,,,
11,0.0,66.66666666666667,0.67,5.255923420816887,13.333333333333334,0.2,0.0,0.0,0.4
1,68.037493331712,75.0,0.7,,,,,,
8,1.4445809981770859,3.8461538461538463,0.03,0.0,0.0,0.0,0.5943123208853887,1.639344262295082,0.01
2,3.1465869622290663,8.333333333333334,0.1,21.3643503198117,40.0,0.44,,,
11,17.747405280050266,33.333333333333336,0.44,8.513012360883549,17.647058823529413,0.26,30.213753973567677,50.0,0.62
3,3.798501463290022,100.0,0.32,28.461354558956092,87.5,0.4,0.193045413622771,100.0,0.23
8,11.103081472293377,20.0,0.18,9.530296889799907,17.24137931034483,0.13,10.825978373090527,16.666666666666668,0.16
35,6.567274736060395,14.285714285714286,0.67,0.0,0.0,0.24,0.0,0.0,0.1
6,39.76353643835252,60.0,0.43,15.619699684601283,30.0,0.17,39.76353643835252,60.0,0.43
14,0.0,100.0,1.0,10.682175159905848,20.0,0.17,6.567274736060395,14.285714285714286,0.09
1,6.567274736060395,14.285714285714286,0.09,,,,,,
1,1.3353534059549443,3.5714285714285716,0.02,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
11,15.97357760615681,25.0,0.18,10.682175159905848,20.0,0.17,1.1599713834969503,3.125,0.01
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
1,4.196114906296549,10.0,0.08,,,,,,
35,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,55.86374486571748,64.0,0.52,,,,,,
8,48.52424562799174,56.666666666666664,0.41,26.350669463858942,39.53488372093023,0.49,31.77776290395925,37.77777777777778,0.54
2,55.86374486571748,64.0,0.46,43.022709313926356,50.0,0.42,,,
11,1.1599713834969503,3.125,0.08,0.0,0.0,0.05,1.8160849415439309,4.761904761904762,0.13
3,85.07331335123531,86.66666666666667,0.63,50.86841681174389,53.84615384615385,0.39,0.0,100.0,0.2
8,91.93227152249175,92.85714285714286,0.68,32.25644666799451,35.13513513513514,0.47,25.162228443002995,27.659574468085108,0.33
35,4.196114906296549,10.0,0.3,0.0,0.0,0.24,0.0,0.0,0.08
6,14.794015674776452,50.0,0.4,1.958224832501124,8.695652173913043,0.1,14.794015674776452,50.0,0.4
14,15.619699684601283,30.0,0.33,0.0,0.0,0.0,1.9146030690102511,5.0,0.03
1,0.0,33.333333333333336,0.5,,,,,,
1,4.767707020457095,11.11111111111111,0.05,,,,,,
35,4.767707020457095,11.11111111111111,0.21,0.0,100.0,1.0,0.0,33.333333333333336,0.56
11,0.0,33.333333333333336,0.4,15.97357760615681,25.0,0.33,10.682175159905848,20.0,0.17
14,0.0,50.0,0.67,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,33.333333333333336,0.12,,,,,,
35,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
35,4.196114906296549,10.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.15,0.0,33.333333333333336,0.67
9,0.0,0.0,0.0,0.0,33.333333333333336,0.2,1.387819277861591,3.7037037037037037,0.02
1,0.0,50.0,0.5,,,,,,
35,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
