Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.19,3.0890553181566975,7.6923076923076925,0.14,1.506189323093867,4.0,0.1
2,0.0,0.0,0.16,0.0,0.0,0.24,,,
1,13.912311644176565,42.857142857142854,0.58,,,,,,
15,3.3864985683445354,8.333333333333334,0.15,3.3864985683445354,8.333333333333334,0.15,2.445593937240363,6.25,0.14
4,0.0,0.0,0.0,3.3864985683445354,8.333333333333334,0.05,3.3864985683445354,8.333333333333334,0.04
2,0.0,0.0,0.67,0.0,0.0,0.33,,,
1,2.627961710408444,6.666666666666667,0.02,,,,,,
17,0.0,33.333333333333336,0.46,0.0,0.0,0.0,0.0,33.333333333333336,0.46
4,2.627961710408444,6.666666666666667,0.14,10.682175159905848,20.0,0.5,0.0,0.0,0.44
1,0.0,33.333333333333336,0.33,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.06
3,0.44476523315234656,1.2345679012345678,0.05,3.0890553181566975,7.6923076923076925,0.15,1.727223799216787,4.545454545454546,0.09
3,0.0,66.66666666666667,0.5,3.673526562988939,15.384615384615385,0.09,0.0,0.0,0.0
1,4.196114906296549,10.0,0.07,,,,,,
1,2.445593937240363,6.25,0.04,,,,,,
24,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.06
3,0.0,0.0,0.06,0.46833399312669227,1.2987012987012987,0.04,0.0,0.0,0.06
3,12.703318703865365,40.0,0.25,4.456882760699063,18.181818181818183,0.09,2.908317710573757,12.5,0.07
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03
3,0.5964554503052832,2.7777777777777777,0.1,4.990049701936832,20.0,0.07,1.3353534059549443,3.5714285714285716,0.13
3,14.794015674776452,50.0,0.23,0.6488583831481832,1.7857142857142858,0.06,4.065425428798724,23.076923076923077,0.28
15,0.4562454050880755,1.2658227848101267,0.04,0.0,0.0,0.17,10.682175159905848,20.0,0.33
4,0.0,0.0,0.02,0.0,0.0,0.19,2.1476912089159055,5.555555555555555,0.16
2,10.682175159905848,20.0,0.8,0.5398548275054964,1.492537313432836,0.07,,,
16,15.97357760615681,25.0,0.57,0.4622106633998758,1.2820512820512822,0.04,0.5749785925016119,1.5873015873015872,0.04
4,0.0,0.0,0.09,15.97357760615681,25.0,0.5,0.0,0.0,0.22
1,6.567274736060395,14.285714285714286,0.08,,,,,,
1,1.0559717178170818,2.857142857142857,0.02,,,,,,
24,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03
3,0.7446030455068398,4.6875,0.09,3.377156414337854,14.285714285714286,0.28,4.990049701936832,20.0,0.24
3,3.1251907639724417,13.333333333333334,0.08,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5482271666382152,1.5151515151515151,0.01,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.01
3,0.0,0.0,0.19,3.673526562988939,15.384615384615385,0.27,1.506189323093867,4.0,0.11
3,12.703318703865365,40.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5732934811145336,4.166666666666667,0.02,,,,,,
1,0.0,0.0,0.0,,,,,,
24,15.97357760615681,25.0,0.3,1.8160849415439309,4.761904761904762,0.07,1.8160849415439309,4.761904761904762,0.06
3,0.0,33.333333333333336,0.17,3.0890553181566975,7.6923076923076925,0.11,6.567274736060395,14.285714285714286,0.19
3,12.869637315183779,80.0,0.5,11.44707843033496,31.25,0.24,7.768562846380172,50.0,0.34
15,0.7772751558853214,2.127659574468085,0.04,0.0,0.0,0.1,0.46833399312669227,1.2987012987012987,0.02
4,4.767707020457095,11.11111111111111,0.09,0.0,33.333333333333336,0.29,0.0,0.0,0.0
4,0.0,50.0,0.8,3.0890553181566975,7.6923076923076925,0.15,5.522397783539471,12.5,0.27
2,0.0,0.0,0.27,6.27465531099474,33.333333333333336,0.41,,,
16,2.445593937240363,6.25,0.12,5.522397783539471,12.5,0.18,2.8398387225677895,7.142857142857143,0.14
4,41.11336169005198,57.142857142857146,0.83,0.0,0.0,0.24,8.116697886877475,16.666666666666668,0.2
1,0.0,50.0,0.67,,,,,,
1,0.5162051047489141,1.4285714285714286,0.01,,,,,,
24,0.5238546714708301,1.4492753623188406,0.03,0.0,0.0,0.01,0.0,0.0,0.01
3,0.44476523315234656,1.2345679012345678,0.03,0.0,0.0,0.1,3.7477767366779213,9.090909090909092,0.2
3,16.451929399933114,50.0,0.44,3.2342452920962157,23.529411764705884,0.21,2.6643211213888947,15.789473684210526,0.16
15,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.08
4,2.0244462660665508,5.2631578947368425,0.02,2.445593937240363,6.25,0.04,2.2869567780619007,5.882352941176471,0.03
4,0.0,0.0,0.03,0.0,0.0,0.07,0.5844855918911488,1.6129032258064515,0.03
2,12.22307556087252,37.5,0.29,5.522397783539471,12.5,0.27,,,
16,0.0,0.0,0.15,0.0,0.0,0.27,0.0,0.0,0.21
2,0.0,0.0,0.05,0.0,0.0,0.03,,,
4,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.11
3,6.178110636313396,15.384615384615385,0.1,4.02724819242185,16.666666666666668,0.09,4.5739135561238005,11.764705882352942,0.07
1,2.445593937240363,6.25,0.04,,,,,,
2,1.3355980882200826,6.0606060606060606,0.1,0.641999201938103,2.985074626865672,0.07,,,
16,2.1476912089159055,5.555555555555555,0.12,10.682175159905848,20.0,0.38,0.5398548275054964,1.492537313432836,0.03
4,3.3864985683445354,8.333333333333334,0.2,0.0,33.333333333333336,0.38,2.0540268312306345,9.090909090909092,0.1
1,0.0,50.0,0.67,,,,,,
1,0.5844855918911488,1.6129032258064515,0.01,,,,,,
24,0.39506254884293407,1.098901098901099,0.04,2.627961710408444,6.666666666666667,0.17,1.286713095960916,3.4482758620689653,0.1
2,8.116697886877475,16.666666666666668,0.32,3.3864985683445354,8.333333333333334,0.12,,,
3,0.0,0.0,0.19,0.0,0.0,0.05,0.0,0.0,0.14
3,0.0,0.0,0.0,0.0,0.0,0.0,4.891187874480726,12.5,0.07
1,0.5317343965184799,1.4705882352941178,0.01,,,,,,
1,6.864327605936988,75.32467532467533,0.0,,,,,,
15,6.160330598798769,69.23076923076923,0.0,1.1628443630005398,67.24137931034483,0.0,6.009360347747962,68.83116883116882,0.0
10,2.1511596337479864,8.333333333333334,0.06,4.767707020457095,11.11111111111111,0.06,1.4390351492516715,5.633802816901408,0.05
10,4.767707020457095,11.11111111111111,0.07,1.8160849415439309,4.761904761904762,0.03,0.4135480978530135,1.1494252873563218,0.01
2,0.42858892466764814,1.1904761904761905,0.0,0.44476523315234656,1.2345679012345678,0.02,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4504321747452186,1.25,0.01,,,,,,
2,3.484913991633375,10.204081632653061,0.04,3.9240544574399294,7.5,0.05,,,
10,1.274014580907792,5.0,0.05,1.274014580907792,5.0,0.05,18.575057999133602,57.142857142857146,0.47
10,0.4504321747452186,1.25,0.01,4.767707020457095,11.11111111111111,0.08,0.4562454050880755,1.2658227848101267,0.01
2,0.4504321747452186,1.25,0.02,0.4504321747452186,1.25,0.02,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.46833399312669227,1.2987012987012987,0.01
1,0.0,50.0,0.67,,,,,,
2,14.991106946711685,36.36363636363637,0.17,3.366448367729339,6.451612903225806,0.06,,,
10,2.7486935821207292,5.376344086021505,0.06,3.203977047873906,6.25,0.06,3.203977047873906,6.25,0.05
10,0.5238546714708301,1.4492753623188406,0.01,0.4622106633998758,1.2820512820512822,0.01,0.4562454050880755,1.2658227848101267,0.01
2,1.9381886040198417,5.2631578947368425,0.04,0.9008643494904373,2.5,0.02,,,
10,0.5317343965184799,1.4705882352941178,0.01,0.0,0.0,0.0,1.199348129252962,3.225806451612903,0.03
1,0.0,50.0,0.67,,,,,,
2,12.5848347939092,23.076923076923077,0.18,13.121551386461338,24.0,0.17,,,
10,2.718973609837507,5.319148936170213,0.06,46.713797772820016,71.42857142857143,0.59,3.203977047873906,6.25,0.05
10,0.4504321747452186,1.25,0.01,6.567274736060395,14.285714285714286,0.1,1.4445809981770859,3.8461538461538463,0.04
2,0.9008643494904373,2.5,0.02,13.134549472120788,28.571428571428573,0.31,,,
10,6.567274736060395,14.285714285714286,0.17,0.0,0.0,0.0,0.918708060432945,2.5,0.02
1,0.0,50.0,0.67,,,,,,
2,54.10822690539397,85.71428571428571,0.71,10.448426281447128,19.35483870967742,0.16,,,
10,7.087648989046158,13.513513513513514,0.15,46.713797772820016,71.42857142857143,0.59,3.203977047873906,6.25,0.05
