Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.5015572500202529,1.3888888888888888,0.08,1.3355980882200826,6.0606060606060606,0.05,1.1524538390587937,5.2631578947368425,0.07
2,0.0,0.0,0.24,0.0,0.0,0.2,,,
1,7.129384882260374,55.55555555555556,0.3,,,,,,
1,0.0,0.0,0.29,,,,,,
2,0.0,100.0,0.89,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.06,,,,,,
24,0.0,0.0,0.18,1.387819277861591,3.7037037037037037,0.1,1.506189323093867,4.0,0.11
2,2.445593937240363,6.25,0.07,1.8709718017288024,8.333333333333334,0.11,,,
1,34.57913759237496,55.55555555555556,0.65,,,,,,
15,2.2869567780619007,5.882352941176471,0.12,1.3353534059549443,3.5714285714285716,0.03,2.445593937240363,6.25,0.13
1,0.0,0.0,0.0,,,,,,
4,0.0,0.0,0.38,2.2869567780619007,5.882352941176471,0.22,2.0244462660665508,5.2631578947368425,0.16
1,0.0,33.333333333333336,0.4,,,,,,
17,1.8160849415439309,4.761904761904762,0.16,4.767707020457095,11.11111111111111,0.32,0.42858892466764814,1.1904761904761905,0.04
2,9.103526405546068,18.75,0.26,6.760229884571737,14.285714285714286,0.23,,,
4,0.0,33.333333333333336,0.25,3.3864985683445354,8.333333333333334,0.04,8.116697886877475,16.666666666666668,0.12
2,0.0,50.0,0.89,15.97357760615681,25.0,0.57,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,4.767707020457095,11.11111111111111,0.06,,,,,,
24,5.522397783539471,12.5,0.33,2.0244462660665508,5.2631578947368425,0.14,2.0244462660665508,5.2631578947368425,0.14
2,3.8292061380205022,10.0,0.18,13.134549472120788,28.571428571428573,0.44,,,
1,7.62629178718672,56.25,0.43,,,,,,
15,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.06
4,1.8160849415439309,4.761904761904762,0.03,5.522397783539471,12.5,0.06,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.05,,,
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
17,2.1476912089159055,5.555555555555555,0.17,0.0,0.0,0.0,1.4445809981770859,3.8461538461538463,0.12
2,30.213753973567677,50.0,0.67,24.446151121745054,42.857142857142854,0.5,,,
4,0.0,33.333333333333336,0.14,5.522397783539471,12.5,0.06,0.0,33.333333333333336,0.2
2,0.0,0.0,0.24,0.0,0.0,0.19,,,
1,1.9146030690102511,5.0,0.02,,,,,,
17,10.682175159905848,20.0,0.52,0.0,0.0,0.0,0.0,0.0,0.38
2,6.760229884571737,14.285714285714286,0.21,3.60737546551436,7.894736842105263,0.13,,,
4,3.3864985683445354,8.333333333333334,0.07,4.196114906296549,10.0,0.07,2.445593937240363,6.25,0.04
2,0.0,0.0,0.36,3.3864985683445354,8.333333333333334,0.2,,,
1,6.567274736060395,14.285714285714286,0.08,,,,,,
17,6.567274736060395,14.285714285714286,0.4,0.0,0.0,0.29,0.0,0.0,0.38
2,30.213753973567677,50.0,0.69,24.446151121745054,42.857142857142854,0.55,,,
4,0.0,33.333333333333336,0.25,3.3864985683445354,8.333333333333334,0.05,10.682175159905848,20.0,0.18
2,0.0,50.0,0.91,0.0,0.0,0.11,,,
1,0.0,33.333333333333336,0.4,,,,,,
17,0.7144315612998046,1.9607843137254901,0.01,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,5.522397783539471,12.5,0.33,1.6466642419110007,4.3478260869565215,0.13,1.6466642419110007,4.3478260869565215,0.13
2,21.3643503198117,40.0,0.5,59.460355750136046,75.0,0.9,,,
3,2.0244462660665508,5.2631578947368425,0.03,6.567274736060395,14.285714285714286,0.07,2.627961710408444,6.666666666666667,0.04
2,12.44023474812678,25.0,0.19,4.456882760699063,25.0,0.22,,,
3,18.582387411554596,64.28571428571429,0.71,14.349222748535201,57.142857142857146,0.67,3.7340129118938714,16.666666666666668,0.18
15,0.0,0.0,0.36,0.0,0.0,0.2,1.6466642419110007,4.3478260869565215,0.17
2,1.5215999602512078,3.409090909090909,0.06,1.595387743412228,3.5714285714285716,0.05,,,
4,15.97357760615681,25.0,0.2,5.522397783539471,12.5,0.08,3.7477767366779213,9.090909090909092,0.06
4,5.522397783539471,12.5,0.29,24.880469496253564,50.0,0.5,24.880469496253564,50.0,0.5
2,4.990049701936832,20.0,0.28,9.688464563433238,25.0,0.32,,,
16,3.7477767366779213,9.090909090909092,0.17,0.0,0.0,0.27,15.97357760615681,25.0,0.24
1,0.0,0.0,0.0,,,,,,
4,7.994607499472017,16.666666666666668,0.3,39.76353643835252,60.0,0.85,5.8564582332753705,12.5,0.3
1,4.767707020457095,11.11111111111111,0.09,,,,,,
1,0.43384866842485925,1.2048192771084338,0.01,,,,,,
24,0.5238546714708301,1.4492753623188406,0.03,0.0,0.0,0.02,0.0,0.0,0.02
3,6.567274736060395,14.285714285714286,0.39,4.767707020457095,11.11111111111111,0.14,1.387819277861591,3.7037037037037037,0.09
3,31.702331385234313,66.66666666666667,0.87,21.409092659758045,47.05882352941177,0.68,20.105373454060025,44.44444444444444,0.65
