Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.06,0.0,0.0,0.13,0.0,0.0,0.13
19,0.0,0.0,0.14,0.0,0.0,0.03,0.0,0.0,0.0
3,5.669791110976001,22.22222222222222,0.18,3.1251907639724417,13.333333333333334,0.21,1.2557690800697192,5.714285714285714,0.1
3,0.0,0.0,0.0,3.377156414337854,14.285714285714286,0.11,0.0,0.0,0.0
1,2.8398387225677895,7.142857142857143,0.05,,,,,,
1,3.0717490052419585,11.11111111111111,0.84,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.41
10,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.02
2,2.0506623206233634,5.555555555555555,0.05,3.7477767366779213,9.090909090909092,0.12,,,
10,1.506189323093867,4.0,0.08,0.0,0.0,0.0,0.7144315612998046,1.9607843137254901,0.02
2,1.9381886040198417,5.2631578947368425,0.07,1.9381886040198417,5.2631578947368425,0.07,,,
10,0.969094302009921,2.6315789473684212,0.05,1.387819277861591,3.7037037037037037,0.08,0.969094302009921,2.6315789473684212,0.05
2,3.1465869622290663,8.333333333333334,0.12,3.2933284838220014,8.695652173913043,0.13,,,
10,1.286713095960916,3.4482758620689653,0.04,1.286713095960916,3.4482758620689653,0.07,0.969094302009921,2.6315789473684212,0.05
2,0.0,0.0,0.0,0.0,100.0,0.86,,,
10,1.0253311603116817,2.7777777777777777,0.05,1.6466642419110007,4.3478260869565215,0.09,0.969094302009921,2.6315789473684212,0.05
2,1.9381886040198417,5.2631578947368425,0.07,4.295382417831811,11.11111111111111,0.16,,,
10,0.969094302009921,2.6315789473684212,0.04,1.6466642419110007,4.3478260869565215,0.09,0.969094302009921,2.6315789473684212,0.05
2,1.9381886040198417,5.2631578947368425,0.07,6.178110636313396,15.384615384615385,0.22,,,
10,1.0253311603116817,2.7777777777777777,0.04,0.969094302009921,2.6315789473684212,0.05,1.506189323093867,4.0,0.07
2,1.9381886040198417,5.2631578947368425,0.07,0.0,0.0,0.0,,,
10,1.3353534059549443,3.5714285714285716,0.06,1.6466642419110007,4.3478260869565215,0.09,1.6466642419110007,4.3478260869565215,0.09
2,2.6707068119098882,7.142857142857143,0.09,3.1465869622290663,8.333333333333334,0.09,,,
10,0.0,0.0,0.0,0.8733042428534794,2.380952380952381,0.04,3.0890553181566975,7.6923076923076925,0.15
2,1.9381886040198417,5.2631578947368425,0.07,16.233395773754953,33.333333333333336,0.46,,,
10,1.1599713834969503,3.125,0.05,0.969094302009921,2.6315789473684212,0.05,1.2414943415352928,3.3333333333333335,0.06
2,2.0506623206233634,5.555555555555555,0.08,6.772997136689072,16.666666666666668,0.24,,,
10,1.0253311603116817,2.7777777777777777,0.05,0.969094302009921,2.6315789473684212,0.05,0.0,0.0,0.07
2,3.2933284838220014,8.695652173913043,0.13,16.233395773754953,33.333333333333336,0.46,,,
10,1.1599713834969503,3.125,0.06,1.0253311603116817,2.7777777777777777,0.05,1.0885011049519644,2.9411764705882355,0.05
2,2.177002209903929,5.882352941176471,0.08,31.947155212313625,50.0,0.67,,,
10,0.0,0.0,0.0,1.6466642419110007,4.3478260869565215,0.09,1.0253311603116817,2.7777777777777777,0.05
1,0.0,50.0,0.5,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
24,1.727223799216787,4.545454545454546,0.17,0.0,0.0,0.21,0.0,0.0,0.06
19,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.0,0.06
3,61.47881529512643,71.42857142857143,0.81,3.21858262703621,18.75,0.38,5.2099118006280785,8.823529411764707,0.14
3,6.178110636313396,15.384615384615385,0.11,0.9044512123285878,4.166666666666667,0.04,1.9381886040198417,5.2631578947368425,0.05
1,0.918708060432945,2.5,0.02,,,,,,
1,2.033435199928181,7.5,0.62,,,,,,
15,1.092534162077208,5.0,0.61,1.092534162077208,5.0,0.61,1.6504045595709425,7.407407407407407,0.87
10,0.0,0.0,0.0,1.387819277861591,3.7037037037037037,0.04,1.387819277861591,3.7037037037037037,0.04
2,1.8374161208658897,5.0,0.07,2.775638555723182,7.407407407407407,0.11,,,
10,0.918708060432945,2.5,0.04,1.387819277861591,3.7037037037037037,0.08,0.8733042428534794,2.380952380952381,0.03
2,1.8374161208658897,5.0,0.07,5.679677445135579,14.285714285714286,0.21,,,
10,0.0,100.0,1.0,1.387819277861591,3.7037037037037037,0.08,1.6466642419110007,4.3478260869565215,0.09
2,3.8292061380205022,10.0,0.12,0.0,50.0,0.29,,,
10,0.918708060432945,2.5,0.04,5.522397783539471,12.5,0.29,4.767707020457095,11.11111111111111,0.22
2,13.134549472120788,28.571428571428573,0.43,16.233395773754953,33.333333333333336,0.46,,,
10,0.918708060432945,2.5,0.04,1.8160849415439309,4.761904761904762,0.09,0.918708060432945,2.5,0.04
2,1.8374161208658897,5.0,0.07,11.044795567078939,25.0,0.35,,,
10,0.918708060432945,2.5,0.04,6.567274736060395,14.285714285714286,0.25,0.9432284668356838,2.5641025641025643,0.04
2,2.775638555723182,7.407407407407407,0.11,16.233395773754953,33.333333333333336,0.46,,,
10,0.918708060432945,2.5,0.04,0.918708060432945,2.5,0.04,0.918708060432945,2.5,0.04
2,1.8374161208658897,5.0,0.07,5.679677445135579,14.285714285714286,0.21,,,
10,0.918708060432945,2.5,0.04,3.0890553181566975,7.6923076923076925,0.15,0.918708060432945,2.5,0.04
2,2.4829886830705856,6.666666666666667,0.08,5.679677445135579,14.285714285714286,0.21,,,
10,0.918708060432945,2.5,0.04,0.918708060432945,2.5,0.04,1.2414943415352928,3.3333333333333335,0.06
2,4.295382417831811,11.11111111111111,0.15,8.392229812593097,20.0,0.29,,,
10,0.918708060432945,2.5,0.04,0.918708060432945,2.5,0.04,4.767707020457095,11.11111111111111,0.22
2,1.8374161208658897,5.0,0.07,5.679677445135579,14.285714285714286,0.21,,,
10,0.918708060432945,2.5,0.04,6.567274736060395,14.285714285714286,0.29,0.918708060432945,2.5,0.04
2,16.233395773754953,33.333333333333336,0.46,16.233395773754953,33.333333333333336,0.46,,,
10,0.918708060432945,2.5,0.04,2.2869567780619007,5.882352941176471,0.11,0.918708060432945,2.5,0.04
2,4.048892532133102,10.526315789473685,0.17,5.679677445135579,14.285714285714286,0.21,,,
10,3.0890553181566975,7.6923076923076925,0.15,10.682175159905848,20.0,0.4,0.969094302009921,2.6315789473684212,0.05
1,0.0,50.0,0.5,,,,,,
1,1.123099644603982,3.0303030303030303,0.02,,,,,,
24,1.5732934811145336,4.166666666666667,0.14,0.0,0.0,0.2,0.0,0.0,0.05
19,0.0,0.0,0.04,0.0,0.0,0.07,0.0,0.0,0.0
3,0.0,0.0,0.0,0.8733042428534794,2.380952380952381,0.02,1.8160849415439309,4.761904761904762,0.03
2,0.0,0.0,0.32,0.0,0.0,0.13,,,
3,0.0,0.0,0.0,1.958224832501124,8.695652173913043,0.06,1.7911710595643588,8.0,0.05
6,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5732934811145336,4.166666666666667,0.03,,,,,,
1,100.00000000000004,100.0,0.97,,,,,,
15,59.867443078917944,62.5,0.73,27.80183690846533,36.8421052631579,0.4,59.867443078917944,62.5,0.74
10,14.728212724124628,20.833333333333332,0.38,24.601372576927535,33.333333333333336,0.56,14.728212724124628,20.833333333333332,0.38
2,86.6877899750182,100.0,0.98,86.6877899750182,100.0,0.98,,,
10,100.00000000000004,100.0,1.0,100.00000000000004,100.0,1.0,100.00000000000004,100.0,1.0
1,1.9146030690102511,5.0,0.02,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.06,0.0,0.0,0.06
3,12.703318703865365,40.0,0.24,17.00107809840423,23.80952380952381,0.32,4.565716647277462,6.756756756756757,0.11
3,5.934202609760488,40.0,0.91,3.4585921141027365,25.0,0.71,5.934202609760488,40.0,0.91
15,0.0,0.0,0.5,1.8160849415439309,4.761904761904762,0.06,2.445593937240363,6.25,0.12
4,4.767707020457095,11.11111111111111,0.24,2.445593937240363,6.25,0.16,2.445593937240363,6.25,0.16
