Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.06,0.0,0.0,0.11,0.0,0.0,0.13
19,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
3,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.04
3,0.0,0.0,0.0,30.213753973567677,50.0,0.6,0.0,0.0,0.0
6,0.7002773917100699,1.9230769230769231,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,4.196114906296549,10.0,0.07,,,,,,
3,3.377156414337854,14.285714285714286,0.09,2.6067261737789416,5.769230769230769,0.07,7.12695567709093,15.0,0.06
6,4.767707020457095,11.11111111111111,0.15,0.0,0.0,0.06,4.767707020457095,11.11111111111111,0.15
1,4.196114906296549,10.0,0.07,,,,,,
1,4.661004891163008,12.244897959183673,0.76,,,,,,
15,2.908317710573757,12.5,0.1,3.2777846329391305,9.615384615384615,0.61,40.1577332834242,45.0,0.8
10,0.8327748566971627,3.8461538461538463,0.42,0.8853994618255676,4.081632653061225,0.67,0.8327748566971627,3.8461538461538463,0.42
10,0.7002773917100699,1.9230769230769231,0.01,0.0,0.0,0.02,0.7605497822189857,2.0833333333333335,0.02
2,1.9146030690102511,5.0,0.05,1.3733465907927724,3.7735849056603774,0.04,,,
10,0.9432284668356838,2.5641025641025643,0.04,0.0,0.0,0.04,0.7445292335166879,2.0408163265306123,0.03
2,1.8374161208658897,5.0,0.06,1.4890584670333757,4.081632653061225,0.05,,,
10,0.9432284668356838,2.5641025641025643,0.05,0.918708060432945,2.5,0.05,0.7605497822189857,2.0833333333333335,0.03
2,1.8864569336713677,5.128205128205129,0.07,1.8374161208658897,5.0,0.07,,,
10,0.918708060432945,2.5,0.04,1.286713095960916,3.4482758620689653,0.03,1.387819277861591,3.7037037037037037,0.08
2,1.4005547834201397,3.8461538461538463,0.05,2.775638555723182,7.407407407407407,0.11,,,
10,0.0,0.0,0.0,1.286713095960916,3.4482758620689653,0.07,1.387819277861591,3.7037037037037037,0.08
2,1.3733465907927724,3.7735849056603774,0.04,2.0506623206233634,5.555555555555555,0.04,,,
10,0.9432284668356838,2.5641025641025643,0.04,1.387819277861591,3.7037037037037037,0.08,1.286713095960916,3.4482758620689653,0.07
2,1.3471756204092102,3.7037037037037037,0.04,3.012378646187734,8.0,0.12,,,
10,1.286713095960916,3.4482758620689653,0.07,0.9432284668356838,2.5641025641025643,0.04,1.387819277861591,3.7037037037037037,0.08
2,2.6707068119098882,7.142857142857143,0.11,1.3733465907927724,3.7735849056603774,0.05,,,
10,0.918708060432945,2.5,0.03,0.6488583831481832,1.7857142857142858,0.03,1.506189323093867,4.0,0.08
2,1.3733465907927724,3.7735849056603774,0.04,2.775638555723182,7.407407407407407,0.11,,,
