Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.23,1.7179060012299232,7.6923076923076925,0.06,1.7179060012299232,7.6923076923076925,0.06
2,0.0,0.0,0.25,0.0,0.0,0.2,,,
1,11.208466750961147,45.45454545454545,0.43,,,,,,
1,0.0,0.0,0.22,,,,,,
2,0.0,100.0,0.89,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,0.0,33.333333333333336,0.25,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
24,1.8155431088372649,14.285714285714286,0.19,0.0,0.0,0.12,3.6310862176745293,28.571428571428573,0.29
2,0.0,0.0,0.15,0.0,0.0,0.1,,,
1,4.672545930381245,45.45454545454545,0.32,,,,,,
1,0.0,0.0,0.05,,,,,,
1,0.0,33.333333333333336,0.29,,,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.772997136689072,16.666666666666668,0.24,0.0,0.0,0.0,,,
1,3.0890553181566975,7.6923076923076925,0.2,,,,,,
1,0.0,33.333333333333336,0.57,,,,,,
6,0.0,33.333333333333336,0.17,10.682175159905848,20.0,0.25,0.0,0.0,0.0
2,6.285596338261262,21.428571428571427,0.26,8.29519350710986,27.272727272727273,0.31,,,
1,0.0,0.0,0.11,,,,,,
1,0.0,100.0,0.8,,,,,,
6,6.567274736060395,14.285714285714286,0.05,15.97357760615681,25.0,0.13,0.0,0.0,0.17
1,0.0,50.0,0.67,,,,,,
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.2,0.5844855918911488,1.6129032258064515,0.05,0.9964194812460634,2.7027027027027026,0.07
2,0.0,33.333333333333336,0.17,1.6466642419110007,4.3478260869565215,0.08,,,
1,23.60674082916472,45.833333333333336,0.48,,,,,,
15,2.2869567780619007,5.882352941176471,0.12,1.3353534059549443,3.5714285714285716,0.07,0.0,0.0,0.1
4,0.0,0.0,0.0,2.627961710408444,6.666666666666667,0.03,0.0,0.0,0.0
2,0.0,0.0,0.0,2.445593937240363,6.25,0.12,,,
1,0.0,33.333333333333336,0.4,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
4,10.682175159905848,20.0,0.18,3.3864985683445354,8.333333333333334,0.04,15.97357760615681,25.0,0.14
2,0.0,0.0,0.11,0.0,0.0,0.12,,,
1,0.0,50.0,0.67,,,,,,
17,4.196114906296549,10.0,0.29,3.3864985683445354,8.333333333333334,0.26,0.0,0.0,0.27
2,20.556680845025987,37.5,0.64,20.556680845025987,37.5,0.64,,,
4,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29,4.196114906296549,10.0,0.06
2,0.0,50.0,0.89,0.0,33.333333333333336,0.8,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,15.97357760615681,25.0,0.29,1.5732934811145336,4.166666666666667,0.02
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.07
3,10.682175159905848,20.0,0.12,2.8398387225677895,7.142857142857143,0.03,0.48108068600212583,1.3333333333333333,0.01
2,0.0,33.333333333333336,0.1,1.506189323093867,4.0,0.09,,,
3,19.304869754804482,66.66666666666667,0.67,2.978116934066752,8.16326530612245,0.13,3.985677924984254,10.81081081081081,0.14
15,0.0,0.0,0.22,3.7477767366779213,9.090909090909092,0.24,3.7477767366779213,9.090909090909092,0.24
4,0.0,50.0,0.4,0.0,50.0,0.4,0.8522452865706931,2.3255813953488373,0.02
4,0.0,0.0,0.29,0.0,0.0,0.02,0.0,0.0,0.05
1,1.0885011049519644,2.9411764705882355,0.02,,,,,,
1,1.0559717178170818,2.857142857142857,0.02,,,,,,
24,5.522397783539471,12.5,0.1,1.0253311603116817,2.7777777777777777,0.04,1.0253311603116817,2.7777777777777777,0.04
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.04
3,9.782375748961453,25.0,0.3,0.0,0.0,0.27,0.0,66.66666666666667,0.25
15,0.0,0.0,0.11,0.8522452865706931,2.3255813953488373,0.06,0.0,0.0,0.17
4,3.3864985683445354,8.333333333333334,0.05,0.0,33.333333333333336,0.29,3.3864985683445354,8.333333333333334,0.05
4,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.15
1,0.0,33.333333333333336,0.29,,,,,,
1,0.0,50.0,0.67,,,,,,
24,0.7947529289544674,2.1739130434782608,0.07,1.0253311603116817,2.7777777777777777,0.08,1.0253311603116817,2.7777777777777777,0.08
2,2.8933441477048882,6.382978723404255,0.11,2.8933441477048882,6.382978723404255,0.11,,,
3,1.506189323093867,4.0,0.02,2.445593937240363,6.25,0.03,2.627961710408444,6.666666666666667,0.03
