Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.9432284668356838,2.5641025641025643,0.07,1.387819277861591,3.7037037037037037,0.05,2.445593937240363,6.25,0.08
3,0.0,0.0,0.25,0.0,0.0,0.09,0.542570281918038,2.5316455696202533,0.05
3,36.55552228545123,62.5,0.71,9.083627868206413,27.77777777777778,0.33,2.5540496664715904,11.11111111111111,0.14
15,0.0,0.0,0.04,0.6488583831481832,1.7857142857142858,0.04,3.3864985683445354,8.333333333333334,0.22
4,3.7477767366779213,9.090909090909092,0.08,3.7477767366779213,9.090909090909092,0.07,3.3864985683445354,8.333333333333334,0.07
4,15.97357760615681,25.0,0.46,3.3864985683445354,8.333333333333334,0.2,3.3864985683445354,8.333333333333334,0.2
1,0.8130350574508933,2.2222222222222223,0.01,,,,,,
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
24,3.0890553181566975,7.6923076923076925,0.16,3.0890553181566975,7.6923076923076925,0.16,3.0890553181566975,7.6923076923076925,0.16
3,6.754312828675707,28.571428571428573,0.3,1.283998403876206,5.970149253731344,0.09,2.0877077807874116,7.6923076923076925,0.08
3,66.06328636027612,80.0,0.93,5.439330544349821,23.529411764705884,0.49,12.011055432195764,35.714285714285715,0.4
15,0.0,0.0,0.44,2.8398387225677895,7.142857142857143,0.16,2.445593937240363,6.25,0.15
4,0.0,0.0,0.1,2.2869567780619007,5.882352941176471,0.17,4.196114906296549,10.0,0.29
2,68.037493331712,75.0,0.71,100.00000000000004,100.0,0.92,,,
16,10.682175159905848,20.0,0.5,0.0,0.0,0.22,0.0,0.0,0.27
4,2.8398387225677895,7.142857142857143,0.04,4.196114906296549,10.0,0.08,10.682175159905848,20.0,0.22
4,15.97357760615681,25.0,0.73,2.1476912089159055,5.555555555555555,0.16,2.1476912089159055,5.555555555555555,0.16
3,13.134549472120788,28.571428571428573,0.25,4.295382417831811,11.11111111111111,0.09,0.0,0.0,0.0
1,2.1476912089159055,5.555555555555555,0.04,,,,,,
1,0.0,50.0,0.67,,,,,,
1,0.8522452865706931,2.3255813953488373,0.02,,,,,,
24,2.8398387225677895,7.142857142857143,0.14,1.3353534059549443,3.5714285714285716,0.06,1.3353534059549443,3.5714285714285716,0.05
3,2.1476912089159055,5.555555555555555,0.12,1.9146030690102511,5.0,0.1,0.7947529289544674,2.1739130434782608,0.05
3,53.3167536340577,66.66666666666667,0.79,53.3167536340577,66.66666666666667,0.79,53.3167536340577,66.66666666666667,0.58
15,0.8130350574508933,2.2222222222222223,0.04,3.3864985683445354,8.333333333333334,0.17,3.3864985683445354,8.333333333333334,0.17
4,3.3864985683445354,8.333333333333334,0.22,3.3864985683445354,8.333333333333334,0.22,3.3864985683445354,8.333333333333334,0.22
2,51.697315395717055,60.0,0.67,7.144376414907923,12.0,0.12,,,
16,3.3864985683445354,8.333333333333334,0.22,3.0890553181566975,7.6923076923076925,0.19,3.3864985683445354,8.333333333333334,0.22
4,5.522397783539471,12.5,0.07,15.97357760615681,25.0,0.22,0.4622106633998758,1.2820512820512822,0.01
4,15.97357760615681,25.0,0.73,1.727223799216787,4.545454545454546,0.08,15.97357760615681,25.0,0.67
3,8.392229812593097,20.0,0.15,11.044795567078939,25.0,0.16,4.295382417831811,11.11111111111111,0.07
1,3.3864985683445354,8.333333333333334,0.06,,,,,,
1,0.7947529289544674,2.1739130434782608,0.01,,,,,,
1,0.0007865668005590463,63.04347826086956,0.06,,,,,,
8,36.49209153994252,44.73684210526316,0.36,32.09203990521854,39.53488372093023,0.36,35.51809094683444,43.58974358974359,0.38
2,50.52859540910374,59.25925925925926,0.56,3.787865612579481,20.0,0.07,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.6735878102046051,1.8518518518518519,0.01
9,51.56626918239821,58.333333333333336,0.74,27.65355515845788,33.333333333333336,0.49,34.82352832757854,41.1764705882353,0.63
6,100.00000000000004,100.0,0.88,28.917849332325716,38.46153846153846,0.54,17.92334464048542,25.0,0.35
14,0.0,0.0,0.1,0.0,0.0,0.12,1.3353534059549443,3.5714285714285716,0.13
1,4.891187874480726,12.5,0.25,,,,,,
14,2.1476912089159055,5.555555555555555,0.11,0.969094302009921,2.6315789473684212,0.05,0.9432284668356838,2.5641025641025643,0.07
1,5.522397783539471,12.5,0.06,,,,,,
3,8.697972365316721,60.0,0.45,8.054496384843702,33.333333333333336,0.31,5.684653076227407,28.571428571428573,0.31
8,10.62372743739878,60.0,0.57,4.3179000236065885,22.580645161290324,0.34,4.899017558375205,17.073170731707318,0.16
35,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.15
6,3.0890553181566975,7.6923076923076925,0.03,9.864703138979419,27.272727272727273,0.15,7.474875887495341,21.428571428571427,0.15
14,0.5238546714708301,1.4492753623188406,0.01,0.8321783954793125,2.272727272727273,0.01,0.9432284668356838,2.5641025641025643,0.01
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
1,10.682175159905848,20.0,0.11,,,,,,
35,10.682175159905848,20.0,0.61,0.0,0.0,0.13,0.0,33.333333333333336,0.94
9,1.199348129252962,3.225806451612903,0.01,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2
1,0.0,33.333333333333336,0.2,,,,,,
35,10.682175159905848,20.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
3,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
1,0.0,33.333333333333336,0.2,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.21
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,1.0253311603116817,2.7777777777777777,0.04,2.1476912089159055,5.555555555555555,0.16,0.4622106633998758,1.2820512820512822,0.02
1,0.0,33.333333333333336,0.33,,,,,,
15,0.0,0.0,0.0,1.727223799216787,4.545454545454546,0.04,0.0,0.0,0.0
1,0.0,33.333333333333336,0.4,,,,,,
35,0.0,0.0,0.0,0.0,33.333333333333336,0.12,10.682175159905848,20.0,0.16
2,0.0,0.0,0.06,0.0,0.0,0.0,,,
3,8.392229812593097,20.0,0.33,0.0,0.0,0.15,0.0,0.0,0.11
1,21.3643503198117,40.0,0.5,,,,,,
15,8.116697886877475,16.666666666666668,0.14,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.1
1,0.0,33.333333333333336,0.5,,,,,,
35,0.46833399312669227,1.2987012987012987,0.03,6.567274736060395,14.285714285714286,0.07,0.0,0.0,0.21
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,0.0,33.333333333333336,0.32,0.4622106633998758,1.2820512820512822,0.02,10.682175159905848,20.0,0.48
1,0.0,50.0,0.4,,,,,,
15,0.0,100.0,1.0,0.7772751558853214,2.127659574468085,0.01,0.0,100.0,1.0
1,3.0890553181566975,7.6923076923076925,0.04,,,,,,
35,0.836886020376377,2.3255813953488373,0.04,0.0,33.333333333333336,0.12,10.682175159905848,20.0,0.15
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,8.116697886877475,16.666666666666668,0.24,4.02724819242185,16.666666666666668,0.22,0.9216168770877762,5.769230769230769,0.08
1,0.0,66.66666666666667,0.67,,,,,,
15,8.116697886877475,16.666666666666668,0.13,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,33.333333333333336,0.4,,,,,,
35,0.846910394206446,2.3529411764705883,0.05,0.0,33.333333333333336,0.12,6.567274736060395,14.285714285714286,0.13
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,9.846052248031867,33.333333333333336,0.29,13.065113298388567,38.46153846153846,0.46,0.0,0.0,0.19
1,0.0,33.333333333333336,0.4,,,,,,
35,0.0,0.0,0.06,5.522397783539471,12.5,0.13,2.627961710408444,6.666666666666667,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,2.7757915716335906,25.0,0.3,4.789232204309912,33.333333333333336,0.08,4.515183688171633,20.0,0.26
1,0.0,33.333333333333336,0.18,,,,,,
15,0.0,0.0,0.15,0.0,0.0,0.08,0.0,0.0,0.0
2,10.682175159905848,20.0,0.17,0.0,0.0,0.0,,,
10,2.445593937240363,6.25,0.05,2.445593937240363,6.25,0.05,2.445593937240363,6.25,0.05
1,2.445593937240363,6.25,0.05,,,,,,
35,0.8895304663046931,2.4691358024691357,0.06,0.0,33.333333333333336,0.12,3.7477767366779213,9.090909090909092,0.15
2,0.0,0.0,0.0,0.0,0.0,0.07,,,
3,2.4179007502658747,6.666666666666667,0.11,0.0,0.0,0.15,7.508325052934221,12.903225806451612,0.29
1,0.0,33.333333333333336,0.33,,,,,,
15,0.0,0.0,0.0,1.506189323093867,4.0,0.03,0.0,0.0,0.0
1,5.522397783539471,12.5,0.05,,,,,,
35,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.19,3.7477767366779213,9.090909090909092,0.14
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,8.913765521398126,36.36363636363637,0.39,4.456882760699063,25.0,0.31,2.0877077807874116,7.6923076923076925,0.14
1,0.0,66.66666666666667,0.67,,,,,,
15,4.196114906296549,10.0,0.07,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.06
1,5.522397783539471,12.5,0.06,,,,,,
8,33.00383140413119,75.0,0.16,32.47013167297465,82.6086956521739,0.1,10.248603466335517,67.85714285714286,0.18
2,18.5071042102692,97.72727272727273,0.3,18.5071042102692,97.72727272727273,0.27,,,
6,1.8374161208658897,5.0,0.11,1.1599713834969503,3.125,0.07,0.0,0.0,0.1
2,0.0,0.0,0.04,0.0,0.0,0.0,,,
3,0.0,100.0,1.0,2.8398387225677895,7.142857142857143,0.08,1.3353534059549443,3.5714285714285716,0.03
1,6.567274736060395,14.285714285714286,0.13,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.727223799216787,4.545454545454546,0.03,,,,,,
2,0.43923912641022456,1.2195121951219512,0.01,3.7477767366779213,9.090909090909092,0.1,,,
4,0.3864259978779946,1.075268817204301,0.01,0.6149917424924614,1.694915254237288,0.01,2.627961710408444,6.666666666666667,0.05
9,0.0,0.0,0.18,0.0,0.0,0.16,3.3864985683445354,8.333333333333334,0.3
1,39.44661470922207,72.28915662650603,0.43,,,,,,
1,0.0,100.0,1.0,,,,,,
6,0.0,0.0,0.0,1.0797096550109928,2.985074626865672,0.02,0.0,0.0,0.0
1,44.99058901695537,88.88888888888889,0.43,,,,,,
8,43.95096774772705,69.62025316455696,0.27,26.978825619119764,61.03896103896104,0.31,41.615366058846774,72.8395061728395,0.31
8,39.503902109143844,71.5909090909091,0.35,26.05151900245829,55.42168674698795,0.36,26.27327617874602,60.526315789473685,0.31
2,27.55696429511548,71.875,0.34,21.040006411066766,56.71641791044776,0.34,,,
11,4.196114906296549,10.0,0.38,0.0,0.0,0.14,0.42858892466764814,1.1904761904761905,0.03
