Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.9432284668356838,2.5641025641025643,0.07,4.196114906296549,10.0,0.12,1.4445809981770859,3.8461538461538463,0.05
3,1.387819277861591,3.7037037037037037,0.07,0.0,0.0,0.1,0.4504321747452186,1.25,0.05
3,8.170609724417774,33.333333333333336,0.36,1.0312019115847757,8.0,0.08,2.908317710573757,12.5,0.2
15,0.0,0.0,0.22,3.3864985683445354,8.333333333333334,0.2,2.2869567780619007,5.882352941176471,0.16
4,3.0890553181566975,7.6923076923076925,0.21,3.7477767366779213,9.090909090909092,0.22,3.3864985683445354,8.333333333333334,0.17
3,8.392229812593097,20.0,0.16,3.673526562988939,15.384615384615385,0.09,8.392229812593097,20.0,0.16
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
2,0.0,0.0,0.24,2.627961710408444,6.666666666666667,0.17,,,
16,2.627961710408444,6.666666666666667,0.15,0.0,0.0,0.5,15.97357760615681,25.0,0.33
4,0.0,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.11
1,0.5568633223045912,1.5384615384615385,0.01,,,,,,
1,0.5657759656209534,1.5625,0.01,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.25,0.0,0.0,0.08,3.0890553181566975,7.6923076923076925,0.31
3,4.9323515694897075,27.272727272727273,0.42,5.854497694024015,33.333333333333336,0.36,10.511846841633776,26.666666666666668,0.28
15,0.0,0.0,0.22,1.3353534059549443,3.5714285714285716,0.11,5.522397783539471,12.5,0.28
4,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.05
3,11.044795567078939,25.0,0.16,7.809849842300637,28.571428571428573,0.17,5.679677445135579,14.285714285714286,0.1
1,2.445593937240363,6.25,0.03,,,,,,
2,16.233395773754953,33.333333333333336,0.83,13.134549472120788,28.571428571428573,0.8,,,
16,3.7477767366779213,9.090909090909092,0.21,0.0,0.0,0.22,2.2869567780619007,5.882352941176471,0.14
4,0.0,0.0,0.12,0.0,0.0,0.2,2.8398387225677895,7.142857142857143,0.2
3,11.044795567078939,25.0,0.24,4.990049701936832,20.0,0.09,7.495553473355842,18.181818181818183,0.14
1,0.0,33.333333333333336,0.29,,,,,,
1,0.0,0.0,0.0,,,,,,
1,5.522397783539471,12.5,0.07,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.02
3,10.682175159905848,20.0,0.5,0.0,0.0,0.04,0.7002773917100699,1.9230769230769231,0.04
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.05
1,1.0885011049519644,2.9411764705882355,0.02,,,,,,
1,26.48404833004815,55.319148936170215,0.62,,,,,,
35,0.969094302009921,2.6315789473684212,0.06,0.969094302009921,2.6315789473684212,0.06,0.0,0.0,0.15
3,0.6371624499564389,1.7543859649122806,0.04,0.0,0.0,0.38,1.9146030690102511,5.0,0.11
3,4.02724819242185,16.666666666666668,0.25,18.99589214128981,50.0,0.19,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.46
1,0.0,50.0,0.67,,,,,,
1,1.387819277861591,3.7037037037037037,0.02,,,,,,
35,0.0,0.0,0.04,5.522397783539471,12.5,0.28,0.0,0.0,0.15
3,0.0,0.0,0.33,0.0,0.0,0.24,0.0,0.0,0.35
