Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.03
9,0.0,0.0,0.0,0.0,0.0,0.0,2.2869567780619007,5.882352941176471,0.08
3,0.0,33.333333333333336,0.31,5.679677445135579,14.285714285714286,0.28,1.727223799216787,4.545454545454546,0.07
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,5.522397783539471,12.5,0.06
1,2.0244462660665508,5.2631578947368425,0.02,,,,,,
24,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.07
3,1.123099644603982,3.0303030303030303,0.05,0.0,0.0,0.1,0.969094302009921,2.6315789473684212,0.05
3,0.0,0.0,0.0,3.1251907639724417,13.333333333333334,0.11,0.0,0.0,0.0
6,0.0,0.0,0.33,0.0,0.0,0.11,0.0,0.0,0.0
1,8.116697886877475,16.666666666666668,0.11,,,,,,
1,4.767707020457095,11.11111111111111,0.06,,,,,,
24,0.0,0.0,0.11,2.445593937240363,6.25,0.14,2.445593937240363,6.25,0.13
3,0.0,0.0,0.09,0.0,0.0,0.14,0.0,0.0,0.04
3,12.605968092174914,25.0,0.3,1.038539619163422,4.761904761904762,0.04,9.652434877402245,33.333333333333336,0.4
15,0.0,0.0,0.03,0.0,0.0,0.03,10.682175159905848,20.0,0.42
1,1.199348129252962,3.225806451612903,0.01,,,,,,
1,4.196114906296549,10.0,0.05,,,,,,
24,6.567274736060395,14.285714285714286,0.3,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.04
3,18.99589214128981,50.0,0.67,6.567274736060395,25.0,0.51,7.809849842300637,28.571428571428573,0.45
15,10.682175159905848,20.0,0.4,0.0,0.0,0.12,6.567274736060395,14.285714285714286,0.36
4,0.0,0.0,0.29,0.0,0.0,0.33,0.0,0.0,0.07
1,0.0,50.0,0.67,,,,,,
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
24,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.03
3,10.682175159905848,20.0,0.4,0.0,0.0,0.11,0.0,0.0,0.02
3,66.06328636027612,80.0,0.93,5.4424142191183185,50.0,0.25,53.3167536340577,66.66666666666667,0.79
15,0.0,50.0,0.5,10.682175159905848,20.0,0.35,0.0,100.0,1.0
4,0.0,0.0,0.05,4.196114906296549,10.0,0.22,4.196114906296549,10.0,0.29
2,68.037493331712,75.0,0.71,38.05803001674947,46.15384615384615,0.62,,,
16,10.682175159905848,20.0,0.47,0.0,0.0,0.22,3.3864985683445354,8.333333333333334,0.22
4,15.97357760615681,25.0,0.22,0.0,0.0,0.0,2.2869567780619007,5.882352941176471,0.03
4,4.196114906296549,10.0,0.27,6.567274736060395,14.285714285714286,0.42,0.0,0.0,0.04
3,0.0,0.0,0.0,0.0,0.0,0.0,6.178110636313396,15.384615384615385,0.1
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,0.04454213124455983,72.97297297297297,0.04,,,,,,
35,0.7605497822189857,2.0833333333333335,0.05,0.0,0.0,0.17,0.0,0.0,0.12
3,0.0,0.0,0.32,0.0,0.0,0.11,0.0,0.0,0.08
1,0.0,66.66666666666667,0.67,,,,,,
15,0.6735878102046051,1.8518518518518519,0.01,2.627961710408444,6.666666666666667,0.04,0.0,0.0,0.0
1,10.682175159905848,20.0,0.12,,,,,,
8,4.440346298559075,75.0,0.11,0.01982174906462697,66.66666666666667,0.04,0.22831484393826015,58.333333333333336,0.04
2,1.850829168802847,82.97872340425532,0.04,1.4745610787528145,85.1063829787234,0.05,,,
6,0.0,0.0,0.11,0.0,0.0,0.13,0.0,0.0,0.11
2,0.0,0.0,0.01,0.0,0.0,0.0,,,
3,0.5162051047489141,1.4285714285714286,0.01,0.4945407352517106,1.36986301369863,0.01,2.2869567780619007,5.882352941176471,0.06
1,0.7445292335166879,2.0408163265306123,0.03,,,,,,
15,0.0,0.0,0.06,0.5568633223045912,1.5384615384615385,0.01,0.0,0.0,0.06
1,2.0244462660665508,5.2631578947368425,0.05,,,,,,
2,2.2869567780619007,5.882352941176471,0.06,3.3864985683445354,8.333333333333334,0.05,,,
4,2.2869567780619007,5.882352941176471,0.06,1.6466642419110007,4.3478260869565215,0.04,0.0,33.333333333333336,0.33
9,0.0,0.0,0.06,4.767707020457095,11.11111111111111,0.33,0.0,0.0,0.21
1,5.702802211741762,76.71232876712328,0.08,,,,,,
1,1.0365935251487302,3.896103896103896,0.02,,,,,,
3,0.47462176237300036,1.3157894736842106,0.01,0.5398548275054964,1.492537313432836,0.01,1.8160849415439309,4.761904761904762,0.02
1,9.545384216176316,78.87323943661971,0.14,,,,,,
8,6.613108308176739,72.36842105263158,0.08,2.897504114726447,79.59183673469387,0.09,0.7187160725630379,96.96969696969697,0.08
35,0.0,0.0,0.02,3.7477767366779213,9.090909090909092,0.29,0.0,0.0,0.15
3,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.0,0.04
1,86.33400213704509,88.88888888888889,0.93,,,,,,
15,0.0,0.0,0.08,5.522397783539471,12.5,0.44,5.522397783539471,12.5,0.44
6,80.91067115702207,85.71428571428571,0.95,28.175950490399515,35.294117647058826,0.3,80.91067115702207,85.71428571428571,0.95
14,15.97357760615681,25.0,0.73,15.97357760615681,25.0,0.73,15.97357760615681,25.0,0.73
6,15.97357760615681,25.0,0.29,2.4604888314434494,5.454545454545454,0.03,3.60737546551436,7.894736842105263,0.03
10,0.0,0.0,0.29,0.0,0.0,0.08,0.0,0.0,0.2
1,10.682175159905848,20.0,0.33,,,,,,
1,0.0,50.0,0.67,,,,,,
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
