Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.03,0.0,0.0,0.07,0.0,0.0,0.07
3,0.0,0.0,0.27,0.0,0.0,0.15,2.627961710408444,6.666666666666667,0.14
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.11,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,8.116697886877475,16.666666666666668,0.1,,,,,,
1,6.3012176806175235,36.0655737704918,0.32,,,,,,
35,0.0,0.0,0.0,10.682175159905848,20.0,0.32,0.0,0.0,0.14
3,0.0,0.0,0.27,0.0,0.0,0.26,0.0,0.0,0.15
1,0.0,0.0,0.11,,,,,,
3,0.0,50.0,0.93,0.0,0.0,0.12,0.0,33.333333333333336,0.67
1,4.196114906296549,10.0,0.04,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.16,0.0,0.0,0.17
3,0.0,0.0,0.0,0.0,0.0,0.07,6.567274736060395,14.285714285714286,0.36
1,0.0,0.0,0.2,,,,,,
3,0.0,50.0,0.91,0.0,0.0,0.0,0.7291698644541256,2.0,0.06
1,1.0559717178170818,2.857142857142857,0.06,,,,,,
3,0.0,50.0,0.89,0.0,0.0,0.09,1.3353534059549443,3.5714285714285716,0.07
1,1.199348129252962,3.225806451612903,0.02,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.16,0.0,0.0,0.14
11,5.522397783539471,12.5,0.08,10.682175159905848,20.0,0.17,15.97357760615681,25.0,0.33
14,15.97357760615681,25.0,0.18,0.0,0.0,0.0,0.0,33.333333333333336,0.5
1,0.0,100.0,1.0,,,,,,
35,0.7291698644541256,2.0,0.06,0.0,0.0,0.13,0.0,0.0,0.14
11,0.0,33.333333333333336,0.29,10.682175159905848,20.0,0.14,10.682175159905848,20.0,0.14
14,0.0,100.0,1.0,0.0,0.0,0.67,0.0,100.0,1.0
1,10.682175159905848,20.0,0.12,,,,,,
35,0.5943123208853887,1.639344262295082,0.03,15.97357760615681,25.0,0.57,0.0,0.0,0.15
11,0.0,50.0,0.4,10.682175159905848,20.0,0.17,10.682175159905848,20.0,0.17
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
1,8.116697886877475,16.666666666666668,0.08,,,,,,
35,0.7291698644541256,2.0,0.08,0.0,0.0,0.06,0.0,0.0,0.27
6,3.8229746997386345,13.636363636363637,0.14,1.5384525968661942,4.838709677419355,0.03,2.2869567780619007,5.882352941176471,0.03
14,0.0,0.0,0.0,0.0,0.0,0.0,0.8522452865706931,2.3255813953488373,0.02
1,10.682175159905848,20.0,0.33,,,,,,
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
35,0.7605497822189857,2.0833333333333335,0.07,0.0,0.0,0.05,0.0,0.0,0.27
6,2.8398387225677895,7.142857142857143,0.06,1.6833733860275373,6.25,0.04,4.480836160121357,15.789473684210526,0.17
14,2.1476912089159055,5.555555555555555,0.05,0.7445292335166879,2.0408163265306123,0.01,0.5398548275054964,1.492537313432836,0.02
1,0.7772751558853214,2.127659574468085,0.01,,,,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
35,0.5844855918911488,1.6129032258064515,0.04,0.0,0.0,0.09,3.0890553181566975,7.6923076923076925,0.26
11,2.8398387225677895,7.142857142857143,0.05,10.682175159905848,20.0,0.14,0.7605497822189857,2.0833333333333335,0.01
14,0.0,0.0,0.2,0.0,0.0,0.07,0.0,0.0,0.07
1,0.7605497822189857,2.0833333333333335,0.01,,,,,,
8,71.51893138203724,77.77777777777777,0.79,69.20768562680679,75.55555555555556,0.77,56.26536553573521,61.81818181818182,0.65
1,67.65146269401413,73.91304347826087,0.73,,,,,,
9,15.97357760615681,25.0,0.47,15.97357760615681,25.0,0.47,0.7772751558853214,2.127659574468085,0.05
4,0.0,100.0,1.0,0.0,33.333333333333336,0.18,11.044795567078939,25.0,0.16
9,0.0,100.0,1.0,0.0,50.0,0.91,0.0,0.0,0.06
2,62.50932697787992,70.0,0.75,2.5416261250519523,66.66666666666667,0.27,,,
8,62.50932697787992,70.0,0.77,48.20769040040704,60.526315789473685,0.62,31.46753700952232,41.37931034482759,0.48
35,0.0,0.0,0.07,0.0,0.0,0.03,0.9432284668356838,2.5641025641025643,0.1
11,3.0890553181566975,7.6923076923076925,0.07,2.8398387225677895,7.142857142857143,0.06,3.0890553181566975,7.6923076923076925,0.06
14,35.08439695638686,45.45454545454545,0.56,26.58483576665878,35.714285714285715,0.38,26.58483576665878,35.714285714285715,0.42
29,0.0,0.0,0.08,2.8398387225677895,7.142857142857143,0.15,2.8398387225677895,7.142857142857143,0.19
3,2.8398387225677895,7.142857142857143,0.05,4.767707020457095,11.11111111111111,0.1,1.0885011049519644,2.9411764705882355,0.02
9,2.8398387225677895,7.142857142857143,0.15,3.3864985683445354,8.333333333333334,0.19,0.0,0.0,0.0
2,3.3864985683445354,8.333333333333334,0.06,1.1599713834969503,3.125,0.02,,,
3,0.0,0.0,0.0,2.445593937240363,6.25,0.05,2.8398387225677895,7.142857142857143,0.05
