Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.627961710408444,6.666666666666667,0.25,1.6504045595709425,7.407407407407407,0.19,3.1251907639724417,13.333333333333334,0.29
17,2.2869567780619007,5.882352941176471,0.06,0.8733042428534794,2.380952380952381,0.11,0.0,0.0,0.17
1,1.7574239156849023,10.714285714285714,0.04,,,,,,
1,0.0,0.0,0.1,,,,,,
2,9.535414040914192,22.22222222222222,0.23,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,0.0,50.0,0.67,,,,,,
3,0.0,0.0,0.73,0.0,0.0,0.13,0.0,0.0,0.16
1,15.97357760615681,25.0,0.15,,,,,,
24,0.0,0.0,0.35,0.0,0.0,0.05,0.0,0.0,0.25
1,1.8160849415439309,4.761904761904762,0.08,,,,,,
3,0.0,0.0,0.15,10.682175159905848,20.0,0.24,0.6149917424924614,1.694915254237288,0.08
3,5.522397783539471,30.0,0.35,1.3494116947566301,8.333333333333334,0.1,12.011055432195764,35.714285714285715,0.3
15,0.0,0.0,0.17,5.522397783539471,12.5,0.24,0.0,0.0,0.0
4,0.0,0.0,0.08,0.0,0.0,0.15,4.196114906296549,10.0,0.29
2,68.037493331712,75.0,0.71,80.91067115702207,85.71428571428571,0.83,,,
16,10.682175159905848,20.0,0.5,0.0,0.0,0.22,0.0,0.0,0.29
4,8.116697886877475,16.666666666666668,0.17,6.567274736060395,14.285714285714286,0.18,15.97357760615681,25.0,0.25
4,6.567274736060395,14.285714285714286,0.57,0.0,0.0,0.07,15.97357760615681,25.0,0.73
3,8.392229812593097,20.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
1,4.767707020457095,11.11111111111111,0.08,,,,,,
1,0.0,50.0,0.67,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.05
3,2.627961710408444,6.666666666666667,0.16,0.0,0.0,0.19,5.522397783539471,12.5,0.27
