Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.7477767366779213,9.090909090909092,0.12,1.5732934811145336,4.166666666666667,0.06,2.8398387225677895,7.142857142857143,0.08
3,0.0,0.0,0.09,3.3864985683445354,8.333333333333334,0.22,2.8398387225677895,7.142857142857143,0.15
3,18.99589214128981,50.0,0.25,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.06,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,3.0890553181566975,7.6923076923076925,0.04,,,,,,
1,7.147378409923532,85.13513513513513,0.12,,,,,,
35,0.0,0.0,0.07,0.0,0.0,0.27,0.0,0.0,0.17
3,0.0,50.0,0.67,0.0,0.0,0.1,0.0,0.0,0.03
1,1.123099644603982,3.0303030303030303,0.03,,,,,,
35,0.0,0.0,0.03,4.767707020457095,11.11111111111111,0.33,0.0,0.0,0.15
3,0.0,0.0,0.22,0.0,0.0,0.06,0.0,0.0,0.11
3,6.567274736060395,25.0,0.15,4.02724819242185,16.666666666666668,0.24,1.6504045595709425,7.407407407407407,0.04
6,0.0,0.0,0.57,0.0,0.0,0.29,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.02
1,0.0,33.333333333333336,0.4,,,,,,
1,8.116697886877475,16.666666666666668,0.18,,,,,,
8,69.75361478903604,93.10344827586206,0.71,34.21977223511707,62.16216216216216,0.4,11.360647944164983,31.08108108108108,0.24
2,68.59770689316245,96.29629629629629,0.7,68.59770689316245,96.29629629629629,0.72,,,
6,2.8398387225677895,7.142857142857143,0.08,2.445593937240363,6.25,0.07,2.1476912089159055,5.555555555555555,0.06
11,2.445593937240363,6.25,0.07,1.3353534059549443,3.5714285714285716,0.04,15.97357760615681,25.0,0.29
14,1.0559717178170818,2.857142857142857,0.02,2.8398387225677895,7.142857142857143,0.08,2.445593937240363,6.25,0.07
1,57.69056402351578,88.46153846153847,0.66,,,,,,
5,4.196114906296549,10.0,0.11,2.445593937240363,6.25,0.07,4.196114906296549,10.0,0.11
4,1.5732934811145336,4.166666666666667,0.04,0.0,0.0,0.0,0.0,33.333333333333336,0.33
9,0.0,33.333333333333336,0.62,10.343603005129705,31.25,0.39,14.794015674776452,50.0,0.27
29,1.6466642419110007,4.3478260869565215,0.07,2.445593937240363,6.25,0.13,0.0,0.0,0.0
2,5.522397783539471,12.5,0.13,5.522397783539471,12.5,0.13,,,
10,0.7605497822189857,2.0833333333333335,0.02,6.567274736060395,14.285714285714286,0.27,0.0,0.0,0.0
2,1.5732934811145336,4.166666666666667,0.04,0.6044751875664687,1.6666666666666667,0.01,,,
1,41.72656642691108,55.172413793103445,0.54,,,,,,
6,4.767707020457095,11.11111111111111,0.1,0.0,0.0,0.22,0.0,100.0,0.67
3,0.0,100.0,1.0,1.286713095960916,3.4482758620689653,0.02,2.445593937240363,6.25,0.05
1,91.31007162822628,100.0,0.78,,,,,,
8,100.00000000000004,100.0,0.82,20.90499608387982,28.571428571428573,0.32,19.72604474332974,27.027027027027028,0.31
35,13.950796967929138,27.272727272727273,0.5,17.747405280050266,33.333333333333336,0.71,20.556680845025987,37.5,0.65
6,17.747405280050266,33.333333333333336,0.29,24.446151121745054,42.857142857142854,0.4,17.747405280050266,33.333333333333336,0.29
10,1.506189323093867,4.0,0.04,0.0,100.0,1.0,0.0,0.0,0.29
1,4.767707020457095,11.11111111111111,0.11,,,,,,
11,4.767707020457095,11.11111111111111,0.11,4.196114906296549,10.0,0.1,4.196114906296549,10.0,0.1
14,0.0,0.0,0.0,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.07
1,4.767707020457095,11.11111111111111,0.11,,,,,,
35,8.116697886877475,16.666666666666668,0.1,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.36
3,0.0,0.0,0.18,0.0,0.0,0.04,0.0,0.0,0.14
1,0.0,33.333333333333336,0.29,,,,,,
8,11.632208642244262,64.81481481481481,0.36,4.754633266325359,78.57142857142857,0.23,19.83809779175937,63.23529411764706,0.37
1,33.517075190819675,72.3076923076923,0.45,,,,,,
9,8.9730240870212,50.0,0.19,63.894310424627285,70.0,0.74,19.59280139287723,24.137931034482758,0.23
29,0.5087757562008263,1.408450704225352,0.01,2.627961710408444,6.666666666666667,0.08,15.97357760615681,25.0,0.22
11,0.0,50.0,0.67,15.97357760615681,25.0,0.33,3.3864985683445354,8.333333333333334,0.08
14,0.0,0.0,0.53,0.5749785925016119,1.5873015873015872,0.08,0.0,33.333333333333336,0.88
6,2.0506623206233634,5.555555555555555,0.03,0.0,66.66666666666667,0.33,0.0,0.0,0.0
1,0.5657759656209534,1.5625,0.01,,,,,,
2,1.2414943415352928,3.3333333333333335,0.02,4.767707020457095,11.11111111111111,0.1,,,
2,0.0,100.0,1.0,6.772997136689072,16.666666666666668,0.1,,,
11,0.0,0.0,0.0,9.652434877402245,33.333333333333336,0.29,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.97357760615681,25.0,0.33,4.196114906296549,10.0,0.09,,,
2,51.607983154177106,81.81818181818181,0.68,0.5092442027788585,100.0,0.29,,,
8,5.867293051041558,42.30769230769231,0.13,0.5724895281824665,61.53846153846154,0.2,4.017035950024978,33.333333333333336,0.22
8,33.54024900318995,55.38461538461539,0.25,37.144393124114316,43.28358208955224,0.35,34.561350122029225,43.07692307692308,0.36
2,0.6063618253974986,46.15384615384615,0.14,1.8260525810746313,27.586206896551722,0.19,,,
11,5.522397783539471,12.5,0.17,2.8398387225677895,7.142857142857143,0.08,0.47462176237300036,1.3157894736842106,0.01
4,0.0,33.333333333333336,0.25,4.048892532133102,10.526315789473685,0.08,0.0,33.333333333333336,0.25
9,1.8160849415439309,4.761904761904762,0.13,0.918708060432945,2.5,0.08,0.0,0.0,0.35
1,13.410639648320277,17.647058823529413,0.17,,,,,,
8,0.0,0.0,0.18,2.1476912089159055,5.555555555555555,0.04,0.0,0.0,0.15
4,1.229983484984923,3.389830508474576,0.02,4.048892532133102,10.526315789473685,0.06,31.947155212313625,50.0,0.4
9,0.0,100.0,1.0,3.0890553181566975,7.6923076923076925,0.21,0.0,0.0,0.0
3,1.6057354125717012,76.92307692307692,0.26,4.119566303102716,34.146341463414636,0.14,2.6923353631960283,57.142857142857146,0.22
8,12.192091596713041,63.63636363636363,0.51,4.546308713404575,27.272727272727273,0.26,1.7041794607006917,10.144927536231885,0.13
35,0.0,0.0,0.33,0.0,0.0,0.14,0.0,0.0,0.41
3,0.0,0.0,0.26,0.0,0.0,0.09,0.0,0.0,0.21
6,3.377156414337854,14.285714285714286,0.3,4.456882760699063,18.181818181818183,0.48,4.456882760699063,18.181818181818183,0.48
10,3.7477767366779213,9.090909090909092,0.09,0.0,33.333333333333336,0.25,3.7477767366779213,9.090909090909092,0.09
2,3.7477767366779213,9.090909090909092,0.09,10.682175159905848,20.0,0.17,,,
10,0.0,0.0,0.67,3.7477767366779213,9.090909090909092,0.24,5.522397783539471,12.5,0.13
1,3.7477767366779213,9.090909090909092,0.09,,,,,,
