Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.8522452865706931,2.3255813953488373,0.12,0.0,0.0,0.07,0.0,0.0,0.07
19,0.0,100.0,1.0,0.0,0.0,0.05,0.0,0.0,0.14
3,0.0,0.0,0.5,0.0,0.0,0.19,0.0,0.0,0.16
3,18.05915447393609,51.851851851851855,0.47,19.066416091230845,28.571428571428573,0.41,30.7137308263447,45.16129032258065,0.61
15,1.123099644603982,3.0303030303030303,0.13,0.0,0.0,0.4,2.2869567780619007,5.882352941176471,0.24
10,0.0,0.0,0.8,1.506189323093867,4.0,0.09,0.0,0.0,0.0
4,1.3353534059549443,3.5714285714285716,0.03,1.0559717178170818,2.857142857142857,0.02,1.0253311603116817,2.7777777777777777,0.02
4,2.8398387225677895,7.142857142857143,0.08,8.513012360883549,17.647058823529413,0.28,8.513012360883549,17.647058823529413,0.28
2,14.865996369027277,53.333333333333336,0.51,23.356898886410015,66.66666666666667,0.65,,,
16,5.7259987315337755,21.05263157894737,0.2,0.0,0.0,0.09,3.3864985683445354,8.333333333333334,0.16
1,0.0,0.0,0.0,,,,,,
4,0.0,0.0,0.48,15.619699684601283,30.0,0.58,0.0,0.0,0.15
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.5,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.02
3,0.0,0.0,0.42,0.0,0.0,0.32,0.6258807799153787,1.7241379310344827,0.05
3,8.643019616048525,42.857142857142854,0.24,16.233395773754953,33.333333333333336,0.55,0.0,66.66666666666667,0.22
15,2.627961710408444,6.666666666666667,0.12,0.0,0.0,0.1,4.196114906296549,10.0,0.22
4,0.5482271666382152,1.5151515151515151,0.01,8.116697886877475,16.666666666666668,0.11,6.567274736060395,14.285714285714286,0.09
4,0.0,0.0,0.62,0.0,0.0,0.08,6.567274736060395,14.285714285714286,0.31
1,15.97357760615681,25.0,0.22,,,,,,
1,0.918708060432945,2.5,0.01,,,,,,
24,4.767707020457095,11.11111111111111,0.24,1.5732934811145336,4.166666666666667,0.09,0.0,0.0,0.06
3,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.07
3,62.55340042200862,72.72727272727273,0.75,0.0,0.0,0.11,3.2779965472530184,19.48051948051948,0.13
15,3.7477767366779213,9.090909090909092,0.22,0.0,0.0,0.07,3.3864985683445354,8.333333333333334,0.24
4,0.0,33.333333333333336,0.18,15.97357760615681,25.0,0.2,0.0,0.0,0.0
4,0.0,50.0,0.62,9.535414040914192,22.22222222222222,0.44,10.552670315936318,33.333333333333336,0.48
2,4.673289785800722,40.0,0.21,25.823077599534503,39.130434782608695,0.3,,,
16,1.5732934811145336,4.166666666666667,0.13,0.0,0.0,0.22,0.0,0.0,0.06
4,9.287528999566801,30.0,0.37,3.737437943747671,21.428571428571427,0.12,3.8229746997386345,13.636363636363637,0.1
1,4.196114906296549,10.0,0.1,,,,,,
4,0.0,0.0,0.02,0.0,0.0,0.26,0.0,0.0,0.04
1,4.196114906296549,10.0,0.09,,,,,,
3,0.0,66.66666666666667,0.31,26.269098944241588,40.0,0.5,3.4089811462827724,9.30232558139535,0.09
15,1.6466642419110007,4.3478260869565215,0.13,0.0,0.0,0.11,5.522397783539471,12.5,0.25
4,0.0,33.333333333333336,0.29,1.5732934811145336,4.166666666666667,0.02,4.196114906296549,10.0,0.09
1,6.567274736060395,14.285714285714286,0.13,,,,,,
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.4,,,,,,
24,1.1599713834969503,3.125,0.09,3.0890553181566975,7.6923076923076925,0.22,0.0,0.0,0.06
3,0.0,33.333333333333336,0.28,0.0,0.0,0.08,5.522397783539471,12.5,0.18
3,6.567274736060395,25.0,0.29,0.0,0.0,0.27,8.643019616048525,42.857142857142854,0.28
15,0.0,0.0,0.27,3.7477767366779213,9.090909090909092,0.23,2.445593937240363,6.25,0.18
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,12.703318703865365,40.0,0.42,0.0,33.333333333333336,0.47,3.377156414337854,14.285714285714286,0.27
1,2.1476912089159055,5.555555555555555,0.02,,,,,,
1,0.0,33.333333333333336,0.4,,,,,,
24,0.7605497822189857,2.0833333333333335,0.06,0.0,0.0,0.09,0.0,0.0,0.09
3,0.0,33.333333333333336,0.29,0.0,0.0,0.24,4.062073000466025,7.142857142857143,0.16
3,4.521782889827669,23.076923076923077,0.36,4.368583925857938,30.76923076923077,0.39,3.2342452920962157,23.529411764705884,0.17
15,0.0,0.0,0.07,2.719665272174911,11.764705882352942,0.14,3.7477767366779213,9.090909090909092,0.13
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,4.180647946097227,9.090909090909092,0.13,30.213753973567677,50.0,0.67,30.213753973567677,50.0,0.67
1,2.445593937240363,6.25,0.06,,,,,,
1,2.627961710408444,6.666666666666667,0.06,,,,,,
24,0.5657759656209534,1.5625,0.04,0.0,0.0,0.14,0.0,0.0,0.07
3,51.697315395717055,62.5,0.68,0.0,0.0,0.23,0.6600864627595707,4.166666666666667,0.08
3,7.267884212102741,37.5,0.28,0.0,0.0,0.16,16.451929399933114,40.0,0.49
15,0.0,0.0,0.14,5.255923420816887,13.333333333333334,0.22,5.255923420816887,13.333333333333334,0.22
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
