Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.3864985683445354,8.333333333333334,0.15,2.445593937240363,6.25,0.09,1.387819277861591,3.7037037037037037,0.05
3,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.45
3,0.0,66.66666666666667,0.55,2.0407314606611986,4.545454545454546,0.07,2.0407314606611986,4.545454545454546,0.07
15,0.0,0.0,0.1,10.682175159905848,20.0,0.42,0.0,0.0,0.07
1,3.7477767366779213,9.090909090909092,0.04,,,,,,
1,6.567274736060395,14.285714285714286,0.08,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,6.567274736060395,14.285714285714286,0.54,0.0,0.0,0.15,0.0,0.0,0.05
3,18.99589214128981,50.0,0.46,0.0,0.0,0.15,0.0,66.66666666666667,0.43
15,0.0,0.0,0.5,0.0,50.0,0.75,8.116697886877475,16.666666666666668,0.27
4,1.1599713834969503,3.125,0.02,0.0,33.333333333333336,0.29,8.116697886877475,16.666666666666668,0.1
1,0.0,50.0,0.67,,,,,,
1,3.7477767366779213,9.090909090909092,0.06,,,,,,
24,5.522397783539471,12.5,0.17,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,0.0,33.333333333333336,0.8,0.0,0.0,0.12,1.0885011049519644,2.9411764705882355,0.07
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.11,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,2.1476912089159055,5.555555555555555,0.04,,,,,,
1,24.891629359176545,84.21052631578948,0.54,,,,,,
35,0.0,0.0,0.13,0.7144315612998046,1.9607843137254901,0.03,0.0,0.0,0.17
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
1,0.0,0.0,0.0,,,,,,
35,1.199348129252962,3.225806451612903,0.02,0.0,0.0,0.02,0.0,0.0,0.0
11,10.682175159905848,20.0,0.18,6.567274736060395,14.285714285714286,0.14,8.116697886877475,16.666666666666668,0.17
14,15.97357760615681,25.0,0.77,0.0,0.0,0.0,15.97357760615681,25.0,0.77
6,5.255923420816887,13.333333333333334,0.09,6.772997136689072,16.666666666666668,0.12,0.0,66.66666666666667,0.8
