Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.06,1.4445809981770859,3.8461538461538463,0.05,0.0,0.0,0.02
3,0.0,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.13
3,0.0,66.66666666666667,0.55,39.76353643835252,60.0,0.57,39.76353643835252,60.0,0.86
15,0.0,0.0,0.1,10.682175159905848,20.0,0.42,0.0,0.0,0.11
1,0.0,50.0,0.67,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.22,0.0,0.0,0.07,0.0,0.0,0.04
3,0.0,66.66666666666667,0.5,0.0,0.0,0.17,2.908317710573757,12.5,0.21
15,0.0,0.0,0.5,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.29
4,0.0,0.0,0.02,8.116697886877475,16.666666666666668,0.1,3.0890553181566975,7.6923076923076925,0.05
1,0.0,50.0,0.67,,,,,,
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.07
3,10.682175159905848,20.0,0.55,0.0,0.0,0.19,2.627961710408444,6.666666666666667,0.24
3,0.0,66.66666666666667,0.38,12.703318703865365,40.0,0.43,14.794015674776452,50.0,0.5
15,0.0,50.0,0.62,0.0,0.0,0.18,0.0,100.0,1.0
4,0.0,33.333333333333336,0.2,8.116697886877475,16.666666666666668,0.1,8.116697886877475,16.666666666666668,0.1
4,0.0,50.0,0.8,6.567274736060395,14.285714285714286,0.16,0.4622106633998758,1.2820512820512822,0.02
1,1.8160849415439309,4.761904761904762,0.02,,,,,,
1,0.43384866842485925,1.2048192771084338,0.01,,,,,,
24,1.5732934811145336,4.166666666666667,0.07,2.445593937240363,6.25,0.09,8.116697886877475,16.666666666666668,0.17
3,0.0,0.0,0.17,0.0,0.0,0.06,0.0,0.0,0.04
3,4.990049701936832,20.0,0.2,59.460355750136046,75.0,0.75,4.990049701936832,20.0,0.2
15,0.0,0.0,0.11,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,0.0,50.0,0.67,,,,,,
1,14.076533690042403,25.714285714285715,0.33,,,,,,
35,0.0,0.0,0.09,1.3353534059549443,3.5714285714285716,0.08,0.0,0.0,0.4
3,0.0,0.0,0.25,0.0,0.0,0.11,0.0,0.0,0.12
1,0.0,33.333333333333336,0.5,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
1,1.2414943415352928,3.3333333333333335,0.02,,,,,,
35,0.6044751875664687,1.6666666666666667,0.07,0.0,0.0,0.28,6.567274736060395,14.285714285714286,0.48
6,12.703318703865365,40.0,0.3,66.87403049764218,80.0,0.95,100.00000000000004,100.0,1.0
14,0.0,50.0,0.25,0.0,50.0,0.25,0.0,50.0,0.25
9,0.0,50.0,0.92,0.0,50.0,0.92,0.0,50.0,0.92
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.12,,,,,,
35,0.0,0.0,0.2,0.0,0.0,0.17,0.0,0.0,0.2
6,33.9132609103075,55.55555555555556,0.8,5.409880072118436,10.416666666666666,0.09,20.556680845025987,37.5,0.67
14,3.3864985683445354,8.333333333333334,0.08,4.196114906296549,10.0,0.12,8.116697886877475,16.666666666666668,0.29
1,0.0,100.0,0.92,,,,,,
14,0.0,100.0,1.0,8.116697886877475,16.666666666666668,0.67,8.116697886877475,16.666666666666668,0.67
1,0.0,50.0,0.67,,,,,,
1,0.0,50.0,0.4,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.22,0.0,33.333333333333336,0.94
9,0.0,33.333333333333336,0.2,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,50.0,0.5,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.2,0.0,0.0,0.18,0.0,0.0,0.0
1,0.0,66.66666666666667,0.67,,,,,,
15,15.97357760615681,25.0,0.2,0.0,0.0,0.0,0.0,50.0,0.67
1,0.7772751558853214,2.127659574468085,0.01,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.03,0.9432284668356838,2.5641025641025643,0.04
3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,2.276859592073037,10.0,0.17,15.619699684601283,30.0,0.38
6,0.0,0.0,0.27,0.0,0.0,0.31,10.682175159905848,20.0,0.5
1,8.116697886877475,16.666666666666668,0.22,,,,,,
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
24,0.0,0.0,0.06,2.445593937240363,6.25,0.09,1.506189323093867,4.0,0.05
3,0.0,0.0,0.13,0.0,0.0,0.06,0.0,0.0,0.02
3,0.0,100.0,1.0,6.760229884571737,14.285714285714286,0.18,6.12957497932821,13.043478260869565,0.17
15,0.0,0.0,0.22,0.0,0.0,0.06,0.0,0.0,0.0
1,1.5732934811145336,4.166666666666667,0.02,,,,,,
1,100.00000000000004,100.0,0.86,,,,,,
35,100.00000000000004,100.0,0.91,0.0,33.333333333333336,0.23,100.00000000000004,100.0,0.91
9,6.567274736060395,14.285714285714286,0.4,13.065113298388567,38.46153846153846,0.33,6.567274736060395,14.285714285714286,0.4
29,6.567274736060395,14.285714285714286,0.5,3.3864985683445354,8.333333333333334,0.21,4.767707020457095,11.11111111111111,0.38
4,0.8522452865706931,2.3255813953488373,0.02,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
2,4.196114906296549,10.0,0.07,0.0,0.0,0.0,,,
2,30.8198090959812,66.66666666666667,0.54,40.35278637463991,63.63636363636363,0.79,,,
12,15.97357760615681,25.0,0.43,15.97357760615681,25.0,0.43,15.97357760615681,25.0,0.43
6,13.950796967929138,27.272727272727273,0.47,24.446151121745054,42.857142857142854,0.7,30.213753973567677,50.0,0.76
10,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5
3,0.7947529289544674,2.1739130434782608,0.06,0.0,0.0,0.33,0.0,0.0,0.23
1,0.0,33.333333333333336,0.4,,,,,,
2,2.2869567780619007,5.882352941176471,0.13,4.196114906296549,10.0,0.06,,,
12,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0
1,0.0,33.333333333333336,0.4,,,,,,
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.1476912089159055,5.555555555555555,0.12,0.0,0.0,0.03,0.0,0.0,0.02
3,5.522397783539471,12.5,0.39,0.0,0.0,0.16,0.0,0.0,0.06
3,18.99589214128981,50.0,0.8,1.2557690800697192,5.714285714285714,0.11,7.809849842300637,28.571428571428573,0.43
15,0.0,33.333333333333336,0.43,0.0,0.0,0.29,0.8733042428534794,2.380952380952381,0.05
4,0.0,0.0,0.02,1.0253311603116817,2.7777777777777777,0.01,0.9432284668356838,2.5641025641025643,0.02
1,15.97357760615681,25.0,0.22,,,,,,
1,46.69560045812296,70.96774193548387,0.38,,,,,,
8,72.87674881045598,76.47058823529412,0.65,56.30956412052747,72.72727272727273,0.4,58.15822604060227,75.0,0.42
2,56.02182060089955,71.875,0.39,32.930782023683705,46.93877551020408,0.23,,,
11,0.0,33.333333333333336,0.57,1.1599713834969503,3.125,0.09,0.0,33.333333333333336,0.57
4,0.0,66.66666666666667,0.5,31.947155212313625,50.0,0.44,1.0885011049519644,2.9411764705882355,0.02
9,0.0,0.0,0.22,8.116697886877475,16.666666666666668,0.38,0.0,0.0,0.0
3,22.802581612154945,46.666666666666664,0.29,64.21073762335227,68.96551724137932,0.55,56.04594903939407,60.60606060606061,0.52
8,31.823566221963034,46.666666666666664,0.41,13.181313433495554,20.58823529411765,0.22,13.181313433495554,20.58823529411765,0.22
35,0.0,0.0,0.27,0.0,0.0,0.18,0.0,0.0,0.31
6,5.32864224277779,15.789473684210526,0.12,6.567274736060395,14.285714285714286,0.06,8.116697886877475,16.666666666666668,0.09
14,2.445593937240363,6.25,0.02,0.0,0.0,0.0,4.196114906296549,10.0,0.05
1,2.1476912089159055,5.555555555555555,0.05,,,,,,
1,2.627961710408444,6.666666666666667,0.04,,,,,,
35,2.8398387225677895,7.142857142857143,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1,100.00000000000004,100.0,0.82,,,,,,
8,80.07374029168083,100.0,0.88,24.979117342213524,31.25,0.28,24.979117342213524,31.25,0.28
35,4.196114906296549,10.0,0.26,4.767707020457095,11.11111111111111,0.32,4.196114906296549,10.0,0.23
6,35.08439695638686,45.45454545454545,0.62,35.08439695638686,45.45454545454545,0.57,51.697315395717055,62.5,0.76
10,3.7477767366779213,9.090909090909092,0.31,4.767707020457095,11.11111111111111,0.4,4.767707020457095,11.11111111111111,0.4
6,8.392229812593097,20.0,0.15,7.495553473355842,18.181818181818183,0.17,0.0,0.0,0.0
1,3.7477767366779213,9.090909090909092,0.09,,,,,,
11,4.767707020457095,11.11111111111111,0.12,4.196114906296549,10.0,0.11,4.196114906296549,10.0,0.11
14,0.0,50.0,0.67,0.0,50.0,0.67,0.0,50.0,0.67
1,3.0890553181566975,7.6923076923076925,0.03,,,,,,
35,0.0,50.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,4.196114906296549,10.0,0.16,2.445593937240363,6.25,0.09,0.0,0.0,0.03
3,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.11
3,0.0,66.66666666666667,0.33,1.8249816203523022,5.063291139240507,0.07,5.669791110976001,22.22222222222222,0.27
15,0.0,0.0,0.4,0.0,0.0,0.04,0.0,100.0,1.0
4,0.0,50.0,0.22,0.0,0.0,0.0,0.4504321747452186,1.25,0.01
4,0.0,50.0,0.8,0.0,0.0,0.36,15.97357760615681,25.0,0.5
1,0.0,0.0,0.0,,,,,,
1,1.3826670247902477,81.81818181818181,0.04,,,,,,
35,0.0,0.0,0.06,2.445593937240363,6.25,0.09,0.0,0.0,0.14
3,0.0,0.0,0.01,0.0,0.0,0.0,0.4622106633998758,1.2820512820512822,0.01
1,0.46833399312669227,1.2987012987012987,0.03,,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.15,0.46833399312669227,1.2987012987012987,0.04
1,0.4562454050880755,1.2658227848101267,0.01,,,,,,
8,11.062210979015076,25.31645569620253,0.2,3.010127339301622,18.75,0.2,21.49537315398902,40.0,0.28
1,19.74391456026227,28.571428571428573,0.3,,,,,,
