Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.5398548275054964,1.492537313432836,0.02,0.0,0.0,0.09,0.0,0.0,0.03
3,0.0,0.0,0.29,0.0,0.0,0.38,0.0,0.0,0.05
3,10.682175159905853,50.0,0.36,1.0700143107304574,6.666666666666667,0.08,3.4585921141027356,20.0,0.15
15,1.9146030690102511,5.0,0.1,0.7291698644541256,2.0,0.06,4.196114906296549,10.0,0.2
1,0.0,50.0,0.67,,,,,,
1,0.6735878102046051,1.8518518518518519,0.02,,,,,,
24,5.522397783539471,12.5,0.23,2.8398387225677895,7.142857142857143,0.09,2.445593937240363,6.25,0.08
3,0.0,0.0,0.27,0.0,0.0,0.14,0.4622106633998758,1.2820512820512822,0.04
3,18.99589214128981,50.0,0.46,30.213753973567677,50.0,0.55,7.809849842300637,28.571428571428573,0.36
15,0.0,0.0,0.27,10.682175159905848,20.0,0.5,8.116697886877475,16.666666666666668,0.38
1,0.0,50.0,0.67,,,,,,
1,2.627961710408444,6.666666666666667,0.03,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.07,0.0,0.0,0.15,0.0,0.0,0.08
3,0.0,66.66666666666667,0.5,7.809849842300637,28.571428571428573,0.46,7.809849842300637,28.571428571428573,0.44
15,2.0244462660665508,5.2631578947368425,0.09,6.567274736060395,14.285714285714286,0.26,0.0,0.0,0.11
4,0.0,0.0,0.11,0.0,0.0,0.0,0.0,33.333333333333336,0.29
1,4.767707020457095,11.11111111111111,0.06,,,,,,
1,3.7477767366779213,9.090909090909092,0.06,,,,,,
24,6.567274736060395,14.285714285714286,0.22,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,10.682175159905848,20.0,0.55,8.116697886877475,16.666666666666668,0.52,5.522397783539471,12.5,0.44
3,3.482270899863668,12.5,0.12,0.0,66.66666666666667,0.43,0.0,66.66666666666667,0.38
15,0.0,50.0,0.5,8.116697886877475,16.666666666666668,0.29,5.522397783539471,12.5,0.22
4,0.0,33.333333333333336,0.25,8.116697886877475,16.666666666666668,0.12,6.567274736060395,14.285714285714286,0.1
4,0.0,0.0,0.4,0.0,0.0,0.08,0.0,33.333333333333336,0.44
1,0.0,50.0,0.67,,,,,,
1,0.47462176237300036,1.3157894736842106,0.01,,,,,,
24,1.199348129252962,3.225806451612903,0.05,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,0.0,0.0,0.4,0.0,0.0,0.29,0.0,0.0,0.02
3,39.76353643835252,60.0,0.6,12.703318703865365,40.0,0.22,18.99589214128981,50.0,0.25
15,0.0,0.0,0.11,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,0.7291698644541256,2.0,0.01,,,,,,
1,5.758949156318493,26.760563380281692,0.25,,,,,,
35,0.0,0.0,0.09,3.7477767366779213,9.090909090909092,0.18,0.0,0.0,0.29
3,0.0,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.12
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.67
1,1.727223799216787,4.545454545454546,0.03,,,,,,
35,2.8398387225677895,7.142857142857143,0.21,4.767707020457095,11.11111111111111,0.34,6.567274736060395,14.285714285714286,0.41
6,100.00000000000004,100.0,1.0,66.87403049764218,80.0,0.95,66.87403049764218,80.0,0.95
14,0.0,50.0,0.25,0.0,50.0,0.25,10.682175159905848,20.0,0.14
9,0.0,50.0,0.92,0.0,50.0,0.92,0.0,50.0,0.92
1,0.0,50.0,0.67,,,,,,
1,4.767707020457095,11.11111111111111,0.06,,,,,,
35,1.727223799216787,4.545454545454546,0.17,0.7947529289544674,2.1739130434782608,0.08,0.0,0.0,0.2
6,26.269098944241588,40.0,0.69,0.0,33.333333333333336,0.63,17.747405280050266,33.333333333333336,0.64
14,0.0,0.0,0.0,0.0,0.0,0.0,4.196114906296549,10.0,0.12
1,0.0,33.333333333333336,0.8,,,,,,
14,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.27
6,12.703318703865365,40.0,0.33,0.0,0.0,0.0,9.652434877402245,33.333333333333336,0.2
1,0.0,0.0,0.0,,,,,,
1,0.0,33.333333333333336,0.2,,,,,,
35,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.17,0.0,33.333333333333336,0.94
9,0.0,33.333333333333336,0.2,0.0,50.0,0.67,0.0,33.333333333333336,0.2
1,0.0,100.0,0.1,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.23,0.0,0.0,0.04,2.445593937240363,6.25,0.08
3,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.07
1,0.0,66.66666666666667,0.67,,,,,,
15,1.199348129252962,3.225806451612903,0.02,0.0,0.0,0.0,0.0,0.0,0.5
1,8.116697886877475,16.666666666666668,0.09,,,,,,
24,15.97357760615681,25.0,0.32,1.4445809981770859,3.8461538461538463,0.05,0.8954307276600084,2.4390243902439024,0.03
3,0.9432284668356838,2.5641025641025643,0.05,8.116697886877475,16.666666666666668,0.27,0.0,0.0,0.02
3,7.809849842300637,28.571428571428573,0.38,4.065425428798724,23.076923076923077,0.23,0.0,0.0,0.04
6,0.0,100.0,1.0,8.116697886877475,16.666666666666668,0.38,15.97357760615681,25.0,0.55
1,15.97357760615681,25.0,0.4,,,,,,
1,0.6866732953963862,1.8867924528301887,0.01,,,,,,
24,8.116697886877475,16.666666666666668,0.3,0.0,0.0,0.03,0.0,0.0,0.03
3,1.2414943415352928,3.3333333333333335,0.17,1.0253311603116817,2.7777777777777777,0.17,0.0,0.0,0.09
3,0.0,100.0,1.0,1.3494116947566301,8.333333333333334,0.1,1.3494116947566301,8.333333333333334,0.11
15,0.0,0.0,0.15,0.0,0.0,0.22,15.97357760615681,25.0,0.42
1,1.1599713834969503,3.125,0.03,,,,,,
1,9.738321056204528,81.57894736842105,0.31,,,,,,
8,5.448622364799148,80.0,0.27,25.64826427016541,75.0,0.39,31.487530779839684,72.85714285714286,0.4
2,21.509306642809253,73.21428571428571,0.47,31.823432111924053,70.83333333333333,0.39,,,
11,10.682175159905848,20.0,0.5,10.682175159905848,20.0,0.5,0.5087757562008263,1.408450704225352,0.04
3,32.942939671539996,72.46376811594203,0.33,30.830923819001335,72.3076923076923,0.45,0.026194062739509184,38.46153846153846,0.13
8,13.089931651809716,80.0,0.25,15.776786147115558,78.26086956521739,0.23,31.52225125959375,70.0,0.36
35,0.7772751558853214,2.127659574468085,0.1,0.5749785925016119,1.5873015873015872,0.07,2.445593937240363,6.25,0.24
6,10.552670315936318,33.333333333333336,0.4,0.0,0.0,0.0,4.990049701936832,20.0,0.15
14,3.3864985683445354,8.333333333333334,0.1,1.2414943415352928,3.3333333333333335,0.03,4.196114906296549,10.0,0.11
1,0.7605497822189857,2.0833333333333335,0.02,,,,,,
1,0.7445292335166879,2.0408163265306123,0.02,,,,,,
35,0.918708060432945,2.5,0.06,0.6866732953963862,1.8867924528301887,0.05,0.8954307276600084,2.4390243902439024,0.06
3,0.918708060432945,2.5,0.02,0.0,0.0,0.18,0.5162051047489141,1.4285714285714286,0.01
1,0.9432284668356838,2.5641025641025643,0.02,,,,,,
8,17.04279164839741,76.92307692307692,0.45,21.752689042018705,70.45454545454545,0.39,29.91148440810534,65.0,0.31
2,16.040300997248913,74.35897435897436,0.43,15.495167480050773,74.35897435897436,0.44,,,
6,0.9432284668356838,2.5641025641025643,0.03,0.918708060432945,2.5,0.02,10.682175159905848,20.0,0.18
11,0.6609918289641935,1.8181818181818181,0.01,0.918708060432945,2.5,0.03,0.9432284668356838,2.5641025641025643,0.02
14,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.06
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.02
1,18.685365187189994,82.3529411764706,0.43,,,,,,
5,1.123099644603982,3.0303030303030303,0.02,0.6609918289641935,1.8181818181818181,0.01,2.627961710408444,6.666666666666667,0.06
4,2.319942766993901,6.25,0.05,6.772997136689072,16.666666666666668,0.11,10.682175159905848,20.0,0.22
9,0.0,100.0,1.0,1.2414943415352928,3.3333333333333335,0.03,0.0,0.0,0.0
1,18.174982149123977,67.5,0.44,,,,,,
6,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.57
3,1.123099644603982,3.0303030303030303,0.03,1.0559717178170818,2.857142857142857,0.02,3.7477767366779213,9.090909090909092,0.05
1,25.215567770973596,65.0,0.35,,,,,,
8,10.955928664266725,80.0,0.49,19.07341352661712,71.05263157894737,0.52,10.146791088301455,59.57446808510638,0.47
8,1.2579902930246603,66.66666666666667,0.33,26.96255144459344,73.80952380952381,0.54,25.987292527229194,53.03030303030303,0.48
2,20.632845655752643,75.0,0.54,10.904184966162346,62.22222222222222,0.46,,,
