Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,100.0,1.0,0.0,0.0,0.22,3.377156414337854,14.285714285714286,0.21
3,0.0,66.66666666666667,0.29,5.10809933294318,22.22222222222222,0.24,6.754312828675707,28.571428571428573,0.35
15,1.5732934811145336,4.166666666666667,0.09,0.0,0.0,0.0,2.445593937240363,6.25,0.16
4,0.48108068600212583,1.3333333333333333,0.01,4.767707020457095,11.11111111111111,0.08,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.767707020457095,11.11111111111111,0.09,,,,,,
1,5.522397783539471,12.5,0.18,,,,,,
24,0.0,0.0,0.22,0.0,0.0,0.1,2.445593937240363,6.25,0.08
3,1.727223799216787,4.545454545454546,0.1,0.0,0.0,0.18,0.0,0.0,0.02
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.22,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,2.0244462660665508,5.2631578947368425,0.03,,,,,,
1,16.173559164906184,48.484848484848484,0.47,,,,,,
35,0.8130350574508933,2.2222222222222223,0.05,8.116697886877475,16.666666666666668,0.4,0.0,0.0,0.15
3,0.0,0.0,0.17,0.0,0.0,0.35,0.0,0.0,0.27
3,0.0,0.0,0.0,9.652434877402245,33.333333333333336,0.36,2.908317710573757,12.5,0.14
6,0.0,0.0,0.67,0.0,0.0,0.2,0.0,0.0,0.27
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
1,5.255923420816887,13.333333333333334,0.09,,,,,,
15,3.7477767366779213,9.090909090909092,0.06,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.11
1,4.767707020457095,11.11111111111111,0.09,,,,,,
35,0.0,0.0,0.08,1.676697482055306,3.75,0.07,0.0,0.0,0.35
6,18.99589214128981,50.0,0.5,20.556680845025987,37.5,0.62,24.446151121745054,42.857142857142854,0.64
14,0.0,33.333333333333336,0.86,10.682175159905848,20.0,0.75,5.522397783539471,12.5,0.34
1,0.0,50.0,0.67,,,,,,
1,2.627961710408444,6.666666666666667,0.03,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.17,0.0,0.0,0.22
6,4.464476787351278,9.67741935483871,0.11,0.0,100.0,0.86,59.460355750136046,75.0,0.94
14,1.9146030690102511,5.0,0.19,10.682175159905848,20.0,0.57,0.0,100.0,0.36
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.05,0.0,0.0,0.38,0.0,33.333333333333336,0.94
9,0.0,0.0,0.02,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,50.0,0.4,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,3.7477767366779213,9.090909090909092,0.21,0.0,0.0,0.03,0.0,0.0,0.02
3,30.213753973567677,50.0,0.67,0.0,0.0,0.18,7.12695567709093,15.0,0.26
3,0.0,66.66666666666667,0.29,2.719665272174911,11.764705882352942,0.07,0.0,66.66666666666667,0.25
15,15.97357760615681,25.0,0.4,0.0,0.0,0.0,0.0,33.333333333333336,0.57
4,0.0,33.333333333333336,0.18,5.522397783539471,12.5,0.09,1.9146030690102511,5.0,0.03
4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1,6.567274736060395,14.285714285714286,0.14,,,,,,
1,12.751514799308588,57.142857142857146,0.26,,,,,,
