Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.9432284668356838,2.5641025641025643,0.07,1.387819277861591,3.7037037037037037,0.05,2.445593937240363,6.25,0.14
3,0.0,0.0,0.03,0.0,0.0,0.13,10.682175159905848,20.0,0.5
3,7.267884212102741,37.5,0.33,12.703318703865365,40.0,0.17,12.703318703865365,40.0,0.17
15,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
4,5.522397783539471,12.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.15,6.567274736060395,14.285714285714286,0.11,0.0,0.0,0.0
1,6.567274736060395,14.285714285714286,0.11,,,,,,
1,5.522397783539471,12.5,0.09,,,,,,
24,1.2414943415352928,3.3333333333333335,0.06,3.0890553181566975,7.6923076923076925,0.15,2.445593937240363,6.25,0.08
3,0.0,0.0,0.18,0.0,0.0,0.12,0.0,0.0,0.16
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.456882760699063,18.181818181818183,0.1
15,0.0,0.0,0.04,0.0,0.0,0.08,10.682175159905848,20.0,0.44
1,0.0,50.0,0.67,,,,,,
1,3.781554961905165,25.714285714285715,0.21,,,,,,
35,0.0,0.0,0.09,0.6258807799153787,1.7241379310344827,0.03,0.0,0.0,0.1
3,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.0,0.0
3,0.0,0.0,0.0,18.99589214128981,50.0,0.21,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0
1,0.8954307276600084,2.4390243902439024,0.02,,,,,,
1,10.682175159905848,20.0,0.25,,,,,,
15,3.7477767366779213,9.090909090909092,0.06,6.567274736060395,14.285714285714286,0.15,0.8954307276600084,2.4390243902439024,0.02
1,10.682175159905848,20.0,0.18,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.32,0.0,0.0,0.11
3,0.0,33.333333333333336,0.62,0.0,0.0,0.0,0.0,0.0,0.1
1,75.98356856515926,83.33333333333333,0.9,,,,,,
15,0.0,0.0,0.0,10.682175159905848,20.0,0.71,0.0,0.0,0.0
6,59.460355750136046,75.0,0.86,59.460355750136046,75.0,0.86,59.460355750136046,75.0,0.86
14,0.0,33.333333333333336,0.5,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.03
1,15.97357760615681,25.0,0.33,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,2.445593937240363,6.25,0.27,0.0,0.0,0.06,0.0,0.0,0.22
6,26.65837681702885,45.45454545454545,0.7,15.27678022374703,27.77777777777778,0.31,11.044795567078939,25.0,0.24
14,2.1476912089159055,5.555555555555555,0.05,0.0,0.0,0.0,2.445593937240363,6.25,0.05
1,0.0,0.0,0.12,,,,,,
14,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.13,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.25,0.0,0.0,0.15
6,59.460355750136046,75.0,0.86,10.552670315936318,33.333333333333336,0.46,59.460355750136046,75.0,0.86
14,0.0,0.0,0.0,0.7144315612998046,1.9607843137254901,0.01,1.3353534059549443,3.5714285714285716,0.03
1,4.196114906296549,10.0,0.04,,,,,,
1,8.116697886877475,16.666666666666668,0.11,,,,,,
35,0.0,0.0,0.0,0.6735878102046051,1.8518518518518519,0.07,0.0,33.333333333333336,0.94
9,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2,0.0,100.0,1.0
1,0.0,50.0,0.4,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,4.196114906296549,10.0,0.2,1.387819277861591,3.7037037037037037,0.06,1.4445809981770859,3.8461538461538463,0.05
3,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.05
