Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,1.3353534059549443,3.5714285714285716,0.07,2.445593937240363,6.25,0.09,1.387819277861591,3.7037037037037037,0.05
3,1.8160849415439309,4.761904761904762,0.12,1.727223799216787,4.545454545454546,0.12,0.8522452865706931,2.3255813953488373,0.06
3,59.460355750136046,75.0,0.75,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.11,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,2.1476912089159055,5.555555555555555,0.04,,,,,,
1,16.923267918690044,36.36363636363637,0.48,,,,,,
35,0.0,0.0,0.07,1.727223799216787,4.545454545454546,0.17,0.0,0.0,0.27
6,9.864703138979419,27.272727272727273,0.26,6.917184228205472,20.0,0.15,5.522397783539471,12.5,0.1
14,0.0,0.0,0.0,5.522397783539471,12.5,0.11,8.116697886877475,16.666666666666668,0.12
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.17,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.06,0.0,33.333333333333336,0.94
9,0.0,0.0,0.0,3.0890553181566975,7.6923076923076925,0.03,1.9146030690102511,5.0,0.02
1,0.0,100.0,1.0,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
