Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,8.116697886877475,16.666666666666668,0.33,2.8398387225677895,7.142857142857143,0.09,1.4445809981770859,3.8461538461538463,0.05
3,0.5749785925016119,1.5873015873015872,0.04,3.3864985683445354,8.333333333333334,0.22,2.8398387225677895,7.142857142857143,0.14
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.21,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,8.116697886877475,16.666666666666668,0.1,,,,,,
1,0.08932790727559775,62.6865671641791,0.01,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.17
3,0.0,0.0,0.64,0.0,0.0,0.15,0.0,0.0,0.04
3,5.669791110976001,22.22222222222222,0.14,4.990049701936832,20.0,0.28,9.652434877402245,33.333333333333336,0.35
6,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.14
1,8.116697886877475,16.666666666666668,0.1,,,,,,
1,8.116697886877475,16.666666666666668,0.22,,,,,,
35,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.27,0.0,0.0,0.17
3,1.6466642419110007,4.3478260869565215,0.21,11.044795567078939,25.0,0.51,4.5739135561238005,11.764705882352942,0.32
1,12.703318703865365,40.0,0.5,,,,,,
15,2.2869567780619007,5.882352941176471,0.03,3.0890553181566975,7.6923076923076925,0.05,0.0,0.0,0.5
1,3.3864985683445354,8.333333333333334,0.03,,,,,,
35,0.0,0.0,0.0,0.0,33.333333333333336,0.67,0.0,0.0,0.17
3,0.0,0.0,0.12,3.1251907639724417,13.333333333333334,0.05,0.0,0.0,0.11
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4
1,3.7477767366779213,9.090909090909092,0.06,,,,,,
35,0.5398548275054964,1.492537313432836,0.02,0.0,0.0,0.24,0.0,0.0,0.17
3,0.0,0.0,0.0,0.0,0.0,0.09,1.5732934811145336,4.166666666666667,0.03
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
8,82.38201533409091,100.0,0.79,14.338459450924349,28.571428571428573,0.21,15.355618847396123,30.555555555555557,0.21
2,13.381565724288716,30.0,0.24,21.990155448448863,43.75,0.32,,,
6,2.1476912089159055,5.555555555555555,0.04,2.445593937240363,6.25,0.05,1.5732934811145336,4.166666666666667,0.04
11,3.7477767366779213,9.090909090909092,0.11,0.6866732953963862,1.8867924528301887,0.01,5.522397783539471,12.5,0.11
14,3.0890553181566975,7.6923076923076925,0.06,0.47462176237300036,1.3157894736842106,0.01,2.445593937240363,6.25,0.05
1,12.019562453203678,38.63636363636363,0.28,,,,,,
5,0.9964194812460634,2.7027027027027026,0.02,0.8321783954793125,2.272727272727273,0.02,2.445593937240363,6.25,0.05
4,0.47462176237300036,1.3157894736842106,0.01,0.0,0.0,0.0,0.0,33.333333333333336,0.29
9,0.0,100.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0
1,9.89673959809406,29.166666666666668,0.25,,,,,,
6,9.287528999566801,30.0,0.14,6.285596338261262,21.428571428571427,0.14,35.35533905932737,75.0,0.14
3,0.6258807799153787,1.7241379310344827,0.01,4.196114906296549,10.0,0.07,0.42858892466764814,1.1904761904761905,0.01
1,9.199366205521281,25.714285714285715,0.24,,,,,,
8,100.00000000000004,100.0,0.81,4.076976311352429,13.235294117647058,0.14,7.545827734685473,20.512820512820515,0.21
35,1.0885011049519644,2.9411764705882355,0.14,6.567274736060395,14.285714285714286,0.69,0.0,0.0,0.12
6,15.619699684601283,30.0,0.14,30.213753973567677,50.0,0.55,30.213753973567677,50.0,0.55
10,10.682175159905848,20.0,0.25,15.97357760615681,25.0,0.15,0.0,33.333333333333336,0.29
1,0.0,50.0,0.67,,,,,,
11,0.0,33.333333333333336,0.4,15.97357760615681,25.0,0.33,5.522397783539471,12.5,0.11
14,0.0,50.0,0.67,0.0,50.0,0.67,0.0,50.0,0.67
1,1.5732934811145336,4.166666666666667,0.02,,,,,,
35,0.4135480978530135,1.1494252873563218,0.01,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.1
3,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
1,6.567274736060395,14.285714285714286,0.11,,,,,,
35,0.0,0.0,0.06,0.0,0.0,0.33,0.0,0.0,0.09
3,0.0,0.0,0.06,0.0,0.0,0.15,0.0,0.0,0.07
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
8,1.8368796991544223,80.48780487804878,0.03,0.11469477840263156,95.83333333333333,0.08,0.11561856934199949,79.16666666666667,0.02
1,4.96022783545908,75.0,0.02,,,,,,
9,16.079298647562638,20.0,0.2,47.037095938668955,53.84615384615385,0.6,9.049603446952904,11.475409836065573,0.14
29,0.0,0.0,0.03,0.7445292335166879,2.0408163265306123,0.01,15.97357760615681,25.0,0.25
11,1.3353534059549443,3.5714285714285716,0.02,0.0,0.0,0.0,5.522397783539471,12.5,0.11
14,0.0,0.0,0.06,0.4945407352517106,1.36986301369863,0.07,0.0,0.0,0.12
6,1.1689711837822976,3.225806451612903,0.02,2.4829886830705856,6.666666666666667,0.04,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
2,1.0253311603116817,2.7777777777777777,0.02,0.7605497822189857,2.0833333333333335,0.01,,,
2,6.912085323116836,88.88888888888889,0.03,0.006386821540367481,100.0,0.02,,,
8,3.2015021286930425,94.44444444444444,0.03,2.4837654263697595,94.11764705882354,0.03,8.316307108558556,95.83333333333333,0.04
8,7.610819389598829,95.65217391304348,0.17,2.634251959086508,94.11764705882354,0.04,22.860604367525603,94.20289855072464,0.07
2,3.365460059755915,97.43589743589743,0.04,17.463741253456885,63.855421686746986,0.03,,,
11,2.445593937240363,6.25,0.05,1.9146030690102511,5.0,0.05,0.29341793370341335,0.819672131147541,0.01
