Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.29,0.0,0.0,0.06,0.0,0.0,0.05
9,0.918708060432945,2.5,0.06,0.0,0.0,0.12,0.0,0.0,0.0
3,0.0,33.333333333333336,0.71,0.9432284668356838,2.5641025641025643,0.12,2.8398387225677895,7.142857142857143,0.22
3,8.51528917838043,40.0,0.35,1.3339264902154053,10.256410256410257,0.22,1.2350387043213578,9.523809523809524,0.19
15,0.8321783954793125,2.272727272727273,0.05,2.8398387225677895,7.142857142857143,0.1,3.3864985683445354,8.333333333333334,0.1
4,0.0,0.0,0.0,0.0,0.0,0.0,0.969094302009921,2.6315789473684212,0.02
2,0.0,0.0,0.19,0.0,0.0,0.12,,,
16,3.7477767366779213,9.090909090909092,0.13,0.0,0.0,0.5,3.0890553181566975,7.6923076923076925,0.14
4,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2,4.196114906296549,10.0,0.21,1.727223799216787,4.545454545454546,0.12,,,
16,3.0890553181566975,7.6923076923076925,0.14,0.0,0.0,0.5,2.2869567780619007,5.882352941176471,0.14
4,3.0890553181566975,7.6923076923076925,0.05,3.0890553181566975,7.6923076923076925,0.05,3.0890553181566975,7.6923076923076925,0.05
1,1.199348129252962,3.225806451612903,0.03,,,,,,
1,1.506189323093867,4.0,0.04,,,,,,
24,3.3864985683445354,8.333333333333334,0.16,2.2869567780619007,5.882352941176471,0.08,2.2869567780619007,5.882352941176471,0.07
3,0.0,0.0,0.09,0.0,0.0,0.2,0.0,0.0,0.02
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.18,0.0,0.0,0.02,10.682175159905848,20.0,0.44
1,0.0,50.0,0.67,,,,,,
1,0.6617608439399612,43.39622641509434,0.03,,,,,,
35,0.0,0.0,0.03,0.0,0.0,0.15,0.0,0.0,0.04
9,8.116697886877475,16.666666666666668,0.35,1.6466642419110007,4.3478260869565215,0.07,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,33.333333333333336,0.75,,,,,,
15,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0,0.31
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.1
6,0.020036964777445525,30.76923076923077,0.1,0.29492193364521196,52.63157894736842,0.14,0.014728751238864975,63.63636363636363,0.1
14,0.8954307276600084,2.4390243902439024,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1,8.913765521398126,36.36363636363637,0.17,,,,,,
14,5.715452490398436,15.686274509803921,0.13,1.367537266354334,6.349206349206349,0.03,6.82604295041865,16.0,0.19
29,2.0244462660665508,5.2631578947368425,0.07,1.6466642419110007,4.3478260869565215,0.06,10.682175159905848,20.0,0.12
1,1.9146030690102511,5.0,0.06,,,,,,
7,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2557690800697192,5.714285714285714,0.06,4.138032476265195,7.2727272727272725,0.13,,,
12,0.7445292335166879,2.0408163265306123,0.05,4.767707020457095,11.11111111111111,0.25,0.0,0.0,0.67
2,1.4583397289082511,4.0,0.04,1.4005547834201397,3.8461538461538463,0.07,,,
12,0.6609918289641935,1.8181818181818181,0.05,0.6866732953963862,1.8867924528301887,0.05,0.7445292335166879,2.0408163265306123,0.03
2,0.7772751558853214,2.127659574468085,0.01,0.7002773917100699,1.9230769230769231,0.01,,,
1,15.752472077738659,18.181818181818183,0.21,,,,,,
14,15.293931890643272,18.0,0.15,14.984804188561688,17.647058823529413,0.13,14.984804188561688,17.647058823529413,0.13
29,0.6609918289641935,1.8181818181818181,0.02,0.6866732953963862,1.8867924528301887,0.01,10.682175159905848,20.0,0.12
1,1.321983657928387,3.6363636363636362,0.05,,,,,,
7,0.6735878102046051,1.8518518518518519,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2,4.138032476265195,7.2727272727272725,0.13,4.383973390157488,7.6923076923076925,0.12,,,
12,0.6866732953963862,1.8867924528301887,0.05,0.6609918289641935,1.8181818181818181,0.05,0.7144315612998046,1.9607843137254901,0.04
2,1.4005547834201397,3.8461538461538463,0.05,1.321983657928387,3.6363636363636362,0.07,,,
12,0.7291698644541256,2.0,0.04,0.7002773917100699,1.9230769230769231,0.05,0.0,100.0,1.0
2,0.0,33.333333333333336,0.25,0.6609918289641935,1.8181818181818181,0.02,,,
1,16.052654068024736,18.51851851851852,0.23,,,,,,
14,14.40259001759199,16.9811320754717,0.19,11.323154405023375,13.432835820895523,0.2,14.40259001759199,16.9811320754717,0.19
29,0.6866732953963862,1.8867924528301887,0.02,0.6609918289641935,1.8181818181818181,0.02,10.682175159905848,20.0,0.12
1,1.321983657928387,3.6363636363636362,0.05,,,,,,
7,0.6609918289641935,1.8181818181818181,0.03,0.5317343965184799,1.4705882352941178,0.03,0.0,0.0,0.0
2,4.47258328043203,7.8431372549019605,0.14,4.47258328043203,7.8431372549019605,0.14,,,
12,0.6609918289641935,1.8181818181818181,0.05,4.767707020457095,11.11111111111111,0.26,0.6609918289641935,1.8181818181818181,0.05
2,1.428863122599609,3.9215686274509802,0.07,1.428863122599609,3.9215686274509802,0.07,,,
12,0.7144315612998046,1.9607843137254901,0.06,0.6866732953963862,1.8867924528301887,0.05,0.6866732953963862,1.8867924528301887,0.04
2,0.0,0.0,0.0,0.7291698644541256,2.0,0.02,,,
1,17.743299460161882,20.408163265306122,0.24,,,,,,
