Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.7605497822189857,2.0833333333333335,0.06,8.116697886877475,16.666666666666668,0.25,8.116697886877475,16.666666666666668,0.25
3,0.0,0.0,0.56,2.4074859035470344,10.526315789473685,0.24,1.6504045595709425,7.407407407407407,0.2
3,18.99589214128981,50.0,0.92,1.3794462224541233,6.25,0.16,7.809849842300637,28.571428571428573,0.46
15,0.3664011637870855,1.0204081632653061,0.03,0.9432284668356838,2.5641025641025643,0.07,4.196114906296549,10.0,0.23
4,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.06,1.0885011049519644,2.9411764705882355,0.02
1,1.727223799216787,4.545454545454546,0.04,,,,,,
1,2.8398387225677895,7.142857142857143,0.06,,,,,,
24,0.0,0.0,0.22,4.196114906296549,10.0,0.19,2.445593937240363,6.25,0.15
3,66.87403049764218,80.0,0.91,8.055259301867162,13.793103448275861,0.26,1.958224832501124,8.695652173913043,0.26
3,5.669791110976001,22.22222222222222,0.48,4.456882760699063,18.181818181818183,0.41,4.02724819242185,16.666666666666668,0.44
15,15.97357760615681,25.0,0.4,3.7477767366779213,9.090909090909092,0.23,3.7477767366779213,9.090909090909092,0.23
4,1.6466642419110007,4.3478260869565215,0.02,0.0,100.0,1.0,1.286713095960916,3.4482758620689653,0.03
1,3.7477767366779213,9.090909090909092,0.09,,,,,,
1,2.8398387225677895,7.142857142857143,0.06,,,,,,
24,1.5732934811145336,4.166666666666667,0.09,2.8398387225677895,7.142857142857143,0.15,2.445593937240363,6.25,0.15
3,10.682175159905848,20.0,0.47,0.0,0.0,0.03,0.0,0.0,0.03
3,66.06328636027612,80.0,0.93,5.70796903405875,40.0,0.34,66.06328636027612,80.0,0.93
15,0.7445292335166879,2.0408163265306123,0.04,10.682175159905848,20.0,0.4,15.97357760615681,25.0,0.46
4,3.3864985683445354,8.333333333333334,0.22,8.116697886877475,16.666666666666668,0.28,3.3864985683445354,8.333333333333334,0.22
