Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04
3,19.304869754804482,66.66666666666667,0.78,4.990049701936832,20.0,0.18,14.794015674776452,50.0,0.25
15,0.0,0.0,0.22,0.0,0.0,0.03,6.567274736060395,14.285714285714286,0.32
4,0.0,33.333333333333336,0.25,0.0,0.0,0.0,5.522397783539471,12.5,0.08
4,0.6371624499564389,1.7543859649122806,0.01,5.522397783539471,12.5,0.08,6.567274736060395,14.285714285714286,0.09
1,0.6488583831481832,1.7857142857142858,0.01,,,,,,
1,0.6149917424924614,1.694915254237288,0.01,,,,,,
24,4.767707020457095,11.11111111111111,0.24,2.627961710408444,6.666666666666667,0.16,0.0,0.0,0.06
3,0.0,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.06
3,54.10822690539397,75.0,0.9,1.6317924442010885,8.928571428571429,0.14,0.7753102943211388,6.0606060606060606,0.07
15,0.0,0.0,0.22,0.6258807799153787,1.7241379310344827,0.04,4.196114906296549,10.0,0.11
4,0.0,33.333333333333336,0.25,0.6149917424924614,1.694915254237288,0.01,0.0,0.0,0.0
4,0.0,0.0,0.07,3.7477767366779213,9.090909090909092,0.07,5.522397783539471,12.5,0.12
2,5.522397783539471,12.5,0.48,4.767707020457095,11.11111111111111,0.45,,,
16,4.196114906296549,10.0,0.21,0.0,0.0,0.09,0.0,50.0,0.75
4,10.682175159905848,20.0,0.17,0.6044751875664687,1.6666666666666667,0.01,4.196114906296549,10.0,0.08
1,10.682175159905848,20.0,0.2,,,,,,
1,0.6044751875664687,1.6666666666666667,0.01,,,,,,
24,1.8160849415439309,4.761904761904762,0.09,0.0,0.0,0.03,2.445593937240363,6.25,0.08
3,0.0,0.0,0.06,0.0,0.0,0.29,0.0,0.0,0.03
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.14
1,0.0,50.0,0.67,,,,,,
1,16.63603558532716,53.84615384615385,0.38,,,,,,
35,0.0,0.0,0.0,0.8733042428534794,2.380952380952381,0.06,0.0,0.0,0.17
3,0.0,0.0,0.02,0.0,0.0,0.04,0.7002773917100699,1.9230769230769231,0.02
1,0.0,33.333333333333336,0.77,,,,,,
15,0.0,0.0,0.5,0.0,0.0,0.62,0.0,0.0,0.57
1,10.682175159905848,20.0,0.14,,,,,,
35,0.5238546714708301,1.4492753623188406,0.05,2.1476912089159055,5.555555555555555,0.2,0.0,0.0,0.09
3,1.3353534059549443,3.5714285714285716,0.03,8.116697886877475,16.666666666666668,0.22,1.3353534059549443,3.5714285714285716,0.04
3,0.0,0.0,0.0,12.703318703865365,40.0,0.55,3.377156414337854,14.285714285714286,0.15
6,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.25
1,1.506189323093867,4.0,0.04,,,,,,
1,6.567274736060395,14.285714285714286,0.18,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.14
1,15.97357760615681,25.0,0.33,,,,,,
35,0.918708060432945,2.5,0.06,0.0,0.0,0.09,5.522397783539471,12.5,0.36
6,75.98356856515926,83.33333333333333,0.83,75.98356856515926,83.33333333333333,0.83,75.98356856515926,83.33333333333333,0.71
14,10.682175159905848,20.0,0.29,6.567274736060395,14.285714285714286,0.17,6.567274736060395,14.285714285714286,0.17
1,16.233395773754953,33.333333333333336,0.33,,,,,,
14,0.0,100.0,1.0,6.567274736060395,14.285714285714286,0.17,6.567274736060395,14.285714285714286,0.17
1,0.969094302009921,2.6315789473684212,0.02,,,,,,
1,1.0559717178170818,2.857142857142857,0.02,,,,,,
35,0.969094302009921,2.6315789473684212,0.13,0.0,0.0,0.0,0.0,0.0,0.21
6,11.478744233307168,66.66666666666667,0.5,0.0,100.0,0.33,33.9132609103075,55.55555555555556,0.67
14,0.0,33.333333333333336,0.5,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.29
1,0.0,100.0,0.67,,,,,,
14,0.0,100.0,1.0,0.0,0.0,0.0,0.0,50.0,0.67
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,8.116697886877475,16.666666666666668,0.59,0.0,0.0,0.0,0.0,33.333333333333336,0.94
9,0.0,0.0,0.0,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,100.0,1.0,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,3.0890553181566975,7.6923076923076925,0.21,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.32,0.0,0.0,0.17,0.0,0.0,0.09
3,22.089591134157878,50.0,0.57,14.058533129758727,60.0,0.43,10.90009697802911,21.73913043478261,0.16
15,2.445593937240363,6.25,0.1,0.5238546714708301,1.4492753623188406,0.04,6.567274736060395,14.285714285714286,0.3
4,0.0,50.0,0.4,6.567274736060395,14.285714285714286,0.08,0.5657759656209534,1.5625,0.01
4,0.0,0.0,0.25,2.445593937240363,6.25,0.04,0.0,0.0,0.08
1,10.682175159905848,20.0,0.18,,,,,,
1,11.03920919563323,50.81967213114754,0.27,,,,,,
