Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.445593937240363,6.25,0.18,0.0,0.0,0.05,0.0,0.0,0.05
3,0.0,0.0,0.19,0.0,0.0,0.14,0.0,0.0,0.06
3,1.1216940038341034,5.128205128205129,0.05,1.1216940038341034,5.128205128205129,0.05,4.990049701936832,20.0,0.14
15,1.4445809981770859,3.8461538461538463,0.06,3.0890553181566975,7.6923076923076925,0.11,8.116697886877475,16.666666666666668,0.29
4,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.11
1,8.116697886877475,16.666666666666668,0.12,,,,,,
1,6.567274736060395,14.285714285714286,0.08,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,8.116697886877475,16.666666666666668,0.38,0.5482271666382152,1.5151515151515151,0.04,0.5568633223045912,1.5384615384615385,0.03
3,0.0,66.66666666666667,0.24,5.522397783539471,30.0,0.39,0.8404845444815474,6.557377049180328,0.12
15,0.0,0.0,0.44,0.5844855918911488,1.6129032258064515,0.03,2.627961710408444,6.666666666666667,0.16
4,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.01
2,4.767707020457095,11.11111111111111,0.28,1.2325411410774878,4.615384615384615,0.08,,,
16,5.522397783539471,12.5,0.4,0.0,0.0,0.1,0.0,0.0,0.08
4,0.0,33.333333333333336,0.25,0.0,0.0,0.33,0.5657759656209534,1.5625,0.01
3,16.233395773754953,33.333333333333336,0.33,2.159701133933343,9.523809523809524,0.07,0.0,0.0,0.0
1,0.5943123208853887,1.639344262295082,0.01,,,,,,
2,0.0,0.0,0.12,0.5749785925016119,1.5873015873015872,0.04,,,
16,2.627961710408444,6.666666666666667,0.16,0.0,0.0,0.5,2.8398387225677895,7.142857142857143,0.17
4,0.0,0.0,0.0,0.0,0.0,0.0,2.627961710408444,6.666666666666667,0.06
1,0.0,50.0,0.67,,,,,,
1,0.8130350574508933,2.2222222222222223,0.02,,,,,,
24,1.5732934811145336,4.166666666666667,0.11,0.0,0.0,0.03,0.0,0.0,0.02
3,0.0,0.0,0.14,0.0,0.0,0.3,0.5749785925016119,1.5873015873015872,0.04
3,11.708995388048026,66.66666666666667,0.46,10.123734869668828,35.294117647058826,0.47,5.70796903405875,40.0,0.22
15,0.6258807799153787,1.7241379310344827,0.04,0.0,0.0,0.07,4.196114906296549,10.0,0.27
4,0.0,0.0,0.29,0.0,0.0,0.24,0.0,0.0,0.2
3,16.233395773754953,33.333333333333336,0.27,6.772997136689072,16.666666666666668,0.11,0.0,0.0,0.0
1,4.196114906296549,10.0,0.07,,,,,,
2,3.3864985683445354,8.333333333333334,0.33,0.0,0.0,0.07,,,
16,2.8398387225677895,7.142857142857143,0.13,0.0,0.0,0.5,2.8398387225677895,7.142857142857143,0.13
4,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.0,0.13
2,0.0,0.0,0.78,0.5749785925016119,1.5873015873015872,0.04,,,
16,2.2869567780619007,5.882352941176471,0.11,10.682175159905848,20.0,0.32,2.2869567780619007,5.882352941176471,0.11
4,0.0,0.0,0.15,0.0,0.0,0.02,0.0,0.0,0.13
1,15.97357760615681,25.0,0.18,,,,,,
1,0.6735878102046051,1.8518518518518519,0.01,,,,,,
24,0.8733042428534794,2.380952380952381,0.05,2.445593937240363,6.25,0.09,15.97357760615681,25.0,0.26
3,0.0,0.0,0.1,0.0,0.0,0.18,0.0,0.0,0.17
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.11,0.0,0.0,0.12,10.682175159905848,20.0,0.44
1,0.6488583831481832,1.7857142857142858,0.01,,,,,,
1,14.894723066013702,48.888888888888886,0.37,,,,,,
35,0.8130350574508933,2.2222222222222223,0.05,5.522397783539471,12.5,0.35,0.0,0.0,0.15
3,0.0,0.0,0.0,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.14
3,3.1251907639724417,13.333333333333334,0.1,4.456882760699063,18.181818181818183,0.29,2.5540496664715904,11.11111111111111,0.07
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.7291698644541256,2.0,0.01,,,,,,
35,0.0,0.0,0.04,10.682175159905848,20.0,0.4,0.0,0.0,0.17
3,8.116697886877475,16.666666666666668,0.06,0.0,0.0,0.06,0.0,0.0,0.05
1,0.0,33.333333333333336,0.44,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.22,0.0,0.0,0.17,0.0,0.0,0.22
1,10.682175159905848,20.0,0.17,,,,,,
35,1.4445809981770859,3.8461538461538463,0.14,0.0,0.0,0.0,4.196114906296549,10.0,0.32
6,46.713797772819994,66.66666666666667,0.63,54.10822690539397,75.0,0.67,54.10822690539397,75.0,0.67
14,4.767707020457095,11.11111111111111,0.13,4.767707020457095,11.11111111111111,0.13,0.5657759656209534,1.5625,0.01
