Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,15.97357760615681,25.0,0.26,1.4445809981770859,3.8461538461538463,0.05,0.0,0.0,0.01
3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.18
3,5.369488567517933,40.0,0.41,8.820727472213227,57.142857142857146,0.39,5.875148471810145,38.888888888888886,0.35
15,15.97357760615681,25.0,0.35,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.14
4,2.1476912089159055,5.555555555555555,0.12,4.767707020457095,11.11111111111111,0.3,4.767707020457095,11.11111111111111,0.29
3,6.178110636313396,15.384615384615385,0.1,8.392229812593097,20.0,0.15,0.0,0.0,0.0
1,4.196114906296549,10.0,0.08,,,,,,
2,12.35622127262679,30.76923076923077,0.64,0.6712165333453175,5.2631578947368425,0.13,,,
16,2.2869567780619007,5.882352941176471,0.12,0.0,0.0,0.5,15.97357760615681,25.0,0.35
4,4.885326644211927,18.181818181818183,0.23,0.0,0.0,0.24,7.432998184513635,26.666666666666668,0.34
1,0.5238546714708301,1.4492753623188406,0.01,,,,,,
1,10.682175159905848,20.0,0.11,,,,,,
24,2.0244462660665508,5.2631578947368425,0.11,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,0.6609918289641935,1.8181818181818181,0.04,0.0,0.0,0.08,0.0,0.0,0.08
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.06,10.682175159905848,20.0,0.44,0.0,0.0,0.14
1,6.567274736060395,14.285714285714286,0.08,,,,,,
1,31.501061971625877,59.523809523809526,0.54,,,,,,
35,0.0,0.0,0.1,10.682175159905848,20.0,0.32,0.0,0.0,0.17
3,0.0,0.0,0.17,0.969094302009921,2.6315789473684212,0.05,4.767707020457095,11.11111111111111,0.21
1,3.0890553181566975,7.6923076923076925,0.06,,,,,,
35,0.0,0.0,0.07,4.196114906296549,10.0,0.26,0.0,0.0,0.13
3,1.0559717178170818,2.857142857142857,0.07,0.0,0.0,0.12,4.196114906296549,10.0,0.29
3,1.8709718017288024,8.333333333333334,0.06,5.669791110976001,22.22222222222222,0.16,1.3794462224541233,6.25,0.09
6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,1.1599713834969503,3.125,0.02,,,,,,
8,54.67196117093973,74.19354838709677,0.55,47.648135749654315,62.5,0.46,30.158753191033192,43.47826086956522,0.32
1,49.61747660100148,73.07692307692308,0.57,,,,,,
9,63.4192268377597,66.66666666666667,0.75,67.53160327422972,70.58823529411765,0.77,67.53160327422972,70.58823529411765,0.77
29,0.9964194812460634,2.7027027027027026,0.06,2.2869567780619007,5.882352941176471,0.14,0.0,0.0,0.07
11,1.4445809981770859,3.8461538461538463,0.02,2.1476912089159055,5.555555555555555,0.05,1.3353534059549443,3.5714285714285716,0.03
14,5.606668411195422,12.0,0.18,5.377336385080629,11.538461538461538,0.16,15.619699684601283,30.0,0.5
6,17.00107809840423,23.80952380952381,0.27,16.169214353455807,22.727272727272727,0.26,16.169214353455807,22.727272727272727,0.27
14,1.5732934811145336,4.166666666666667,0.09,1.8160849415439309,4.761904761904762,0.1,1.8160849415439309,4.761904761904762,0.1
1,3.4544475984335747,9.090909090909092,0.13,,,,,,
14,2.0244462660665508,5.2631578947368425,0.11,0.0,0.0,0.05,0.0,0.0,0.04
1,0.0,33.333333333333336,0.5,,,,,,
2,2.0244462660665508,5.2631578947368425,0.04,2.2869567780619007,5.882352941176471,0.04,,,
4,2.1476912089159055,5.555555555555555,0.03,1.9146030690102511,5.0,0.03,0.0,0.0,0.0
9,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0
2,22.73070404638233,37.5,0.31,3.04281210061706,26.666666666666668,0.29,,,
8,35.86417974203252,52.94117647058823,0.46,68.22976562130764,75.0,0.75,49.09991753827355,60.714285714285715,0.47
8,32.01860858723451,50.0,0.56,30.489707307623156,48.148148148148145,0.44,25.991481790837113,33.333333333333336,0.33
2,44.74935415497118,57.142857142857146,0.46,19.55779019047063,31.57894736842105,0.34,,,
11,0.0,0.0,0.3,0.0,0.0,0.1,1.506189323093867,4.0,0.07
4,1.6466642419110007,4.3478260869565215,0.03,0.0,0.0,0.0,0.0,0.0,0.0
9,10.682175159905848,20.0,0.17,0.0,0.0,0.03,0.0,0.0,0.0
3,27.466953528819282,36.0,0.32,9.327870647412652,21.62162162162162,0.17,5.0735520042259505,22.22222222222222,0.29
8,21.15330363637516,28.125,0.28,24.351580099223153,32.142857142857146,0.31,7.534574908382861,15.909090909090908,0.15
35,1.0559717178170818,2.857142857142857,0.11,1.9146030690102511,5.0,0.17,0.0,0.0,0.24
6,26.65837681702885,45.45454545454545,0.7,3.1251907639724417,13.333333333333334,0.15,20.556680845025987,37.5,0.57
14,2.8398387225677895,7.142857142857143,0.06,1.9146030690102511,5.0,0.03,1.9146030690102511,5.0,0.03
1,4.048892532133102,10.526315789473685,0.15,,,,,,
14,1.3353534059549443,3.5714285714285716,0.07,2.1476912089159055,5.555555555555555,0.13,8.116697886877475,16.666666666666668,0.57
1,5.522397783539471,12.5,0.07,,,,,,
1,1.286713095960916,3.4482758620689653,0.02,,,,,,
35,15.97357760615681,25.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
35,6.567274736060395,14.285714285714286,0.06,1.506189323093867,4.0,0.02,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.14,0.0,33.333333333333336,0.7
9,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.06,0.0,100.0,1.0
1,0.0,100.0,1.0,,,,,,
35,0.0,50.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
24,0.7772751558853214,2.127659574468085,0.04,1.387819277861591,3.7037037037037037,0.06,1.387819277861591,3.7037037037037037,0.05
3,0.0,0.0,0.44,3.0890553181566975,7.6923076923076925,0.16,1.2557690800697192,5.714285714285714,0.1
3,19.437571020720103,77.77777777777777,0.73,0.9666944914803867,11.475409836065573,0.17,3.4197980307804725,29.41176470588235,0.24
15,15.97357760615681,25.0,0.4,2.8398387225677895,7.142857142857143,0.2,0.0,33.333333333333336,0.57
4,0.0,33.333333333333336,0.57,10.682175159905848,20.0,0.44,0.46833399312669227,1.2987012987012987,0.04
3,16.233395773754953,33.333333333333336,0.27,21.3643503198117,40.0,0.19,0.7067604405306844,3.278688524590164,0.02
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
2,6.27465531099474,33.333333333333336,0.42,0.7188461938966488,3.3333333333333335,0.12,,,
16,2.627961710408444,6.666666666666667,0.15,0.0,0.0,0.5,15.97357760615681,25.0,0.35
4,0.6246373674408189,3.9473684210526314,0.06,21.3643503198117,50.0,0.56,0.6323423276314544,2.9411764705882355,0.07
1,0.5482271666382152,1.5151515151515151,0.01,,,,,,
1,46.03757334895667,88.05970149253731,0.38,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.17,0.0,0.0,0.14
3,0.0,0.0,0.08,0.0,0.0,0.05,0.5568633223045912,1.5384615384615385,0.01
1,0.5356571470331629,2.5,0.01,,,,,,
3,0.0,0.0,0.25,0.0,0.0,0.04,0.4945407352517106,1.36986301369863,0.01
1,0.5749785925016119,1.5873015873015872,0.01,,,,,,
8,59.486167829678045,71.42857142857143,0.6,62.48619018016021,88.88888888888889,0.69,47.31668114099112,70.17543859649123,0.49
2,39.61333446718076,55.55555555555556,0.44,60.8079727502116,73.33333333333333,0.66,,,
6,0.6044751875664687,1.6666666666666667,0.02,0.4622106633998758,1.2820512820512822,0.01,10.682175159905848,20.0,0.18
11,0.5943123208853887,1.639344262295082,0.02,0.5749785925016119,1.5873015873015872,0.01,0.6258807799153787,1.7241379310344827,0.02
14,0.5844855918911488,1.6129032258064515,0.01,0.6044751875664687,1.6666666666666667,0.01,0.5943123208853887,1.639344262295082,0.01
1,44.7226785621162,67.85714285714286,0.4,,,,,,
5,0.47462176237300036,1.3157894736842106,0.01,0.48108068600212583,1.3333333333333333,0.01,1.199348129252962,3.225806451612903,0.03
4,0.6258807799153787,1.7241379310344827,0.01,0.46833399312669227,1.2987012987012987,0.01,6.567274736060395,14.285714285714286,0.12
9,4.443119077043701,6.578947368421052,0.13,11.227564716917941,16.129032258064516,0.33,6.567274736060395,25.0,0.16
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,0.0,0.0,0.0,0.918708060432945,2.5,0.03,0.0,0.0,0.0
1,49.52330116157306,57.142857142857146,0.6,,,,,,
8,11.336958836647044,14.285714285714286,0.23,6.870636427700047,16.666666666666668,0.16,11.336958836647044,14.285714285714286,0.23
29,0.8130350574508933,2.2222222222222223,0.02,0.8130350574508933,2.2222222222222223,0.02,0.5657759656209534,1.5625,0.01
11,0.8321783954793125,2.272727272727273,0.02,0.8321783954793125,2.272727272727273,0.02,0.5398548275054964,1.492537313432836,0.01
14,0.0,0.0,0.07,0.5657759656209534,1.5625,0.09,0.5657759656209534,1.5625,0.09
6,1.5545503117706427,4.25531914893617,0.04,1.7466084857069586,4.761904761904762,0.04,1.1315519312419071,3.125,0.03
1,0.8733042428534794,2.380952380952381,0.02,,,,,,
2,0.918708060432945,2.5,0.02,0.969094302009921,2.6315789473684212,0.03,,,
2,0.0,66.66666666666667,0.5,1.7908614553200168,4.878048780487805,0.04,,,
11,0.0,0.0,0.0,3.377156414337854,14.285714285714286,0.15,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.6258807799153787,1.7241379310344827,0.02,,,
1,68.037493331712,75.0,0.7,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.682175159905848,20.0,0.22,21.3643503198117,40.0,0.44,,,
11,5.377336385080629,11.538461538461538,0.06,20.556680845025987,37.5,0.53,0.0,100.0,1.0
1,14.65932705841374,25.454545454545453,0.21,,,,,,
6,2.4858281414101677,9.090909090909092,0.04,1.7203927233010683,6.382978723404255,0.03,0.0,100.0,1.0
3,15.97357760615681,25.0,0.4,0.6149917424924614,1.694915254237288,0.01,10.682175159905848,20.0,0.29
1,37.494051432044955,41.666666666666664,0.4,,,,,,
8,36.227557436010244,40.90909090909091,0.39,26.98809072033866,31.03448275862069,0.3,26.98809072033866,31.03448275862069,0.29
35,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.15
6,8.513012360883549,17.647058823529413,0.1,1.1599713834969503,3.125,0.03,0.7445292335166879,2.0408163265306123,0.02
10,4.767707020457095,11.11111111111111,0.11,2.2869567780619007,5.882352941176471,0.06,8.116697886877475,16.666666666666668,0.22
1,3.3864985683445354,8.333333333333334,0.04,,,,,,
11,6.567274736060395,14.285714285714286,0.15,0.0,33.333333333333336,0.4,5.522397783539471,12.5,0.14
14,6.567274736060395,14.285714285714286,0.15,6.567274736060395,14.285714285714286,0.15,6.567274736060395,14.285714285714286,0.15
1,6.567274736060395,14.285714285714286,0.15,,,,,,
35,4.767707020457095,11.11111111111111,0.11,0.0,0.0,0.0,0.0,0.0,0.0
8,26.746824481092048,33.84615384615385,0.24,4.932818758845598,31.03448275862069,0.18,26.09464681757708,31.666666666666668,0.24
2,30.8301299550215,50.0,0.27,38.005287673473845,46.15384615384615,0.28,,,
11,2.445593937240363,6.25,0.03,8.116697886877475,16.666666666666668,0.18,2.2869567780619007,5.882352941176471,0.05
2,13.134549472120788,28.571428571428573,0.27,0.0,33.333333333333336,0.25,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19.0378619636338,40.0,0.22,29.10624919304028,40.90909090909091,0.24,13.380161378318954,46.666666666666664,0.36
8,64.75445426291287,80.0,0.56,35.23734581747456,38.23529411764706,0.36,25.728025143580552,28.26086956521739,0.25
35,3.3864985683445354,8.333333333333334,0.27,4.767707020457095,11.11111111111111,0.42,0.0,0.0,0.15
6,9.78237574896145,20.0,0.24,17.747405280050266,33.333333333333336,0.33,17.747405280050266,33.333333333333336,0.33
10,4.196114906296549,10.0,0.1,4.767707020457095,11.11111111111111,0.12,4.767707020457095,11.11111111111111,0.12
