Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.3864985683445354,8.333333333333334,0.15,2.627961710408444,6.666666666666667,0.08,2.2869567780619007,5.882352941176471,0.08
3,2.8398387225677895,7.142857142857143,0.18,0.0,0.0,0.1,0.0,0.0,0.18
3,2.5197593442434796,15.0,0.34,2.8265205879007453,16.666666666666668,0.36,11.114924776032012,33.333333333333336,0.5
15,0.0,0.0,0.22,1.3353534059549443,3.5714285714285716,0.06,0.0,0.0,0.0
4,2.1476912089159055,5.555555555555555,0.1,4.767707020457095,11.11111111111111,0.3,3.0890553181566975,7.6923076923076925,0.23
3,8.392229812593097,20.0,0.15,16.233395773754953,33.333333333333336,0.29,0.0,0.0,0.0
1,4.196114906296549,10.0,0.08,,,,,,
2,0.0,0.0,0.59,0.4504321747452186,1.25,0.06,,,
16,2.627961710408444,6.666666666666667,0.14,0.0,0.0,0.5,15.97357760615681,25.0,0.35
4,0.0,0.0,0.17,0.0,0.0,0.06,0.0,0.0,0.17
1,0.4877178495671594,1.3513513513513513,0.01,,,,,,
1,0.4945407352517106,1.36986301369863,0.01,,,,,,
24,0.0,0.0,0.03,0.0,0.0,0.12,0.0,0.0,0.03
3,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.0,0.11
3,5.4424142191183185,50.0,0.21,5.289855073152943,15.555555555555555,0.25,3.4585921141027356,20.0,0.21
15,2.627961710408444,6.666666666666667,0.18,0.5749785925016119,1.5873015873015872,0.03,3.0890553181566975,7.6923076923076925,0.22
4,0.0,0.0,0.13,0.0,0.0,0.05,2.8398387225677895,7.142857142857143,0.21
3,5.679677445135579,14.285714285714286,0.11,11.044795567078939,25.0,0.21,3.2933284838220014,8.695652173913043,0.05
1,4.196114906296549,10.0,0.1,,,,,,
2,8.29519350710986,27.272727272727273,0.48,23.643540225079384,60.0,0.9,,,
16,2.8398387225677895,7.142857142857143,0.21,0.0,0.0,0.22,0.0,0.0,0.0
4,8.116697886877475,16.666666666666668,0.25,0.5317343965184799,1.4705882352941178,0.02,0.5482271666382152,1.5151515151515151,0.02
3,7.495553473355842,18.181818181818183,0.15,3.012378646187734,8.0,0.05,21.3643503198117,40.0,0.36
1,0.0,33.333333333333336,0.29,,,,,,
1,0.0,50.0,0.67,,,,,,
1,1.123099644603982,3.0303030303030303,0.03,,,,,,
24,15.97357760615681,25.0,0.33,2.445593937240363,6.25,0.09,2.445593937240363,6.25,0.08
3,15.97357760615681,25.0,0.57,0.0,0.0,0.06,0.5749785925016119,1.5873015873015872,0.03
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,59.460355750136046,75.0,0.67
15,0.0,0.0,0.11,0.0,0.0,0.02,10.682175159905848,20.0,0.44
1,0.5943123208853887,1.639344262295082,0.01,,,,,,
1,35.73345768228022,71.64179104477611,0.45,,,,,,
35,0.5943123208853887,1.639344262295082,0.03,0.0,0.0,0.25,0.5482271666382152,1.5151515151515151,0.02
3,1.5732934811145336,4.166666666666667,0.07,0.0,0.0,0.19,0.0,0.0,0.08
1,0.5398548275054964,1.492537313432836,0.01,,,,,,
35,0.5162051047489141,1.4285714285714286,0.03,5.522397783539471,12.5,0.29,0.0,0.0,0.15
3,3.3864985683445354,8.333333333333334,0.2,0.5749785925016119,1.5873015873015872,0.04,0.0,0.0,0.0
3,5.669791110976001,22.22222222222222,0.12,12.703318703865365,40.0,0.62,0.6728248038139728,3.125,0.02
6,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,1.0885011049519644,2.9411764705882355,0.02,,,,,,
35,0.6488583831481832,1.7857142857142858,0.03,0.0,0.0,0.15,0.0,0.0,0.14
3,0.0,0.0,0.48,0.0,0.0,0.07,0.0,0.0,0.06
1,0.0,33.333333333333336,0.33,,,,,,
35,0.6044751875664687,1.6666666666666667,0.04,0.0,0.0,0.13,0.0,0.0,0.15
3,0.0,0.0,0.5,0.0,0.0,0.11,0.0,0.0,0.71
3,5.669791110976001,22.22222222222222,0.12,59.460355750136046,75.0,0.92,0.0,0.0,0.0
6,10.682175159905848,20.0,0.44,0.0,100.0,0.89,10.682175159905848,20.0,0.44
1,15.97357760615681,25.0,0.4,,,,,,
1,5.522397783539471,12.5,0.07,,,,,,
35,0.5398548275054964,1.492537313432836,0.05,3.0890553181566975,7.6923076923076925,0.32,0.0,0.0,0.27
