Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.3864985683445354,8.333333333333334,0.16,2.2869567780619007,5.882352941176471,0.08,2.2869567780619007,5.882352941176471,0.08
3,0.0,0.0,0.0,0.0,0.0,0.19,0.969094302009921,2.6315789473684212,0.06
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.07,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,3.3864985683445354,8.333333333333334,0.03,,,,,,
1,0.0018742502541161052,40.0,0.16,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.15
3,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
3,0.0,0.0,0.0,9.652434877402245,33.333333333333336,0.47,0.0,0.0,0.05
6,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.55
1,10.682175159905848,20.0,0.22,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.0,0.5657759656209534,1.5625,0.03,0.0,0.0,0.13
3,0.0,100.0,1.0,0.0,0.0,0.25,10.682175159905848,20.0,0.18
1,0.0,66.66666666666667,0.67,,,,,,
15,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4
1,1.3353534059549443,3.5714285714285716,0.03,,,,,,
35,0.0,0.0,0.08,0.0,0.0,0.33,0.0,0.0,0.17
3,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0,0.0
1,0.0,33.333333333333336,0.57,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01
1,10.682175159905848,20.0,0.14,,,,,,
8,27.72481094786467,89.1891891891892,0.5,3.983165397279829,89.28571428571429,0.25,2.6904890405397714,46.15384615384615,0.28
1,0.5684410696357918,40.0,0.21,,,,,,
9,15.97357760615681,25.0,0.62,6.567274736060395,14.285714285714286,0.38,3.7477767366779213,9.090909090909092,0.19
2,7.885458073848322,50.0,0.16,0.005735031598614276,85.71428571428571,0.19,,,
8,6.80023602568096,44.44444444444444,0.15,1.373998571127029,66.66666666666667,0.13,8.398282103312004,80.76923076923077,0.3
35,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.15
3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02
1,29.84745896009822,44.44444444444444,0.71,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.17
6,21.3643503198117,40.0,0.31,1.428863122599609,3.9215686274509802,0.03,3.8292061380205022,10.0,0.04
1,0.7144315612998046,1.9607843137254901,0.01,,,,,,
1,1.0559717178170818,2.857142857142857,0.01,,,,,,
8,26.89536306891602,70.58823529411765,0.22,13.632979936407994,56.25,0.28,28.264193014771305,75.86206896551724,0.37
2,21.603616479947576,70.0,0.3,21.911792489619657,47.05882352941177,0.25,,,
11,1.0885011049519644,2.9411764705882355,0.02,3.0890553181566975,7.6923076923076925,0.09,0.918708060432945,2.5,0.02
4,0.918708060432945,2.5,0.02,1.387819277861591,3.7037037037037037,0.02,6.567274736060395,14.285714285714286,0.13
9,0.0,100.0,0.67,0.0,0.0,0.08,12.703318703865365,40.0,0.24
29,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0
2,0.8954307276600084,2.4390243902439024,0.02,3.7477767366779213,9.090909090909092,0.1,,,
10,0.0,0.0,0.17,3.7477767366779213,9.090909090909092,0.1,0.0,0.0,0.11
2,0.6866732953963862,1.8867924528301887,0.01,0.9964194812460634,2.7027027027027026,0.02,,,
3,0.5703548998007404,100.0,0.22,33.3618843944801,50.0,0.37,48.016264648730626,66.66666666666667,0.4
8,19.338531381761726,30.76923076923077,0.4,8.62143496484564,13.636363636363637,0.18,8.361295892194454,18.181818181818183,0.14
35,8.116697886877475,16.666666666666668,0.32,15.97357760615681,25.0,0.62,0.0,0.0,0.0
11,15.97357760615681,25.0,0.2,10.682175159905848,20.0,0.17,10.682175159905848,20.0,0.18
14,15.97357760615681,25.0,0.2,15.97357760615681,25.0,0.18,8.116697886877475,16.666666666666668,0.17
1,0.918708060432945,2.5,0.01,,,,,,
35,1.8160849415439309,4.761904761904762,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1,1.1814548520028947,30.76923076923077,0.14,,,,,,
8,0.9944649641575579,25.0,0.09,36.78794411714425,100.0,0.47,52.35750773741703,75.0,0.61
2,19.782165382607914,47.82608695652174,0.23,15.175652201123173,40.90909090909091,0.25,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,1.9146030690102511,5.0,0.03
2,5.679677445135579,14.285714285714286,0.06,2.445593937240363,6.25,0.03,,,
11,0.0,0.0,0.04,2.445593937240363,6.25,0.15,0.0,0.0,0.21
3,4.885326644211927,36.36363636363637,0.16,13.673863407073666,35.483870967741936,0.2,0.3927623392184508,75.0,0.33
8,0.0,50.0,0.22,38.05803001674947,46.15384615384615,0.46,17.7976440457712,23.076923076923077,0.19
35,15.97357760615681,25.0,0.62,15.97357760615681,25.0,0.62,0.0,33.333333333333336,0.5
11,15.97357760615681,25.0,0.2,10.682175159905848,20.0,0.29,10.682175159905848,20.0,0.18
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.97357760615681,25.0,0.2,,,,,,
35,5.522397783539471,12.5,0.08,0.0,0.0,0.0,0.0,0.0,0.0
1,9.802998667062514,71.42857142857143,0.53,,,,,,
8,3.199805213077364,60.0,0.19,32.43466207565265,56.0,0.5,42.55976564088323,54.54545454545455,0.29
2,7.209140348761813,41.666666666666664,0.21,10.014525608798039,83.33333333333333,0.41,,,
11,0.0,0.0,0.08,2.8398387225677895,7.142857142857143,0.08,0.0,0.0,0.0
2,11.044795567078939,25.0,0.21,6.178110636313396,15.384615384615385,0.11,,,
11,0.0,0.0,0.0,4.02724819242185,16.666666666666668,0.13,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.522397783539471,12.5,0.15,0.0,0.0,0.0,,,
3,6.754312828675707,28.571428571428573,0.04,3.482270899863668,12.5,0.11,16.70067963244422,75.0,0.6
8,7.495553473355845,25.0,0.17,4.065425428798724,23.076923076923077,0.09,2.3901021968803136,14.285714285714286,0.05
35,8.116697886877475,16.666666666666668,0.5,6.567274736060395,14.285714285714286,0.21,0.0,33.333333333333336,0.5
11,0.0,0.0,0.0,10.682175159905848,20.0,0.18,10.682175159905848,20.0,0.18
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9964194812460634,2.7027027027027026,0.01,,,,,,
35,4.767707020457095,11.11111111111111,0.1,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1476912089159055,5.555555555555555,0.07,,,,,,
