Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03
3,0.0,100.0,1.0,0.0,0.0,0.11,1.2414943415352928,3.3333333333333335,0.12
3,9.652434877402245,33.333333333333336,0.56,12.703318703865365,40.0,0.43,1.1524538390587937,5.2631578947368425,0.11
15,0.9964194812460634,2.7027027027027026,0.06,0.0,0.0,0.02,8.116697886877475,16.666666666666668,0.36
4,0.969094302009921,2.6315789473684212,0.02,1.199348129252962,3.225806451612903,0.02,8.116697886877475,16.666666666666668,0.11
1,1.5732934811145336,4.166666666666667,0.03,,,,,,
1,1.5732934811145336,4.166666666666667,0.03,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.05
3,0.7772751558853214,2.127659574468085,0.05,0.0,0.0,0.12,1.5732934811145336,4.166666666666667,0.04
3,18.99589214128981,50.0,0.29,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.09,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,10.682175159905848,20.0,0.13,,,,,,
1,5.78083904183164,28.571428571428573,0.39,,,,,,
35,0.9964194812460634,2.7027027027027026,0.06,6.567274736060395,14.285714285714286,0.26,0.0,0.0,0.04
3,0.0,0.0,0.33,0.0,0.0,0.01,0.6609918289641935,1.8181818181818181,0.01
1,0.0,100.0,0.89,,,,,,
15,0.0,0.0,0.67,10.682175159905848,20.0,0.43,0.0,0.0,0.67
1,0.5844855918911488,1.6129032258064515,0.01,,,,,,
35,0.0,0.0,0.17,0.0,0.0,0.27,0.0,0.0,0.09
6,36.06452879987789,75.0,0.43,54.75182535069452,80.0,0.84,54.75182535069452,80.0,0.84
14,10.682175159905848,20.0,0.71,15.97357760615681,25.0,0.77,10.682175159905848,20.0,0.71
6,0.0,100.0,1.0,24.446151121745054,42.857142857142854,0.43,24.446151121745054,42.857142857142854,0.43
14,15.97357760615681,25.0,0.4,6.567274736060395,14.285714285714286,0.12,0.0,0.0,0.05
1,0.0,50.0,0.67,,,,,,
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,10.682175159905848,20.0,0.7,0.0,33.333333333333336,0.4,1.727223799216787,4.545454545454546,0.26
9,0.0,50.0,0.67,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,50.0,0.4,,,,,,
35,0.0,50.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
24,6.567274736060395,14.285714285714286,0.29,3.3864985683445354,8.333333333333334,0.14,0.0,0.0,0.08
3,0.0,0.0,0.83,0.0,0.0,0.1,0.0,0.0,0.67
3,18.99589214128981,50.0,0.6,1.3794462224541233,6.25,0.14,1.3794462224541233,6.25,0.14
15,0.9432284668356838,2.5641025641025643,0.06,0.0,100.0,1.0,1.286713095960916,3.4482758620689653,0.09
4,1.0885011049519644,2.9411764705882355,0.02,0.0,0.0,0.0,0.0,0.0,0.01
1,1.3353534059549443,3.5714285714285716,0.02,,,,,,
1,48.950961379857205,67.85714285714286,0.2,,,,,,
35,46.61617174759079,62.96296296296296,0.16,0.5043168262742234,75.0,0.22,1.0356305364183098,80.0,0.36
9,7.11586419732111,42.857142857142854,0.21,4.784824825520546,75.0,0.23,5.830425236335824,60.0,0.22
29,10.682175159905848,20.0,0.17,10.682175159905848,20.0,0.17,5.522397783539471,12.5,0.12
4,0.0,0.0,0.0,3.8292061380205022,10.0,0.09,4.196114906296549,10.0,0.1
9,0.0,0.0,0.67,2.0244462660665508,5.2631578947368425,0.15,0.0,0.0,0.0
1,16.451929399933107,26.666666666666668,0.35,,,,,,
8,2.8398387225677895,7.142857142857143,0.06,10.682175159905848,20.0,0.13,3.3864985683445354,8.333333333333334,0.07
4,0.0,0.0,0.0,4.5739135561238005,11.764705882352942,0.11,6.772997136689072,16.666666666666668,0.14
9,0.0,100.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,15.619699684601276,50.0,0.31,1.9011755113058346,11.538461538461538,0.2,,,
12,8.116697886877475,16.666666666666668,0.13,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25
11,10.682175159905848,20.0,0.12,0.0,33.333333333333336,0.25,10.682175159905848,20.0,0.2
14,10.682175159905848,20.0,0.24,0.0,0.0,0.0,5.522397783539471,12.5,0.32
2,8.116697886877475,16.666666666666668,0.11,10.682175159905848,20.0,0.15,,,
10,0.0,33.333333333333336,0.5,6.567274736060395,14.285714285714286,0.33,0.0,100.0,1.0
2,8.392229812593097,20.0,0.09,6.567274736060395,14.285714285714286,0.09,,,
12,0.0,50.0,0.67,0.0,100.0,0.67,0.0,100.0,1.0
1,0.0,33.333333333333336,0.2,,,,,,
35,0.0,33.333333333333336,0.5,0.0,0.0,0.0,0.0,0.0,0.0
