Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.18,0.0,0.0,0.2,0.0,0.0,0.16
17,0.0,0.0,0.06,0.0,0.0,0.17,0.0,50.0,0.5
3,0.0,0.0,0.24,0.0,0.0,0.1,0.0,0.0,0.12
1,15.97357760615681,25.0,0.1,,,,,,
24,0.0,0.0,0.26,0.0,0.0,0.17,0.0,0.0,0.17
2,0.0,0.0,0.09,0.0,0.0,0.16,,,
1,15.911783110981515,53.57142857142857,0.36,,,,,,
15,1.199348129252962,3.225806451612903,0.07,0.0,0.0,0.2,0.0,0.0,0.17
1,9.325518508158757,58.333333333333336,0.3,,,,,,
15,0.0,0.0,0.36,3.3864985683445354,8.333333333333334,0.19,0.8954307276600084,2.4390243902439024,0.05
2,15.97357760615681,25.0,0.8,1.9146030690102511,5.0,0.12,,,
4,1.5732934811145336,4.166666666666667,0.02,4.196114906296549,10.0,0.05,2.0244462660665508,5.2631578947368425,0.02
2,0.679364123713465,4.285714285714286,0.05,0.0,0.0,0.05,,,
1,2.1476912089159055,5.555555555555555,0.02,,,,,,
17,5.255923420816887,13.333333333333334,0.24,9.535414040914192,22.22222222222222,0.35,5.679677445135579,14.285714285714286,0.26
1,0.0,0.0,0.0,,,,,,
4,1.387819277861591,3.7037037037037037,0.08,1.9146030690102511,5.0,0.11,2.627961710408444,6.666666666666667,0.19
1,2.445593937240363,6.25,0.03,,,,,,
17,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.15,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.5,,,,,,
17,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.31
1,0.0,0.0,0.0,,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.5,,,,,,
24,0.0,0.0,0.11,0.0,0.0,0.41,0.0,0.0,0.35
17,1.8160849415439309,4.761904761904762,0.13,0.0,0.0,0.62,0.0,0.0,0.44
2,5.522397783539471,12.5,0.44,1.286713095960916,3.4482758620689653,0.1,,,
3,0.0,0.0,0.3,0.0,0.0,0.08,0.0,0.0,0.04
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.18,0.0,0.0,0.06,0.0,0.0,0.06
19,0.0,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0.08
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.18,0.0,0.0,0.14,0.0,0.0,0.02
1,15.97357760615681,25.0,0.1,,,,,,
24,0.0,0.0,0.16,0.8321783954793125,2.272727272727273,0.06,0.0,0.0,0.08
19,0.0,0.0,0.13,0.0,0.0,0.04,0.0,0.0,0.17
1,1.199348129252962,3.225806451612903,0.07,,,,,,
3,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.12,0.0,0.0,0.0
2,28.117066259517458,60.0,0.67,1.8074257589192684,5.660377358490566,0.06,,,
1,5.669791110976001,22.22222222222222,0.15,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,9.652434877402245,33.333333333333336,0.2,14.535768424205482,42.857142857142854,0.32
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,4.196114906296549,10.0,0.06,5.522397783539471,12.5,0.12,,,
2,6.567274736060395,14.285714285714286,0.08,0.0,0.0,0.0,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,0.0,33.333333333333336,0.29,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.01
3,4.990049701936832,20.0,0.28,1.2944532586971997,5.882352941176471,0.08,1.2944532586971997,5.882352941176471,0.1
3,9.423716574733431,60.0,0.35,9.287528999566801,30.0,0.15,7.809849842300637,50.0,0.21
15,2.445593937240363,6.25,0.12,2.2869567780619007,5.882352941176471,0.11,4.767707020457095,11.11111111111111,0.31
4,0.0,33.333333333333336,0.14,0.8321783954793125,2.272727272727273,0.01,1.727223799216787,4.545454545454546,0.02
4,1.7466084857069586,4.761904761904762,0.04,0.0,0.0,0.14,1.4005547834201397,3.8461538461538463,0.04
1,0.0,50.0,0.67,,,,,,
1,3.3864985683445354,8.333333333333334,0.08,,,,,,
24,2.8398387225677895,7.142857142857143,0.17,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,0.0,33.333333333333336,0.12,0.5015572500202529,1.3888888888888888,0.01
2,15.97357760615681,25.0,0.22,1.921531915090591,4.285714285714286,0.07,,,
3,11.59119922599073,50.0,0.43,9.870315683072755,28.571428571428573,0.31,5.70796903405875,40.0,0.19
15,0.0,0.0,0.27,0.0,66.66666666666667,0.75,7.495553473355842,18.181818181818183,0.32
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,4.02724819242185,16.666666666666668,0.15,0.5644235767491028,2.6315789473684212,0.03,0.6050397492149123,2.816901408450704,0.04
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.13,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,5.522397783539471,12.5,0.05,3.7477767366779213,9.090909090909092,0.06
2,6.567274736060395,14.285714285714286,0.17,2.627961710408444,6.666666666666667,0.15,,,
3,18.531408785327034,72.72727272727273,0.58,16.202795457177032,52.38095238095238,0.49,35.23089031737454,64.70588235294117,0.78
15,0.0,0.0,0.27,0.0,66.66666666666667,0.75,3.6321698830878617,9.523809523809524,0.18
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,9.429254736980939,16.0,0.22,10.308675254291908,17.391304347826086,0.23,15.310245441182444,25.0,0.31
2,12.30068628846377,33.333333333333336,0.54,2.51363507845151,8.19672131147541,0.18,,,
16,3.2933284838220014,8.695652173913043,0.18,0.0,0.0,0.27,0.0,66.66666666666667,0.75
1,0.0,0.0,0.0,,,,,,
4,1.8709718017288024,8.333333333333334,0.28,0.8010354164744189,3.7037037037037037,0.09,20.556680845025987,37.5,0.69
1,0.0,50.0,0.67,,,,,,
1,0.4945407352517106,1.36986301369863,0.01,,,,,,
24,0.0,0.0,0.3,0.0,0.0,0.14,0.0,0.0,0.14
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.0,0.0,33.333333333333336,0.11,1.286713095960916,3.4482758620689653,0.03
2,15.97357760615681,25.0,0.3,4.767707020457095,11.11111111111111,0.21,,,
3,5.4424142191183185,50.0,0.27,4.767707020457095,11.11111111111111,0.15,5.70796903405875,40.0,0.29
15,0.0,0.0,0.27,3.3864985683445354,8.333333333333334,0.13,0.0,0.0,0.12
2,0.0,0.0,0.0,0.0,0.0,0.08,,,
4,51.697315395717055,62.5,0.76,0.0,0.0,0.12,44.63236137853326,55.55555555555556,0.73
