Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.7477767366779213,9.090909090909092,0.19,2.445593937240363,6.25,0.09,2.8398387225677895,7.142857142857143,0.09
3,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.21
3,17.747405280050266,50.0,0.5,0.0,66.66666666666667,0.29,0.0,66.66666666666667,0.25
15,5.522397783539471,12.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0
1,4.891187874480726,12.5,0.07,,,,,,
1,5.522397783539471,12.5,0.1,,,,,,
1,8.116697886877475,16.666666666666668,0.18,,,,,,
1,4.767707020457095,11.11111111111111,0.1,,,,,,
24,1.727223799216787,4.545454545454546,0.1,0.0,0.0,0.04,0.0,0.0,0.03
3,0.0,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.08
3,9.652434877402245,33.333333333333336,0.21,7.809849842300637,28.571428571428573,0.46,6.567274736060395,25.0,0.22
15,5.522397783539471,12.5,0.35,0.0,0.0,0.24,8.116697886877475,16.666666666666668,0.5
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.2,,,,,,
24,0.0,0.0,0.04,2.627961710408444,6.666666666666667,0.13,2.627961710408444,6.666666666666667,0.16
3,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.05
3,18.99589214128981,50.0,0.38,18.99589214128981,50.0,0.22,5.669791110976001,22.22222222222222,0.26
15,0.0,0.0,0.22,0.0,0.0,0.2,0.0,0.0,0.2
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
24,2.8398387225677895,7.142857142857143,0.15,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.08,0.0,0.0,0.25,1.2414943415352928,3.3333333333333335,0.1
3,0.0,100.0,1.0,0.0,0.0,0.05,2.3901021968803136,14.285714285714286,0.11
15,6.567274736060395,14.285714285714286,0.32,8.116697886877475,16.666666666666668,0.4,4.196114906296549,10.0,0.3
1,0.0,50.0,0.67,,,,,,
1,0.4945407352517106,1.36986301369863,0.01,,,,,,
24,0.9964194812460634,2.7027027027027026,0.06,0.0,0.0,0.02,0.0,0.0,0.03
3,0.0,0.0,0.16,0.0,0.0,0.25,0.0,0.0,0.07
3,0.0,100.0,1.0,30.213753973567677,50.0,0.44,2.6643211213888947,15.789473684210526,0.11
15,0.0,0.0,0.13,8.116697886877475,16.666666666666668,0.33,3.7477767366779213,9.090909090909092,0.19
1,0.0,50.0,0.67,,,,,,
1,4.196114906296549,10.0,0.08,,,,,,
24,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.07,0.0,0.0,0.2,0.0,0.0,0.11
3,0.0,100.0,1.0,30.213753973567677,50.0,0.55,4.990049701936832,20.0,0.21
15,8.116697886877475,16.666666666666668,0.38,8.116697886877475,16.666666666666668,0.42,8.116697886877475,16.666666666666668,0.36
1,0.0,50.0,0.67,,,,,,
1,0.5398548275054964,1.492537313432836,0.01,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.03,0.0,0.0,0.27,0.0,0.0,0.04
3,59.460355750136046,75.0,0.92,59.460355750136046,75.0,0.92,8.643019616048525,42.857142857142854,0.37
15,0.0,0.0,0.22,8.116697886877475,16.666666666666668,0.4,0.8130350574508933,2.2222222222222223,0.06
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.12,,,,,,
