Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.05
3,0.0,0.0,0.08,0.0,0.0,0.15,2.0244462660665508,5.2631578947368425,0.23
3,26.760322756637922,46.666666666666664,0.54,53.3167536340577,66.66666666666667,0.71,42.7287006396234,70.0,0.83
15,0.4945407352517106,1.36986301369863,0.04,0.0,0.0,0.11,3.3864985683445354,8.333333333333334,0.24
10,0.4945407352517106,1.36986301369863,0.03,3.3864985683445354,8.333333333333334,0.19,0.4945407352517106,1.36986301369863,0.03
4,8.116697886877475,16.666666666666668,0.15,3.3864985683445354,8.333333333333334,0.05,3.3864985683445354,8.333333333333334,0.05
4,0.0,0.0,0.08,0.4877178495671594,1.3513513513513513,0.05,3.3864985683445354,8.333333333333334,0.27
2,66.87403049764218,80.0,0.8,3.0532787431362576,5.405405405405405,0.03,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,39.76353643835252,60.0,0.46
1,0.0,50.0,0.67,,,,,,
1,0.9432284668356838,2.5641025641025643,0.02,,,,,,
24,0.0,0.0,0.12,1.0253311603116817,2.7777777777777777,0.04,0.0,0.0,0.1
3,0.0,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.2
3,0.0,66.66666666666667,0.22,53.3167536340577,66.66666666666667,0.58,66.06328636027612,80.0,0.93
15,0.0,0.0,0.17,1.727223799216787,4.545454545454546,0.08,3.3864985683445354,8.333333333333334,0.17
4,1.727223799216787,4.545454545454546,0.11,6.567274736060395,14.285714285714286,0.36,4.196114906296549,10.0,0.29
2,80.91067115702207,85.71428571428571,0.89,8.116697886877475,16.666666666666668,0.37,,,
16,4.767707020457095,11.11111111111111,0.25,0.0,0.0,0.06,1.4445809981770859,3.8461538461538463,0.07
4,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25,1.0559717178170818,2.857142857142857,0.02
4,15.97357760615681,25.0,0.73,1.387819277861591,3.7037037037037037,0.11,1.0885011049519644,2.9411764705882355,0.09
3,0.0,0.0,0.0,2.719665272174911,11.764705882352942,0.06,0.0,0.0,0.0
1,3.3864985683445354,8.333333333333334,0.05,,,,,,
1,0.8954307276600084,2.4390243902439024,0.02,,,,,,
1,9.052524251044032,39.285714285714285,0.25,,,,,,
35,0.0,0.0,0.14,0.0,0.0,0.11,0.0,0.0,0.17
3,0.0,0.0,0.17,0.0,0.0,0.01,0.0,0.0,0.01
1,0.0,33.333333333333336,0.29,,,,,,
35,1.2414943415352928,3.3333333333333335,0.2,0.0,0.0,0.4,0.0,0.0,0.22
6,2.0315766105349127,30.0,0.09,2.0315766105349127,30.0,0.09,1.1131164169159875,66.66666666666667,0.13
14,15.97357760615681,25.0,0.4,8.116697886877475,16.666666666666668,0.25,2.2869567780619007,5.882352941176471,0.05
1,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6609918289641935,1.8181818181818181,0.02,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.4829886830705856,6.666666666666667,0.05,,,,,,
14,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3733465907927724,3.7735849056603774,0.05,,,,,,
14,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0
1,1.199348129252962,3.225806451612903,0.03,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0253311603116817,2.7777777777777777,0.05,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.567274736060395,14.285714285714286,0.12,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1,8.116697886877475,16.666666666666668,0.12,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
1,15.97357760615681,25.0,0.12,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.3353534059549443,3.5714285714285716,0.04,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.1599713834969503,3.125,0.03,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,100.0,0.44,,,,,,
14,15.97357760615681,25.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,50.0,0.67,0.0,0.0,0.0,0.0,50.0,0.67
1,15.97357760615681,25.0,0.2,,,,,,
14,0.0,0.0,0.0,15.97357760615681,25.0,0.14,8.116697886877475,16.666666666666668,0.12
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.5015572500202529,1.3888888888888888,0.02,10.682175159905848,20.0,0.15,0.0,33.333333333333336,0.94
9,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2
1,0.0,33.333333333333336,0.2,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.8398387225677895,7.142857142857143,0.16,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.09,0.0,0.0,0.23,0.0,0.0,0.05
3,53.3167536340577,66.66666666666667,0.9,7.786008471963025,10.95890410958904,0.18,66.06328636027612,80.0,0.92
15,0.4562454050880755,1.2658227848101267,0.04,0.0,0.0,0.03,3.3864985683445354,8.333333333333334,0.23
10,3.0890553181566975,7.6923076923076925,0.19,3.3864985683445354,8.333333333333334,0.18,0.5015572500202529,1.3888888888888888,0.03
4,8.116697886877475,16.666666666666668,0.15,15.97357760615681,25.0,0.11,0.5015572500202529,1.3888888888888888,0.01
4,0.5162051047489141,1.4285714285714286,0.05,5.522397783539471,12.5,0.41,0.4622106633998758,1.2820512820512822,0.03
2,66.87403049764218,80.0,0.8,2.8562505929305506,5.063291139240507,0.03,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.123099644603982,3.0303030303030303,0.02,,,,,,
1,0.6403990128709852,76.81159420289855,0.07,,,,,,
35,1.0175515124016525,2.816901408450704,0.06,0.8676973368497186,2.4096385542168677,0.04,2.8398387225677895,7.142857142857143,0.04
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,10.682175159905848,20.0,0.33,8.116697886877475,16.666666666666668,0.21,0.6050397492149123,2.816901408450704,0.04
1,0.4504321747452186,1.25,0.01,,,,,,
35,1.993940575367317,7.5,0.04,1.993940575367317,7.5,0.07,4.196114906296549,10.0,0.26
6,40.016016019225006,46.666666666666664,0.58,6.947256258107605,8.860759493670885,0.11,57.067457770559976,63.63636363636363,0.74
14,24.446151121745054,42.857142857142854,0.53,6.429451441231725,13.636363636363637,0.19,6.429451441231725,13.636363636363637,0.19
1,13.134549472120788,28.571428571428573,0.52,,,,,,
14,0.0,0.0,0.22,0.0,0.0,0.21,0.0,0.0,0.21
1,2.2869567780619007,5.882352941176471,0.06,,,,,,
1,4.196114906296549,10.0,0.07,,,,,,
8,3.981379217270528,100.0,0.02,0.000721022290446633,46.42857142857143,0.04,0.053746141814763615,38.775510204081634,0.04
2,1.298909553439435,53.84615384615385,0.01,2.0475931601540878,70.37037037037037,0.04,,,
1,1.2835881446551762,51.282051282051285,0.09,,,,,,
5,0.0,0.0,0.0,1.727223799216787,4.545454545454546,0.05,0.0,0.0,0.0
9,0.0,33.333333333333336,0.55,0.43384866842485925,1.2048192771084338,0.04,4.767707020457095,11.11111111111111,0.52
