Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.06
3,0.0,100.0,1.0,0.0,0.0,0.2,3.3864985683445354,8.333333333333334,0.37
3,53.3167536340577,66.66666666666667,0.73,53.3167536340577,66.66666666666667,0.72,46.713797772819994,66.66666666666667,0.54
15,1.9146030690102511,5.0,0.12,0.0,0.0,0.27,3.3864985683445354,8.333333333333334,0.23
10,3.3864985683445354,8.333333333333334,0.19,3.3864985683445354,8.333333333333334,0.19,0.5162051047489141,1.4285714285714286,0.02
4,3.3864985683445354,8.333333333333334,0.03,3.3864985683445354,8.333333333333334,0.05,0.0,0.0,0.0
4,5.522397783539471,12.5,0.4,2.0244462660665508,5.2631578947368425,0.15,3.3864985683445354,8.333333333333334,0.27
2,0.0,0.0,0.0,0.4622106633998758,1.2820512820512822,0.01,,,
16,0.0,0.0,0.0,20.556680845025987,37.5,0.23,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,1.286713095960916,3.4482758620689653,0.02,,,,,,
24,0.0,0.0,0.12,0.0,0.0,0.05,0.0,0.0,0.05
3,0.5657759656209534,1.5625,0.02,0.0,0.0,0.02,0.0,0.0,0.04
3,66.06328636027612,80.0,0.93,53.3167536340577,66.66666666666667,0.79,66.06328636027612,80.0,0.93
15,1.727223799216787,4.545454545454546,0.08,3.0890553181566975,7.6923076923076925,0.16,15.97357760615681,25.0,0.46
4,3.3864985683445354,8.333333333333334,0.22,3.3864985683445354,8.333333333333334,0.22,4.767707020457095,11.11111111111111,0.3
2,80.91067115702207,85.71428571428571,0.89,3.3864985683445354,8.333333333333334,0.15,,,
16,5.522397783539471,12.5,0.31,2.2869567780619007,5.882352941176471,0.12,0.0,0.0,0.05
4,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25,4.196114906296549,10.0,0.08
4,2.8398387225677895,7.142857142857143,0.15,4.196114906296549,10.0,0.29,1.2414943415352928,3.3333333333333335,0.1
3,0.0,0.0,0.0,4.02724819242185,16.666666666666668,0.14,0.0,0.0,0.0
1,3.3864985683445354,8.333333333333334,0.06,,,,,,
1,0.0,50.0,0.67,,,,,,
1,1.0664825106741573,28.571428571428573,0.01,,,,,,
35,0.0,0.0,0.14,1.0885011049519644,2.9411764705882355,0.05,0.0,0.0,0.17
3,0.0,0.0,0.08,0.0,0.0,0.11,0.0,0.0,0.27
1,0.0,33.333333333333336,0.15,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.11
3,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.12
1,0.0,0.0,0.0,,,,,,
35,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.21
3,0.0,0.0,0.2,0.0,0.0,0.08,0.0,0.0,0.07
1,0.0,33.333333333333336,0.17,,,,,,
35,0.0,0.0,0.04,0.0,33.333333333333336,0.55,0.0,0.0,0.17
3,0.0,0.0,0.06,2.908317710573757,12.5,0.25,10.682175159905848,20.0,0.05
1,2.445593937240363,6.25,0.02,,,,,,
35,0.0,0.0,0.07,0.0,33.333333333333336,0.32,0.0,0.0,0.17
3,0.0,50.0,0.71,10.682175159905848,20.0,0.37,0.0,33.333333333333336,0.63
1,0.8954307276600084,2.4390243902439024,0.02,,,,,,
35,0.0,0.0,0.05,0.0,0.0,0.19,0.0,0.0,0.15
3,0.0,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0.11
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
35,0.0,0.0,0.11,1.0885011049519644,2.9411764705882355,0.06,0.0,0.0,0.15
3,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.3
3,0.0,0.0,0.0,12.703318703865365,40.0,0.17,0.9044512123285878,4.166666666666667,0.02
6,0.0,50.0,0.86,8.116697886877475,16.666666666666668,0.35,0.0,0.0,0.12
1,10.682175159905848,20.0,0.2,,,,,,
1,1.727223799216787,4.545454545454546,0.04,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.14
3,23.643540225079384,60.0,0.56,4.767707020457095,11.11111111111111,0.39,12.703318703865365,40.0,0.3
1,15.97357760615681,25.0,0.14,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.12
6,2.4074859035470344,10.526315789473685,0.22,2.1476912089159055,5.555555555555555,0.16,2.1476912089159055,5.555555555555555,0.16
14,2.1476912089159055,5.555555555555555,0.08,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.08
1,0.0,100.0,0.95,,,,,,
14,0.0,50.0,0.22,0.0,50.0,0.22,0.0,0.0,0.0
9,0.0,100.0,1.0,0.0,100.0,1.0,0.0,50.0,0.93
1,0.0,50.0,0.67,,,,,,
1,3.3864985683445354,8.333333333333334,0.08,,,,,,
35,3.3864985683445354,8.333333333333334,0.46,0.0,0.0,0.25,0.0,0.0,0.17
6,3.674832241731779,10.0,0.17,2.6034088400447795,8.219178082191782,0.12,19.64073254502565,50.0,0.44
14,2.8398387225677895,7.142857142857143,0.1,3.0890553181566975,7.6923076923076925,0.05,2.8398387225677895,7.142857142857143,0.1
1,21.3643503198117,40.0,0.32,,,,,,
14,0.0,50.0,0.29,0.0,50.0,0.29,1.387819277861591,3.7037037037037037,0.02
9,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15
1,1.4445809981770859,3.8461538461538463,0.02,,,,,,
1,0.4877178495671594,1.3513513513513513,0.01,,,,,,
35,0.4877178495671594,1.3513513513513513,0.08,0.4945407352517106,1.36986301369863,0.08,0.0,0.0,0.08
6,4.0928797123286795,6.593406593406593,0.08,5.196173363411874,8.333333333333334,0.1,5.196173363411874,8.333333333333334,0.1
