Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.22,8.116697886877475,16.666666666666668,0.25,15.97357760615681,25.0,0.3
3,0.0,0.0,0.0,0.0,0.0,0.1,1.0885011049519644,2.9411764705882355,0.07
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,3.673526562988939,15.384615384615385,0.22
15,0.0,0.0,0.22,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,2.18114053094437,13.513513513513514,0.14,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.27
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4.767707020457095,11.11111111111111,0.1,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.05
1,6.567274736060395,14.285714285714286,0.11,,,,,,
14,0.0,66.66666666666667,0.31,3.0890553181566975,7.6923076923076925,0.09,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.97357760615681,25.0,0.33,3.3864985683445354,8.333333333333334,0.04,,,
1,0.0,0.0,0.0,,,,,,
1,2.8398387225677895,7.142857142857143,0.04,,,,,,
35,10.682175159905848,20.0,0.39,0.0,0.0,0.0,0.0,33.333333333333336,0.94
9,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2
1,0.0,50.0,0.5,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
