Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.12,2.908317710573757,12.5,0.29,1.6504045595709425,7.407407407407407,0.19
17,2.908317710573757,12.5,0.16,0.0,0.0,0.29,0.0,0.0,0.14
1,2.2731543567022867,13.636363636363637,0.07,,,,,,
1,0.0,0.0,0.0,,,,,,
2,4.891187874480726,12.5,0.11,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,8.116697886877475,16.666666666666668,0.07,,,,,,
3,0.0,50.0,0.93,0.0,0.0,0.12,0.0,0.0,0.07
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.36,0.0,0.0,0.45,0.0,0.0,0.34
1,0.0,0.0,0.1,,,,,,
3,0.0,0.0,0.31,6.837203339116283,23.076923076923077,0.31,0.6149917424924614,1.694915254237288,0.04
3,4.368583925857938,30.76923076923077,0.26,8.562365224473284,26.31578947368421,0.22,15.911783110981522,43.75,0.34
15,0.0,0.0,0.5,5.522397783539471,12.5,0.24,0.0,0.0,0.17
4,0.0,0.0,0.08,0.0,0.0,0.13,0.0,0.0,0.22
2,68.037493331712,75.0,0.71,100.00000000000004,100.0,0.92,,,
16,5.522397783539471,12.5,0.31,0.0,0.0,0.22,0.0,0.0,0.29
4,3.0890553181566975,7.6923076923076925,0.04,15.97357760615681,25.0,0.25,1.2414943415352928,3.3333333333333335,0.03
4,15.97357760615681,25.0,0.73,0.0,0.0,0.08,6.567274736060395,14.285714285714286,0.57
3,8.392229812593097,20.0,0.15,4.456882760699063,18.181818181818183,0.12,5.255923420816887,13.333333333333334,0.07
1,1.506189323093867,4.0,0.02,,,,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.03
3,1.727223799216787,4.545454545454546,0.2,6.567274736060395,14.285714285714286,0.21,5.522397783539471,12.5,0.24
3,9.980099403873663,40.0,0.4,11.044795567078939,60.0,0.57,6.150343144231885,31.25,0.31
15,1.5732934811145336,4.166666666666667,0.09,0.0,0.0,0.07,2.627961710408444,6.666666666666667,0.1
4,2.627961710408444,6.666666666666667,0.02,10.682175159905848,20.0,0.17,3.0890553181566975,7.6923076923076925,0.04
4,0.0,0.0,0.84,4.990049701936832,20.0,0.39,15.619699684601283,30.0,0.44
1,0.0,50.0,0.67,,,,,,
1,3.0890553181566975,7.6923076923076925,0.04,,,,,,
24,1.199348129252962,3.225806451612903,0.08,1.506189323093867,4.0,0.07,1.506189323093867,4.0,0.08
3,2.8398387225677895,7.142857142857143,0.05,10.682175159905848,20.0,0.06,1.387819277861591,3.7037037037037037,0.02
2,10.682175159905848,20.0,0.23,1.229983484984923,3.389830508474576,0.05,,,
1,8.116697886877475,16.666666666666668,0.13,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.02,1.286713095960916,3.4482758620689653,0.05
3,0.0,0.0,0.25,0.0,0.0,0.08,0.0,0.0,0.03
3,53.3167536340577,66.66666666666667,0.79,1.2350387043213578,9.523809523809524,0.16,4.9323515694897075,27.272727272727273,0.2
15,0.0,0.0,0.5,0.7144315612998046,1.9607843137254901,0.04,3.3864985683445354,8.333333333333334,0.17
4,4.196114906296549,10.0,0.28,4.196114906296549,10.0,0.22,0.7445292335166879,2.0408163265306123,0.05
2,58.73949094699213,66.66666666666667,0.69,11.031958317774526,14.634146341463415,0.17,,,
16,1.0253311603116817,2.7777777777777777,0.07,2.1476912089159055,5.555555555555555,0.13,2.0244462660665508,5.2631578947368425,0.18
4,8.116697886877475,16.666666666666668,0.06,0.7605497822189857,2.0833333333333335,0.01,0.8321783954793125,2.272727272727273,0.01
4,0.8130350574508933,2.2222222222222223,0.05,0.8321783954793125,2.272727272727273,0.06,0.918708060432945,2.5,0.06
3,0.0,0.0,0.0,6.567274736060395,25.0,0.14,5.255923420816887,13.333333333333334,0.08
1,0.0,50.0,0.33,,,,,,
1,1.199348129252962,3.225806451612903,0.02,,,,,,
1,28.873193866886776,55.55555555555556,0.28,,,,,,
8,29.29432353657704,42.22222222222222,0.34,54.26924329239607,76.0,0.74,34.448472343830105,47.36842105263158,0.46
2,43.3214017829937,60.0,0.55,40.21461276856064,60.714285714285715,0.53,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.6866732953963862,1.8867924528301887,0.01
9,9.652434877402245,33.333333333333336,0.13,31.702331385234313,41.666666666666664,0.67,10.189882572207866,14.705882352941176,0.27
6,100.00000000000004,100.0,0.96,6.990006728332349,14.285714285714286,0.2,8.600383785890305,12.5,0.16
14,6.567274736060395,14.285714285714286,0.29,1.1599713834969503,3.125,0.07,0.0,0.0,0.04
1,2.1119434356341635,5.714285714285714,0.1,,,,,,
14,0.8954307276600084,2.4390243902439024,0.06,10.682175159905848,20.0,0.5,10.682175159905848,20.0,0.67
1,1.199348129252962,3.225806451612903,0.02,,,,,,
3,5.517784889816492,22.580645161290324,0.15,6.384875295507791,25.925925925925927,0.17,0.0,33.333333333333336,0.13
8,3.5196860857436087,11.363636363636363,0.08,4.33662281769497,13.88888888888889,0.08,4.214341303207767,13.513513513513514,0.08
35,0.0,0.0,0.19,0.0,0.0,0.07,0.0,0.0,0.31
6,1.2413584734794654,7.6923076923076925,0.03,1.633898440122165,10.0,0.04,7.809849842300637,28.571428571428573,0.18
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.682175159905848,20.0,0.22,,,,,,
1,10.682175159905848,20.0,0.22,,,,,,
35,0.0,50.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
8,0.99090323107326,25.0,0.17,6.878881267815024,76.19047619047619,0.28,6.878881267815024,76.19047619047619,0.29
1,4.1517143015562175,62.5,0.17,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
3,0.0,100.0,1.0,8.116697886877475,16.666666666666668,0.4,0.0,0.0,0.2
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,100.0,1.0,8.116697886877475,16.666666666666668,0.11,0.0,0.0,0.0
2,18.660390170522906,61.904761904761905,0.37,0.0,100.0,0.13,,,
8,14.977184237960273,66.66666666666667,0.43,6.703084558950244,43.24324324324324,0.22,5.901338589652045,41.30434782608695,0.18
35,0.0,0.0,0.32,0.0,0.0,0.1,0.0,0.0,0.29
6,14.535768424205482,42.857142857142854,0.48,9.688464563433238,25.0,0.42,9.688464563433238,25.0,0.42
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8.29519350710986,27.272727272727273,0.27,0.0,0.0,0.03,12.22307556087252,37.5,0.4
3,15.97357760615681,25.0,0.73,3.3864985683445354,8.333333333333334,0.22,0.8954307276600084,2.4390243902439024,0.04
1,2.1476912089159055,5.555555555555555,0.02,,,,,,
1,0.0,33.333333333333336,0.17,,,,,,
8,1.9465021179907565,13.698630136986301,0.08,11.07639759406729,36.666666666666664,0.31,11.48282411461003,28.94736842105263,0.24
2,12.03921753741131,47.05882352941177,0.21,5.464223296249538,25.0,0.14,,,
11,0.0,100.0,1.0,10.682175159905848,20.0,0.57,0.0,0.0,0.05
2,6.567274736060395,14.285714285714286,0.12,0.0,66.66666666666667,0.67,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.22
3,7.561318691530973,33.333333333333336,0.19,6.321018519493676,23.333333333333332,0.14,10.307386760781874,36.8421052631579,0.15
8,13.06511329838856,50.0,0.24,10.123734869668828,35.294117647058826,0.21,2.5045361270148,9.375,0.08
35,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.15
6,9.042266054940777,50.0,0.33,13.065113298388567,38.46153846153846,0.27,0.0,0.0,0.0
14,4.891187874480726,12.5,0.11,6.567274736060395,14.285714285714286,0.2,0.0,100.0,1.0
1,2.8398387225677895,7.142857142857143,0.06,,,,,,
14,3.3864985683445354,8.333333333333334,0.21,6.567274736060395,14.285714285714286,0.52,8.116697886877475,16.666666666666668,0.24
1,10.682175159905848,20.0,0.33,,,,,,
1,5.522397783539471,12.5,0.11,,,,,,
35,2.0244462660665508,5.2631578947368425,0.02,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.31
6,0.0,66.66666666666667,0.36,0.0,0.0,0.0,39.76353643835252,60.0,0.55
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.522397783539471,12.5,0.08,,,,,,
1,1.8160849415439309,4.761904761904762,0.02,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.13,0.0,0.0,0.03,0.0,0.0,0.03
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.11,0.0,0.0,0.18,8.116697886877475,16.666666666666668,0.28
3,2.159701133933343,9.523809523809524,0.1,2.862999365766888,25.0,0.16,4.750133160738243,15.151515151515152,0.14
15,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1
4,0.0,0.0,0.15,0.0,0.0,0.26,0.0,0.0,0.01
2,51.697315395717055,60.0,0.67,8.745825313180626,20.0,0.38,,,
16,0.0,0.0,0.21,0.0,0.0,0.2,0.0,0.0,0.0
4,3.0890553181566975,7.6923076923076925,0.04,3.7477767366779213,9.090909090909092,0.05,1.5732934811145336,4.166666666666667,0.02
4,2.445593937240363,6.25,0.16,2.627961710408444,6.666666666666667,0.19,1.506189323093867,4.0,0.12
3,0.0,0.0,0.0,2.4074859035470344,10.526315789473685,0.05,0.8571778493352961,2.380952380952381,0.01
1,2.445593937240363,6.25,0.04,,,,,,
1,0.0,50.0,0.67,,,,,,
1,6.484611558007058,45.23809523809524,0.2,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.05
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.116697886877475,16.666666666666668,0.08,6.567274736060395,14.285714285714286,0.1,0.0,0.0,0.0
2,0.6044751875664687,1.6666666666666667,0.05,2.627961710408444,6.666666666666667,0.14,,,
1,75.98356856515926,83.33333333333333,0.89,,,,,,
15,15.97357760615681,25.0,0.73,0.0,0.0,0.0,0.0,0.0,0.3
6,59.460355750136046,75.0,0.6,12.605968092174914,25.0,0.16,12.605968092174914,25.0,0.16
10,0.7947529289544674,2.1739130434782608,0.01,0.0,0.0,0.0,1.8160849415439309,4.761904761904762,0.02
1,0.0,33.333333333333336,0.5,,,,,,
1,15.97357760615681,25.0,0.29,,,,,,
8,7.372863328844016,22.972972972972972,0.27,50.11389350673568,58.8235294117647,0.72,16.36151537440224,24.65753424657534,0.35
2,28.74560662474439,42.10526315789474,0.5,3.435812002459847,15.384615384615385,0.21,,,
11,1.0559717178170818,2.857142857142857,0.06,0.8954307276600084,2.4390243902439024,0.05,0.7605497822189857,2.0833333333333335,0.04
4,0.0,0.0,0.0,1.2414943415352928,3.3333333333333335,0.02,6.567274736060395,14.285714285714286,0.13
9,0.8130350574508933,2.2222222222222223,0.01,8.116697886877475,16.666666666666668,0.14,5.522397783539471,12.5,0.12
3,17.170827044759754,28.94736842105263,0.38,17.200767571780613,30.0,0.42,2.2731543567022867,13.636363636363637,0.16
8,38.30925177304675,50.0,0.7,21.997327371895107,36.666666666666664,0.61,15.865624349792105,26.829268292682926,0.4
35,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.3
6,6.162847850080654,9.876543209876543,0.15,33.11822752222955,42.857142857142854,0.57,33.11822752222955,42.857142857142854,0.57
14,1.8160849415439309,4.761904761904762,0.19,1.2414943415352928,3.3333333333333335,0.16,1.0559717178170818,2.857142857142857,0.09
1,3.2933284838220014,8.695652173913043,0.07,,,,,,
