Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,1.727223799216787,4.545454545454546,0.09,2.445593937240363,6.25,0.07,2.627961710408444,6.666666666666667,0.1
3,0.0,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.06
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.05,0.0,0.0,0.05,10.682175159905848,20.0,0.44
1,3.7477767366779213,9.090909090909092,0.04,,,,,,
1,22.407508680204366,47.05882352941177,0.59,,,,,,
35,0.0,0.0,0.2,0.0,0.0,0.06,0.0,0.0,0.27
6,4.480836160121357,15.789473684210526,0.15,6.437165254072419,18.75,0.13,0.0,0.0,0.0
14,1.4445809981770859,3.8461538461538463,0.02,4.767707020457095,11.11111111111111,0.07,5.522397783539471,12.5,0.11
1,0.0,0.0,0.0,,,,,,
1,4.196114906296549,10.0,0.04,,,,,,
35,10.682175159905848,20.0,0.64,2.8398387225677895,7.142857142857143,0.17,0.0,33.333333333333336,0.94
9,0.0,0.0,0.0,0.0,33.333333333333336,0.2,0.0,33.333333333333336,0.2
1,0.0,33.333333333333336,0.5,,,,,,
35,0.0,50.0,0.67,1.387819277861591,3.7037037037037037,0.03,0.0,0.0,0.0
