Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.3864985683445354,8.333333333333334,0.15,2.445593937240363,6.25,0.11,0.0,0.0,0.05
3,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.08,2.445593937240363,6.25,0.04
2,0.0,0.0,0.27,0.0,0.0,0.28,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,5.669791110976001,22.22222222222222,0.17
6,0.0,0.0,0.75,0.0,0.0,0.17,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
24,0.0,0.0,0.13,1.4445809981770859,3.8461538461538463,0.05,1.199348129252962,3.225806451612903,0.05
1,0.0,0.0,0.0,,,,,,
3,0.0,66.66666666666667,0.44,5.669791110976001,22.22222222222222,0.28,6.567274736060395,14.285714285714286,0.4
3,20.27188766080585,58.333333333333336,0.62,21.27988282044162,45.45454545454545,0.35,7.768562846380172,50.0,0.41
15,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
4,6.567274736060395,14.285714285714286,0.4,6.567274736060395,14.285714285714286,0.42,6.567274736060395,14.285714285714286,0.42
3,0.0,0.0,0.0,6.567274736060395,25.0,0.22,0.0,0.0,0.0
1,1.8160849415439309,4.761904761904762,0.04,,,,,,
2,14.991106946711685,36.36363636363637,0.37,2.2202573611681102,8.333333333333334,0.14,,,
16,0.0,66.66666666666667,0.75,0.0,0.0,0.27,0.0,66.66666666666667,0.75
1,0.0,0.0,0.0,,,,,,
4,2.908317710573757,12.5,0.21,5.32864224277779,15.789473684210526,0.3,5.7259987315337755,21.05263157894737,0.31
1,3.7477767366779213,9.090909090909092,0.08,,,,,,
1,1.2414943415352928,3.3333333333333335,0.02,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.1
3,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.05
3,39.69370650183093,81.25,0.63,0.3471019544239176,40.0,0.33,0.3471019544239176,40.0,0.33
15,0.0,0.0,0.13,2.2869567780619007,5.882352941176471,0.15,2.445593937240363,6.25,0.16
