Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.01
3,0.0,0.0,0.14,0.0,0.0,0.05,0.0,0.0,0.05
3,19.64073254502565,50.0,0.53,4.990049701936832,20.0,0.18,7.267884212102741,37.5,0.17
15,0.0,0.0,0.22,0.5657759656209534,1.5625,0.04,6.567274736060395,14.285714285714286,0.3
4,5.522397783539471,12.5,0.08,4.767707020457095,11.11111111111111,0.08,4.196114906296549,10.0,0.06
4,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.06
1,0.0,50.0,0.67,,,,,,
1,0.5238546714708301,1.4492753623188406,0.01,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.02
3,0.0,0.0,0.13,0.0,0.0,0.18,0.0,0.0,0.07
3,4.990049701936832,20.0,0.2,4.990049701936832,20.0,0.12,2.5540496664715904,11.11111111111111,0.21
15,0.0,0.0,0.22,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,1.9146030690102511,5.0,0.03,,,,,,
1,12.475846123062702,43.24324324324324,0.48,,,,,,
35,0.5015572500202529,1.3888888888888888,0.03,0.0,0.0,0.1,0.0,0.0,0.15
3,0.0,0.0,0.0,0.8321783954793125,2.272727272727273,0.01,0.7445292335166879,2.0408163265306123,0.01
3,0.0,0.0,0.0,4.990049701936832,20.0,0.13,0.8327748566971627,3.8461538461538463,0.02
6,0.0,33.333333333333336,0.75,0.0,0.0,0.0,0.0,0.0,0.0
1,3.7477767366779213,9.090909090909092,0.06,,,,,,
1,1.032410209497828,2.857142857142857,0.02,,,,,,
15,3.3864985683445354,8.333333333333334,0.08,6.567274736060395,14.285714285714286,0.11,1.1599713834969503,3.125,0.01
1,4.196114906296549,10.0,0.06,,,,,,
35,4.196114906296549,10.0,0.35,0.0,0.0,0.25,0.0,0.0,0.38
6,59.460355750136046,75.0,0.86,1.8670064559469357,4.166666666666667,0.03,59.460355750136046,75.0,0.86
14,0.0,100.0,1.0,10.682175159905848,20.0,0.33,0.0,33.333333333333336,0.5
1,2.0244462660665508,5.2631578947368425,0.03,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.15
6,59.460355750136046,75.0,0.86,15.97357760615681,25.0,0.17,59.460355750136046,75.0,0.86
14,0.5238546714708301,1.4492753623188406,0.01,0.0,50.0,0.67,6.567274736060395,14.285714285714286,0.04
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.5238546714708301,1.4492753623188406,0.06,6.567274736060395,14.285714285714286,0.29,0.0,33.333333333333336,0.94
9,0.5087757562008263,1.408450704225352,0.01,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,50.0,0.5,,,,,,
35,0.5162051047489141,1.4285714285714286,0.01,2.2869567780619007,5.882352941176471,0.03,0.0,0.0,0.0
24,4.767707020457095,11.11111111111111,0.24,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.7,2.445593937240363,6.25,0.19,0.5162051047489141,1.4285714285714286,0.07
3,42.72870063962342,80.0,0.84,2.377249283541555,6.557377049180328,0.09,0.0,66.66666666666667,0.25
15,15.97357760615681,25.0,0.42,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.3
4,0.0,50.0,0.4,0.5943123208853887,1.639344262295082,0.01,0.5749785925016119,1.5873015873015872,0.01
4,0.5749785925016119,1.5873015873015872,0.01,0.0,0.0,0.17,0.0,0.0,0.01
1,0.5398548275054964,1.492537313432836,0.01,,,,,,
1,12.097299102379829,44.61538461538461,0.17,,,,,,
35,0.6866732953963862,1.8867924528301887,0.07,0.7291698644541256,2.0,0.04,0.0,0.0,0.15
3,0.5317343965184799,1.4705882352941178,0.01,0.5844855918911488,1.6129032258064515,0.01,0.7002773917100699,1.9230769230769231,0.01
2,0.0,0.0,0.01,0.0,0.0,0.01,,,
1,63.894310424627285,70.0,0.82,,,,,,
15,3.3864985683445354,8.333333333333334,0.07,0.5657759656209534,1.5625,0.01,0.6735878102046051,1.8518518518518519,0.01
2,0.7772751558853214,2.127659574468085,0.01,0.6488583831481832,1.7857142857142858,0.01,,,
10,8.116697886877475,16.666666666666668,0.63,10.682175159905848,20.0,0.71,0.0,0.0,0.57
6,39.76353643835252,60.0,0.6,2.033435199928181,7.5,0.05,30.213753973567677,50.0,0.55
14,1.0559717178170818,2.857142857142857,0.02,0.918708060432945,2.5,0.02,1.0559717178170818,2.857142857142857,0.02
1,15.97357760615681,25.0,0.29,,,,,,
2,1.0559717178170818,2.857142857142857,0.02,0.0,0.0,0.02,,,
10,0.0,0.0,0.12,8.116697886877475,16.666666666666668,0.14,2.445593937240363,6.25,0.07
1,1.123099644603982,3.0303030303030303,0.02,,,,,,
35,1.1599713834969503,3.125,0.08,0.0,33.333333333333336,0.57,0.0,0.0,0.15
3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02
1,1.199348129252962,3.225806451612903,0.03,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.123099644603982,3.0303030303030303,0.02,,,,,,
8,5.71168499906942,23.333333333333332,0.11,4.2800572429218295,17.77777777777778,0.08,14.653163791523628,22.641509433962263,0.2
2,5.919720809373671,24.137931034482758,0.09,3.2808945250121395,22.580645161290324,0.2,,,
11,1.9146030690102511,5.0,0.04,1.199348129252962,3.225806451612903,0.03,0.969094302009921,2.6315789473684212,0.02
9,0.5317343965184799,1.4705882352941178,0.01,1.2414943415352928,3.3333333333333335,0.03,1.199348129252962,3.225806451612903,0.03
2,21.3643503198117,40.0,0.5,1.1524538390587937,5.2631578947368425,0.03,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.3372496156461082,8.571428571428571,0.12,1.5880117714047368,7.142857142857143,0.09,1.7590773942055664,6.521739130434782,0.14
10,31.947155212313625,50.0,0.64,0.0,100.0,1.0,0.0,50.0,0.46
1,0.0,50.0,0.5,,,,,,
8,64.90023764002801,86.66666666666667,0.44,56.305484456373144,74.19354838709677,0.37,56.305484456373144,74.19354838709677,0.38
1,47.77762971426924,80.0,0.36,,,,,,
9,10.682175159905848,20.0,0.25,1.199348129252962,3.225806451612903,0.02,1.2414943415352928,3.3333333333333335,0.03
4,1.286713095960916,3.4482758620689653,0.02,0.0,50.0,0.5,1.199348129252962,3.225806451612903,0.03
9,0.0,100.0,1.0,0.0,0.0,0.2,10.682175159905848,20.0,0.18
2,51.35680961258348,80.0,0.34,45.92064719908953,75.0,0.34,,,
8,53.64487221855201,83.33333333333333,0.36,42.331456979365555,66.66666666666667,0.32,36.00565854285029,57.142857142857146,0.27
35,1.506189323093867,4.0,0.09,0.0,0.0,0.04,0.0,0.0,0.2
11,1.6466642419110007,4.3478260869565215,0.04,3.0890553181566975,7.6923076923076925,0.06,1.4445809981770859,3.8461538461538463,0.03
14,1.727223799216787,4.545454545454546,0.04,2.1476912089159055,5.555555555555555,0.05,1.199348129252962,3.225806451612903,0.03
9,1.727223799216787,4.545454545454546,0.04,1.727223799216787,4.545454545454546,0.04,2.627961710408444,6.666666666666667,0.06
1,2.0244462660665508,5.2631578947368425,0.04,,,,,,
35,2.1476912089159055,5.555555555555555,0.04,1.6466642419110007,4.3478260869565215,0.03,0.0,0.0,0.0
