Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.05
3,0.0,0.0,0.19,0.0,0.0,0.14,0.0,0.0,0.09
3,2.719665272174911,11.764705882352942,0.38,7.809849842300637,28.571428571428573,0.58,0.5496642095452601,2.5641025641025643,0.13
15,0.0,0.0,0.29,0.0,0.0,0.09,0.0,0.0,0.12
7,0.0,0.0,0.32,0.0,0.0,0.29,0.6609918289641935,1.8181818181818181,0.04
4,0.7144315612998046,1.9607843137254901,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.8321783954793125,2.272727272727273,0.02,,,,,,
24,4.767707020457095,11.11111111111111,0.3,0.0,0.0,0.03,1.727223799216787,4.545454545454546,0.16
9,0.0,50.0,0.4,0.0,0.0,0.12,0.0,0.0,0.12
3,1.0559717178170818,2.857142857142857,0.18,0.969094302009921,2.6315789473684212,0.14,0.9964194812460634,2.7027027027027026,0.15
3,7.267884212102741,37.5,0.76,1.2753998269755913,7.894736842105263,0.4,1.2753998269755913,7.894736842105263,0.4
15,0.0,0.0,0.31,0.0,50.0,0.8,5.522397783539471,12.5,0.52
7,0.0,50.0,0.4,0.8733042428534794,2.380952380952381,0.05,0.0,0.0,0.4
4,1.0253311603116817,2.7777777777777777,0.02,1.123099644603982,3.0303030303030303,0.03,1.3353534059549443,3.5714285714285716,0.03
2,0.0,0.0,0.8,0.0,0.0,0.17,,,
16,0.0,33.333333333333336,0.73,15.97357760615681,25.0,0.57,0.0,33.333333333333336,0.73
7,1.286713095960916,3.4482758620689653,0.1,0.6609918289641935,1.8181818181818181,0.04,3.0890553181566975,7.6923076923076925,0.1
4,1.286713095960916,3.4482758620689653,0.03,0.0,100.0,1.0,1.286713095960916,3.4482758620689653,0.03
1,0.0,50.0,0.67,,,,,,
1,1.3353534059549443,3.5714285714285716,0.03,,,,,,
24,1.6466642419110007,4.3478260869565215,0.06,10.682175159905848,20.0,0.21,2.2869567780619007,5.882352941176471,0.07
3,0.0,0.0,0.25,0.0,0.0,0.1,0.5398548275054964,1.492537313432836,0.03
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
