Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.0244462660665508,5.2631578947368425,0.22,0.0,0.0,0.06,0.0,0.0,0.05
9,5.522397783539471,12.5,0.23,0.0,0.0,0.12,0.0,0.0,0.12
3,0.0,100.0,1.0,0.7772751558853214,2.127659574468085,0.11,2.1476912089159055,5.555555555555555,0.19
3,3.9297193407553004,33.333333333333336,0.63,0.7719066742464611,7.142857142857143,0.19,3.211547431691929,27.77777777777778,0.37
15,0.0,0.0,0.5,0.47462176237300036,1.3157894736842106,0.03,2.1476912089159055,5.555555555555555,0.09
4,0.5317343965184799,1.4705882352941178,0.01,2.445593937240363,6.25,0.04,2.445593937240363,6.25,0.04
2,2.445593937240363,6.25,0.15,0.5317343965184799,1.4705882352941178,0.06,,,
16,2.445593937240363,6.25,0.12,0.0,0.0,0.5,1.4445809981770859,3.8461538461538463,0.06
4,0.5482271666382152,1.5151515151515151,0.02,0.0,0.0,0.0,2.445593937240363,6.25,0.04
2,10.682175159905848,20.0,0.47,0.5482271666382152,1.5151515151515151,0.06,,,
16,2.445593937240363,6.25,0.12,0.0,33.333333333333336,0.43,0.6609918289641935,1.8181818181818181,0.05
4,1.199348129252962,3.225806451612903,0.03,3.0890553181566975,7.6923076923076925,0.06,2.2869567780619007,5.882352941176471,0.04
2,3.0890553181566975,7.6923076923076925,0.13,0.5482271666382152,1.5151515151515151,0.06,,,
16,0.0,33.333333333333336,0.67,2.445593937240363,6.25,0.11,0.6866732953963862,1.8867924528301887,0.07
4,0.0,0.0,0.0,0.6149917424924614,1.694915254237288,0.01,0.5482271666382152,1.5151515151515151,0.02
1,0.6371624499564389,1.7543859649122806,0.02,,,,,,
1,0.7002773917100699,1.9230769230769231,0.03,,,,,,
24,2.1476912089159055,5.555555555555555,0.1,10.682175159905848,20.0,0.21,8.116697886877475,16.666666666666668,0.16
3,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.09
3,39.76353643835252,60.0,0.57,39.76353643835252,60.0,0.6,3.377156414337854,14.285714285714286,0.07
15,0.0,0.0,0.22,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
