Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
19,0.0,0.0,0.14,0.0,0.0,0.04,0.0,0.0,0.0
3,0.0,0.0,0.2,2.627961710408444,6.666666666666667,0.08,0.0,0.0,0.09
3,0.0,0.0,0.0,5.669791110976001,22.22222222222222,0.24,0.0,0.0,0.0
6,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.13
1,4.767707020457095,11.11111111111111,0.07,,,,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.07
19,0.0,0.0,0.06,4.767707020457095,11.11111111111111,0.22,0.0,0.0,0.06
3,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.04,2.1476912089159055,5.555555555555555,0.03
2,1.664356790958625,4.545454545454546,0.06,2.1476912089159055,5.555555555555555,0.08,,,
1,10.682175159905848,20.0,0.12,,,,,,
15,13.950796967929138,27.272727272727273,0.43,20.556680845025987,37.5,0.78,5.8564582332753705,12.5,0.24
1,3.7477767366779213,9.090909090909092,0.04,,,,,,
24,2.445593937240363,6.25,0.15,0.0,0.0,0.05,0.0,0.0,0.03
3,0.0,0.0,0.0,2.2869567780619007,5.882352941176471,0.04,3.7477767366779213,9.090909090909092,0.04
2,0.8130350574508933,2.2222222222222223,0.05,0.6609918289641935,1.8181818181818181,0.05,,,
3,15.619699684601283,57.142857142857146,0.52,1.045953676514853,6.521739130434782,0.05,1.9822566267103439,12.0,0.13
15,0.0,0.0,0.27,0.0,0.0,0.31,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,0.7605497822189857,2.0833333333333335,0.05,0.8321783954793125,2.272727272727273,0.05,0.7605497822189857,2.0833333333333335,0.05
1,0.8954307276600084,2.4390243902439024,0.01,,,,,,
1,0.9432284668356838,2.5641025641025643,0.02,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.17
3,0.0,66.66666666666667,0.25,6.178110636313396,15.384615384615385,0.24,4.456882760699063,18.181818181818183,0.26
15,0.0,0.0,0.22,0.0,0.0,0.0,5.522397783539471,12.5,0.31
4,0.0,50.0,0.4,1.123099644603982,3.0303030303030303,0.02,1.0559717178170818,2.857142857142857,0.02
4,0.0,50.0,0.86,5.522397783539471,12.5,0.24,1.0559717178170818,2.857142857142857,0.05
1,0.0,50.0,0.67,,,,,,
1,0.0,100.0,1.0,,,,,,
24,6.567274736060395,14.285714285714286,0.13,2.445593937240363,6.25,0.08,0.0,0.0,0.03
1,0.0,0.0,0.0,,,,,,
3,1.0885011049519644,2.9411764705882355,0.05,0.5015572500202529,1.3888888888888888,0.03,0.48108068600212583,1.3333333333333333,0.03
3,28.43329181530769,55.55555555555556,0.42,9.568802664841456,66.66666666666667,0.43,11.306082351602983,44.44444444444444,0.33
15,0.0,0.0,0.22,0.48108068600212583,1.3333333333333333,0.03,0.0,0.0,0.0
4,0.0,0.0,0.12,0.42858892466764814,1.1904761904761905,0.03,0.43384866842485925,1.2048192771084338,0.04
3,12.703318703865365,40.0,0.25,3.377156414337854,14.285714285714286,0.1,4.5739135561238005,11.764705882352942,0.07
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
2,15.619699684601276,50.0,0.67,9.84934946888872,25.0,0.43,,,
16,21.3643503198117,40.0,0.52,0.0,0.0,0.27,0.0,66.66666666666667,0.75
1,0.0,0.0,0.0,,,,,,
4,4.02724819242185,16.666666666666668,0.24,6.336859268415405,25.0,0.32,8.116697886877475,16.666666666666668,0.32
1,0.0,50.0,0.67,,,,,,
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
24,0.0,0.0,0.04,2.627961710408444,6.666666666666667,0.09,2.627961710408444,6.666666666666667,0.09
3,3.0890553181566975,7.6923076923076925,0.21,0.8010354164744189,3.7037037037037037,0.1,0.6138747833681335,2.857142857142857,0.08
3,7.955891555490761,43.75,0.32,4.34373789135831,22.727272727272727,0.18,13.065113298388567,38.46153846153846,0.34
15,0.0,0.0,0.44,5.522397783539471,12.5,0.24,2.0244462660665508,5.2631578947368425,0.12
4,0.0,0.0,0.08,2.445593937240363,6.25,0.17,5.522397783539471,12.5,0.31
2,68.037493331712,75.0,0.71,100.00000000000004,100.0,0.92,,,
16,2.445593937240363,6.25,0.17,8.116697886877475,16.666666666666668,0.36,0.0,0.0,0.11
4,15.97357760615681,25.0,0.25,6.567274736060395,14.285714285714286,0.18,15.97357760615681,25.0,0.25
4,15.97357760615681,25.0,0.73,2.445593937240363,6.25,0.17,2.445593937240363,6.25,0.17
