Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.12,3.0890553181566975,7.6923076923076925,0.3,0.48108068600212583,1.3333333333333333,0.08
3,17.747405280050266,50.0,0.49,0.0,66.66666666666667,0.14,2.8265205879007453,16.666666666666668,0.19
15,0.4877178495671594,1.3513513513513513,0.04,0.0,0.0,0.08,2.8398387225677895,7.142857142857143,0.18
4,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.11
3,6.178110636313396,15.384615384615385,0.1,16.233395773754953,33.333333333333336,0.27,0.9754356991343187,2.7027027027027026,0.02
1,5.522397783539471,12.5,0.08,,,,,,
2,16.233395773754953,33.333333333333336,0.83,16.233395773754953,33.333333333333336,0.83,,,
16,3.0890553181566975,7.6923076923076925,0.19,0.0,0.0,0.22,3.0890553181566975,7.6923076923076925,0.2
4,0.4945407352517106,1.36986301369863,0.04,0.5015572500202529,1.3888888888888888,0.04,3.0890553181566975,7.6923076923076925,0.19
3,6.178110636313396,15.384615384615385,0.1,0.0,0.0,0.0,1.0175515124016525,2.816901408450704,0.02
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
1,0.0,0.0,0.0,,,,,,
1,0.5317343965184799,1.4705882352941178,0.01,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.1,1.123099644603982,3.0303030303030303,0.04
3,0.0,0.0,0.12,0.0,0.0,0.08,15.97357760615681,25.0,0.57
3,4.990049701936832,20.0,0.2,1.2944532586971997,5.882352941176471,0.03,18.99589214128981,50.0,0.25
15,8.116697886877475,16.666666666666668,0.33,0.0,0.0,0.02,0.0,0.0,0.06
1,1.199348129252962,3.225806451612903,0.02,,,,,,
1,37.300690825874234,70.96774193548387,0.62,,,,,,
35,0.7144315612998046,1.9607843137254901,0.04,0.6258807799153787,1.7241379310344827,0.04,0.0,0.0,0.15
3,1.3353534059549443,3.5714285714285716,0.09,10.682175159905848,20.0,0.5,3.0890553181566975,7.6923076923076925,0.19
3,7.809849842300637,28.571428571428573,0.2,0.9044512123285878,4.166666666666667,0.03,0.8853994618255676,4.081632653061225,0.08
6,0.0,0.0,0.19,0.0,0.0,0.06,0.0,0.0,0.11
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.25,,,,,,
15,15.97357760615681,25.0,0.14,0.0,0.0,0.0,15.97357760615681,25.0,0.14
1,0.0,50.0,0.67,,,,,,
35,0.5657759656209534,1.5625,0.04,0.0,0.0,0.08,0.0,0.0,0.15
3,0.5568633223045912,1.5384615384615385,0.04,5.522397783539471,12.5,0.31,4.196114906296549,10.0,0.29
3,14.058533129758727,60.0,0.71,20.556680845025987,37.5,0.6,0.622971702540524,2.898550724637681,0.02
6,8.116697886877475,16.666666666666668,0.4,4.196114906296549,10.0,0.3,0.0,0.0,0.0
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
1,21.3643503198117,40.0,0.44,,,,,,
15,0.0,33.333333333333336,0.4,0.0,33.333333333333336,0.4,0.0,33.333333333333336,0.33
1,3.3864985683445354,8.333333333333334,0.05,,,,,,
35,0.5087757562008263,1.408450704225352,0.07,1.506189323093867,4.0,0.19,0.0,0.0,0.12
6,75.98356856515926,83.33333333333333,0.92,75.98356856515926,83.33333333333333,0.92,75.98356856515926,83.33333333333333,0.92
14,0.0,33.333333333333336,0.57,0.0,33.333333333333336,0.57,0.0,33.333333333333336,0.57
1,15.97357760615681,25.0,0.67,,,,,,
14,0.0,0.0,0.89,0.0,100.0,0.89,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,2.445593937240363,6.25,0.03,,,,,,
35,0.0,0.0,0.06,0.0,0.0,0.17,0.0,0.0,0.22
6,27.534765745159184,75.0,0.8,0.0,100.0,0.67,20.556680845025987,37.5,0.6
14,0.0,0.0,0.0,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.09
1,0.0,0.0,0.0,,,,,,
14,0.0,100.0,1.0,10.682175159905848,20.0,0.47,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.47462176237300036,1.3157894736842106,0.06,0.0,0.0,0.33,0.0,33.333333333333336,0.94
9,0.0,0.0,0.0,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,100.0,0.06,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.627961710408444,6.666666666666667,0.16,0.0,0.0,0.03,0.0,0.0,0.07
3,0.4877178495671594,1.3513513513513513,0.07,1.727223799216787,4.545454545454546,0.14,1.9146030690102511,5.0,0.15
3,24.384183193426086,63.63636363636363,0.94,6.27465531099474,33.333333333333336,0.79,12.45699390802689,35.0,0.53
15,0.0,0.0,0.22,0.4945407352517106,1.36986301369863,0.04,3.7477767366779213,9.090909090909092,0.22
4,4.196114906296549,10.0,0.25,4.196114906296549,10.0,0.26,6.567274736060395,14.285714285714286,0.3
3,7.495553473355842,18.181818181818183,0.14,4.990049701936832,20.0,0.15,6.772997136689072,16.666666666666668,0.13
1,2.8398387225677895,7.142857142857143,0.05,,,,,,
2,16.233395773754953,33.333333333333336,0.83,17.965205598154213,50.0,0.88,,,
16,15.97357760615681,25.0,0.53,0.0,0.0,0.22,1.9146030690102511,5.0,0.1
4,0.0,50.0,0.89,0.5162051047489141,1.4285714285714286,0.05,3.3864985683445354,8.333333333333334,0.2
3,11.044795567078939,25.0,0.22,16.233395773754953,33.333333333333336,0.4,0.9244213267997515,2.5641025641025643,0.02
1,0.0,33.333333333333336,0.5,,,,,,
1,0.5015572500202529,1.3888888888888888,0.01,,,,,,
1,55.59139834206191,97.29729729729729,0.37,,,,,,
35,0.4945407352517106,1.36986301369863,0.04,0.0,0.0,0.1,0.0,0.0,0.13
3,0.5568633223045912,1.5384615384615385,0.01,0.0,0.0,0.04,0.4877178495671594,1.3513513513513513,0.01
1,1.0797096550109928,2.985074626865672,0.02,,,,,,
3,0.5317343965184799,1.4705882352941178,0.01,0.5238546714708301,1.4492753623188406,0.01,0.5162051047489141,1.4285714285714286,0.01
1,0.6138747833681335,2.857142857142857,0.02,,,,,,
3,0.0,0.0,0.01,0.0,0.0,0.0,0.5398548275054964,1.492537313432836,0.01
1,0.5015572500202529,1.3888888888888888,0.01,,,,,,
