Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.7477767366779213,9.090909090909092,0.15,2.627961710408444,6.666666666666667,0.09,2.8398387225677895,7.142857142857143,0.09
3,0.0,0.0,0.15,0.0,0.0,0.06,0.0,0.0,0.04
3,17.747405280050266,50.0,0.5,12.703318703865365,40.0,0.17,3.737437943747671,21.428571428571427,0.21
15,0.0,0.0,0.22,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.38
1,11.044795567078939,25.0,0.19,,,,,,
1,15.97357760615681,25.0,0.2,,,,,,
1,0.0,0.0,0.0,,,,,,
1,4.767707020457095,11.11111111111111,0.1,,,,,,
24,0.0,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.03
3,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.11
3,18.99589214128981,50.0,0.33,2.719665272174911,11.764705882352942,0.08,0.0,66.66666666666667,0.4
15,0.0,0.0,0.13,0.0,0.0,0.23,8.116697886877475,16.666666666666668,0.5
4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1,4.196114906296549,10.0,0.06,,,,,,
1,3.7477767366779213,9.090909090909092,0.07,,,,,,
24,4.196114906296549,10.0,0.29,2.627961710408444,6.666666666666667,0.16,2.627961710408444,6.666666666666667,0.16
3,10.682175159905848,20.0,0.43,0.0,0.0,0.29,10.682175159905848,20.0,0.38
3,8.643019616048525,42.857142857142854,0.38,20.556680845025987,37.5,0.52,0.0,100.0,0.86
15,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.2
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.11,,,,,,
24,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.07
3,0.0,0.0,0.26,0.0,0.0,0.24,0.7445292335166879,2.0408163265306123,0.06
3,0.0,100.0,1.0,4.9323515694897075,27.272727272727273,0.26,4.990049701936832,20.0,0.32
15,0.0,0.0,0.22,5.522397783539471,12.5,0.33,4.767707020457095,11.11111111111111,0.27
1,0.0,50.0,0.67,,,,,,
1,1.5732934811145336,4.166666666666667,0.03,,,,,,
24,0.0,0.0,0.1,2.445593937240363,6.25,0.11,0.0,0.0,0.03
3,0.0,0.0,0.17,0.0,0.0,0.25,0.0,0.0,0.16
3,0.0,100.0,1.0,0.0,0.0,0.12,0.0,100.0,1.0
15,0.0,0.0,0.22,8.116697886877475,16.666666666666668,0.33,6.567274736060395,14.285714285714286,0.28
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.09,,,,,,
24,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.0,0.03
3,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.03
3,59.460355750136046,75.0,0.92,18.99589214128981,50.0,0.46,59.460355750136046,75.0,0.92
15,8.116697886877475,16.666666666666668,0.38,8.116697886877475,16.666666666666668,0.42,8.116697886877475,16.666666666666668,0.4
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.12,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.19
3,59.460355750136046,75.0,0.92,59.460355750136046,75.0,0.92,9.652434877402245,33.333333333333336,0.34
15,8.116697886877475,16.666666666666668,0.36,8.116697886877475,16.666666666666668,0.4,15.97357760615681,25.0,0.53
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.12,,,,,,
24,3.7477767366779213,9.090909090909092,0.14,0.0,0.0,0.05,0.0,0.0,0.03
3,0.0,0.0,0.11,0.0,0.0,0.19,0.0,0.0,0.02
3,4.990049701936832,20.0,0.2,1.1101286805840551,4.166666666666667,0.03,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.11,0.0,0.0,0.05,0.0,0.0,0.06
