Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,66.66666666666667,0.76,0.6258807799153787,1.7241379310344827,0.07,0.6735878102046051,1.8518518518518519,0.09
3,14.458924666162856,50.0,0.47,44.534504264163466,64.28571428571429,0.56,15.727800941615351,53.84615384615385,0.55
15,0.6258807799153787,1.7241379310344827,0.05,0.0,0.0,0.04,2.8398387225677895,7.142857142857143,0.17
4,1.8160849415439309,4.761904761904762,0.03,1.727223799216787,4.545454545454546,0.02,1.506189323093867,4.0,0.02
4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03
2,9.287528999566801,30.0,0.36,2.4604888314434494,5.454545454545454,0.08,,,
16,2.8398387225677895,7.142857142857143,0.19,0.0,0.0,0.22,3.7477767366779213,9.090909090909092,0.24
4,8.116697886877475,16.666666666666668,0.08,0.0,50.0,0.5,0.6488583831481832,1.7857142857142858,0.01
4,0.0,50.0,0.67,0.0,0.0,0.18,0.9432284668356838,2.5641025641025643,0.01
1,0.0,33.333333333333336,0.5,,,,,,
1,0.7144315612998046,1.9607843137254901,0.01,,,,,,
24,0.0,0.0,0.05,0.0,0.0,0.04,2.627961710408444,6.666666666666667,0.07
3,0.0,0.0,0.01,0.0,0.0,0.09,0.7144315612998046,1.9607843137254901,0.05
3,4.990049701936832,20.0,0.2,0.0,0.0,0.07,12.703318703865365,40.0,0.22
15,0.0,0.0,0.22,0.0,0.0,0.14,0.0,0.0,0.29
1,15.97357760615681,25.0,0.18,,,,,,
1,20.31178225817511,48.0,0.47,,,,,,
35,0.5238546714708301,1.4492753623188406,0.03,0.8733042428534794,2.380952380952381,0.09,0.0,0.0,0.15
3,0.47462176237300036,1.3157894736842106,0.01,5.522397783539471,12.5,0.11,0.7947529289544674,2.1739130434782608,0.02
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
6,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.4,10.682175159905848,20.0,0.43
1,15.97357760615681,25.0,0.29,,,,,,
1,2.5734261919218326,6.896551724137931,0.05,,,,,,
15,3.0890553181566975,7.6923076923076925,0.06,0.969094302009921,2.6315789473684212,0.02,3.7477767366779213,9.090909090909092,0.08
1,1.2414943415352928,3.3333333333333335,0.02,,,,,,
35,0.4945407352517106,1.36986301369863,0.04,0.4622106633998758,1.2820512820512822,0.04,0.0,0.0,0.15
3,0.8733042428534794,2.380952380952381,0.02,0.0,0.0,0.09,0.48108068600212583,1.3333333333333333,0.01
3,0.0,0.0,0.0,0.5496642095452601,2.5641025641025643,0.02,1.3794462224541233,6.25,0.04
1,0.0,0.0,0.0,,,,,,
1,8.392229812593097,20.0,0.11,,,,,,
15,2.8398387225677895,7.142857142857143,0.04,0.0,0.0,0.0,0.5015572500202529,1.3888888888888888,0.01
1,1.286713095960916,3.4482758620689653,0.03,,,,,,
35,4.464476787351278,9.67741935483871,0.21,10.571070857151538,21.428571428571427,0.53,0.0,0.0,0.32
6,75.98356856515926,83.33333333333333,0.83,4.443119077043701,6.578947368421052,0.05,17.542198478193427,45.45454545454545,0.42
