Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.01,1.727223799216787,4.545454545454546,0.1,0.0,0.0,0.07
3,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.04
3,7.305891545072536,29.62962962962963,0.37,42.46163317880343,47.36842105263158,0.42,1.3372412117892358,7.352941176470588,0.07
15,0.0,0.0,0.2,0.5087757562008263,1.408450704225352,0.04,3.7477767366779213,9.090909090909092,0.25
4,0.6258807799153787,1.7241379310344827,0.01,3.0890553181566975,7.6923076923076925,0.06,2.627961710408444,6.666666666666667,0.06
4,0.0,0.0,0.33,1.6466642419110007,4.3478260869565215,0.03,2.627961710408444,6.666666666666667,0.06
2,0.0,100.0,0.86,1.1138922336477959,5.194805194805195,0.06,,,
16,3.7477767366779213,9.090909090909092,0.25,0.0,0.0,0.0,0.5162051047489141,1.4285714285714286,0.03
4,3.7477767366779213,9.090909090909092,0.03,0.0,50.0,0.5,0.0,50.0,0.33
4,0.0,100.0,1.0,0.0,33.333333333333336,0.25,2.1476912089159055,5.555555555555555,0.04
1,0.0,0.0,0.0,,,,,,
1,2.1476912089159055,5.555555555555555,0.04,,,,,,
24,3.0890553181566975,7.6923076923076925,0.15,1.4445809981770859,3.8461538461538463,0.07,3.0890553181566975,7.6923076923076925,0.15
3,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0,0.1
3,4.02724819242185,16.666666666666668,0.11,4.456882760699063,18.181818181818183,0.12,3.1251907639724417,13.333333333333334,0.11
15,0.0,0.0,0.02,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,15.97357760615681,25.0,0.4,,,,,,
1,12.183308208242469,44.44444444444444,0.27,,,,,,
35,0.5238546714708301,1.4492753623188406,0.03,0.5015572500202529,1.3888888888888888,0.04,0.0,0.0,0.08
3,0.0,0.0,0.0,6.567274736060395,14.285714285714286,0.15,1.0559717178170818,2.857142857142857,0.02
2,0.5482271666382152,1.5151515151515151,0.01,0.0,0.0,0.01,,,
1,3.8292061380205022,10.0,0.05,,,,,,
15,0.5162051047489141,1.4285714285714286,0.01,0.7144315612998046,1.9607843137254901,0.01,8.116697886877475,16.666666666666668,0.12
1,4.767707020457095,11.11111111111111,0.07,,,,,,
35,0.6258807799153787,1.7241379310344827,0.05,5.522397783539471,12.5,0.35,0.0,0.0,0.04
3,4.767707020457095,11.11111111111111,0.07,0.0,33.333333333333336,0.17,0.6258807799153787,1.7241379310344827,0.01
2,0.0,0.0,0.01,0.0,0.0,0.02,,,
1,16.233395773754953,33.333333333333336,0.2,,,,,,
15,15.97357760615681,25.0,0.12,0.0,0.0,0.0,15.97357760615681,25.0,0.12
1,0.6149917424924614,1.694915254237288,0.01,,,,,,
35,0.0,0.0,0.02,1.5732934811145336,4.166666666666667,0.08,0.0,0.0,0.08
3,0.8130350574508933,2.2222222222222223,0.02,0.0,50.0,0.29,0.8954307276600084,2.4390243902439024,0.02
2,1.8160849415439309,4.761904761904762,0.05,1.387819277861591,3.7037037037037037,0.05,,,
1,31.947155212313625,50.0,0.33,,,,,,
15,0.0,33.333333333333336,0.22,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.09
1,5.522397783539471,12.5,0.09,,,,,,
8,13.271912451930435,22.972972972972972,0.29,12.744433611680934,22.07792207792208,0.29,13.64851402877178,23.61111111111111,0.32
2,11.443295734239337,21.05263157894737,0.29,11.144059822202156,20.512820512820515,0.29,,,
11,8.116697886877475,16.666666666666668,0.63,8.116697886877475,16.666666666666668,0.6,1.9146030690102511,5.0,0.18
6,100.00000000000004,100.0,0.92,5.132167919282154,7.575757575757576,0.06,5.859113621957262,8.620689655172415,0.06
14,0.5657759656209534,1.5625,0.01,1.9146030690102511,5.0,0.04,0.6371624499564389,1.7543859649122806,0.01
1,1.2089503751329373,3.3333333333333335,0.04,,,,,,
14,0.5162051047489141,1.4285714285714286,0.02,0.0,33.333333333333336,0.67,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
3,2.0372775155902842,12.32876712328767,0.16,2.009170404070938,12.162162162162161,0.16,3.716499092256817,26.666666666666668,0.19
10,0.0,0.0,0.02,0.0,0.0,0.15,0.0,0.0,0.15
6,5.522397783539471,12.5,0.06,3.3864985683445354,8.333333333333334,0.05,8.116697886877475,16.666666666666668,0.07
