Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.627961710408444,6.666666666666667,0.14,2.627961710408444,6.666666666666667,0.08,2.627961710408444,6.666666666666667,0.09
3,0.0,100.0,1.0,1.8160849415439309,4.761904761904762,0.18,0.4562454050880755,1.2658227848101267,0.07
3,5.604233375480572,45.45454545454545,0.18,4.274580923189599,46.666666666666664,0.44,64.79121525090147,69.23076923076923,0.57
15,0.0,0.0,0.05,0.4087663913874611,1.1363636363636365,0.05,2.8398387225677895,7.142857142857143,0.21
4,1.2414943415352928,3.3333333333333335,0.02,0.0,0.0,0.0,0.0,0.0,0.0
4,0.43923912641022456,1.2195121951219512,0.01,0.43384866842485925,1.2048192771084338,0.01,2.0244462660665508,5.2631578947368425,0.03
2,23.462350320528007,36.36363636363637,0.32,2.716039444148303,4.819277108433735,0.07,,,
16,3.7477767366779213,9.090909090909092,0.24,3.3864985683445354,8.333333333333334,0.2,0.0,0.0,0.0
4,3.3864985683445354,8.333333333333334,0.04,0.4135480978530135,1.1494252873563218,0.01,3.3864985683445354,8.333333333333334,0.05
4,0.0,0.0,0.4,3.7477767366779213,9.090909090909092,0.06,3.7477767366779213,9.090909090909092,0.06
1,0.4562454050880755,1.2658227848101267,0.01,,,,,,
1,0.4184430101881885,1.1627906976744187,0.01,,,,,,
24,3.3864985683445354,8.333333333333334,0.15,2.1476912089159055,5.555555555555555,0.1,2.445593937240363,6.25,0.08
3,0.0,0.0,0.02,0.0,0.0,0.12,0.0,0.0,0.02
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.31,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,0.5087757562008263,1.408450704225352,0.01,,,,,,
1,25.7351268928148,48.07692307692308,0.44,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.05
3,0.5087757562008263,1.408450704225352,0.01,6.567274736060395,14.285714285714286,0.15,0.0,0.0,0.0
3,0.0,0.0,0.0,6.772997136689072,16.666666666666668,0.14,0.0,0.0,0.0
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
1,6.772997136689072,16.666666666666668,0.14,,,,,,
15,3.3864985683445354,8.333333333333334,0.07,2.627961710408444,6.666666666666667,0.04,15.97357760615681,25.0,0.14
1,4.767707020457095,11.11111111111111,0.1,,,,,,
35,0.0,0.0,0.11,4.767707020457095,11.11111111111111,0.35,0.0,0.0,0.06
3,0.969094302009921,2.6315789473684212,0.02,5.522397783539471,12.5,0.11,4.767707020457095,11.11111111111111,0.1
3,1.7044905731413862,4.651162790697675,0.03,1.032410209497828,2.857142857142857,0.02,0.0,0.0,0.0
1,0.0,0.0,0.0,,,,,,
1,21.3643503198117,40.0,0.33,,,,,,
15,4.767707020457095,11.11111111111111,0.1,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.1
1,2.445593937240363,6.25,0.04,,,,,,
35,1.1599713834969503,3.125,0.13,0.0,0.0,0.38,0.0,0.0,0.29
6,36.78794411714425,100.0,0.43,52.98765308495279,75.0,0.76,52.70837136273562,85.71428571428571,0.81
14,1.123099644603982,3.0303030303030303,0.03,0.0,0.0,0.0,2.0244462660665508,5.2631578947368425,0.05
1,40.016016019225006,46.666666666666664,0.65,,,,,,
14,8.116697886877475,16.666666666666668,0.73,6.567274736060395,14.285714285714286,0.7,6.567274736060395,14.285714285714286,0.7
6,100.00000000000004,100.0,0.91,61.47881529512643,71.42857142857143,0.77,75.98356856515926,83.33333333333333,0.83
14,8.116697886877475,16.666666666666668,0.25,3.7477767366779213,9.090909090909092,0.15,4.196114906296549,10.0,0.08
1,13.134549472120788,28.571428571428573,0.4,,,,,,
14,6.567274736060395,14.285714285714286,0.1,10.682175159905848,20.0,0.33,15.97357760615681,25.0,0.4
1,0.0,50.0,0.67,,,,,,
1,0.0,0.0,0.0,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.38,0.0,33.333333333333336,0.94
