Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.03
3,0.0,0.0,0.06,1.5732934811145336,4.166666666666667,0.21,1.4445809981770859,3.8461538461538463,0.2
3,13.988521776260258,52.38095238095238,0.52,2.8629993657668873,21.05263157894737,0.22,1.1724327758769912,8.333333333333334,0.09
15,4.767707020457095,11.11111111111111,0.24,0.0,0.0,0.05,0.0,50.0,0.8
4,8.116697886877475,16.666666666666668,0.09,1.5732934811145336,4.166666666666667,0.03,0.5162051047489141,1.4285714285714286,0.01
4,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.03
2,8.097785064266205,21.05263157894737,0.26,2.263103862483814,6.25,0.08,,,
16,0.0,33.333333333333336,0.57,0.0,33.333333333333336,0.5,3.3864985683445354,8.333333333333334,0.23
4,0.0,50.0,0.13,0.0,50.0,0.5,4.767707020457095,11.11111111111111,0.11
4,0.0,50.0,0.67,15.97357760615681,25.0,0.14,0.0,0.0,0.17
2,15.619699684601283,30.0,0.52,2.144958285037965,7.894736842105263,0.16,,,
16,0.0,0.0,0.31,2.445593937240363,6.25,0.05,0.0,66.66666666666667,0.75
1,0.0,0.0,0.0,,,,,,
4,5.522397783539471,12.5,0.12,0.0,0.0,0.08,8.116697886877475,16.666666666666668,0.18
1,6.567274736060395,14.285714285714286,0.09,,,,,,
1,0.0,100.0,1.0,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.02
3,0.0,0.0,0.07,0.0,0.0,0.22,0.0,0.0,0.1
3,4.990049701936832,20.0,0.2,4.456882760699063,18.181818181818183,0.12,0.7188461938966488,3.3333333333333335,0.02
15,1.8160849415439309,4.761904761904762,0.13,0.0,0.0,0.13,10.682175159905848,20.0,0.44
1,2.445593937240363,6.25,0.03,,,,,,
1,36.437534243432836,58.333333333333336,0.45,,,,,,
35,0.0,0.0,0.11,0.0,0.0,0.07,0.0,0.0,0.15
3,0.7144315612998046,1.9607843137254901,0.02,3.3864985683445354,8.333333333333334,0.07,0.5568633223045912,1.5384615384615385,0.01
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
6,10.682175159905848,20.0,0.43,0.0,0.0,0.14,0.0,0.0,0.0
1,0.4562454050880755,1.2658227848101267,0.01,,,,,,
1,1.4583397289082511,4.0,0.03,,,,,,
15,0.0,0.0,0.0,1.2414943415352928,3.3333333333333335,0.02,3.7477767366779213,9.090909090909092,0.08
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
35,0.8130350574508933,2.2222222222222223,0.06,0.7144315612998046,1.9607843137254901,0.05,0.0,0.0,0.15
3,0.4562454050880755,1.2658227848101267,0.01,0.0,33.333333333333336,0.15,0.918708060432945,2.5,0.02
2,0.4622106633998758,1.2820512820512822,0.01,0.7291698644541256,2.0,0.01,,,
1,6.772997136689072,16.666666666666668,0.1,,,,,,
15,0.8130350574508933,2.2222222222222223,0.02,5.522397783539471,12.5,0.06,0.4622106633998758,1.2820512820512822,0.01
1,0.7772751558853214,2.127659574468085,0.02,,,,,,
35,2.8398387225677895,7.142857142857143,0.26,2.8398387225677895,7.142857142857143,0.26,3.3864985683445354,8.333333333333334,0.11
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,0.8321783954793125,2.272727272727273,0.03,1.0559717178170818,2.857142857142857,0.06,0.4622106633998758,1.2820512820512822,0.06
1,4.196114906296549,10.0,0.08,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
35,4.317900023606588,9.375,0.23,11.498759556447217,23.076923076923077,0.54,10.571070857151538,21.428571428571427,0.45
6,88.01117367933934,90.0,0.9,26.98809072033866,31.03448275862069,0.35,44.28500142691474,60.0,0.65
14,1.3353534059549443,3.5714285714285716,0.03,2.0244462660665508,5.2631578947368425,0.06,4.767707020457095,11.11111111111111,0.12
1,0.542570281918038,2.5316455696202533,0.01,,,,,,
14,1.4445809981770859,3.8461538461538463,0.03,4.767707020457095,11.11111111111111,0.09,0.47462176237300036,1.3157894736842106,0.01
1,50.81327481546149,66.66666666666667,0.86,,,,,,
14,2.627961710408444,6.666666666666667,0.12,0.0,0.0,0.18,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,1.0885011049519644,2.9411764705882355,0.02,,,,,,
35,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.31
6,59.460355750136046,75.0,0.86,7.495553473355845,25.0,0.21,14.535768424205482,42.857142857142854,0.38
14,0.0,0.0,0.03,0.0,50.0,0.67,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
35,2.0244462660665508,5.2631578947368425,0.16,3.7477767366779213,9.090909090909092,0.25,5.522397783539471,12.5,0.5
