Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,1.727223799216787,4.545454545454546,0.09,2.445593937240363,6.25,0.09,2.8398387225677895,7.142857142857143,0.1
3,2.2869567780619007,5.882352941176471,0.27,2.1476912089159055,5.555555555555555,0.25,1.9146030690102511,5.0,0.23
3,7.692375026049747,47.05882352941177,0.4,8.839374326825924,53.333333333333336,0.41,14.980800232509305,68.75,0.63
15,0.0,0.0,0.18,0.0,0.0,0.11,3.0890553181566975,7.6923076923076925,0.21
4,2.627961710408444,6.666666666666667,0.04,0.7445292335166879,2.0408163265306123,0.01,2.0244462660665508,5.2631578947368425,0.04
4,0.0,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.05
2,0.0,100.0,0.86,1.2100794984298247,5.633802816901408,0.08,,,
16,2.8398387225677895,7.142857142857143,0.19,0.0,0.0,0.22,0.6488583831481832,1.7857142857142858,0.04
4,2.1476912089159055,5.555555555555555,0.03,0.0,50.0,0.5,3.7477767366779213,9.090909090909092,0.05
4,0.0,0.0,0.5,0.0,0.0,0.06,0.0,0.0,0.02
2,24.446151121745054,42.857142857142854,0.67,0.7716270058689811,3.5714285714285716,0.02,,,
16,4.295382417831811,11.11111111111111,0.23,0.0,0.0,0.27,3.0890553181566975,7.6923076923076925,0.1
1,0.0,0.0,0.0,,,,,,
4,0.5317343965184799,1.4705882352941178,0.01,0.0,50.0,0.67,2.1476912089159055,5.555555555555555,0.05
1,0.0,50.0,0.67,,,,,,
1,0.6371624499564389,1.7543859649122806,0.01,,,,,,
24,1.9146030690102511,5.0,0.11,1.727223799216787,4.545454545454546,0.09,2.2869567780619007,5.882352941176471,0.12
3,0.0,0.0,0.08,0.0,0.0,0.2,0.0,0.0,0.02
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.22,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,0.918708060432945,2.5,0.02,,,,,,
