Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.22,3.3864985683445354,8.333333333333334,0.12,2.445593937240363,6.25,0.08
3,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.03
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6
15,0.0,0.0,0.03,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,10.682175159905848,20.0,0.12,,,,,,
1,0.8323584314269813,31.25,0.24,,,,,,
35,0.0,0.0,0.1,0.0,33.333333333333336,0.5,0.0,0.0,0.17
3,0.5844855918911488,1.6129032258064515,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,33.333333333333336,0.29,,,,,,
15,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
1,14.535768424205482,42.857142857142854,0.12,,,,,,
3,10.682175159905848,20.0,0.18,0.0,0.0,0.0,10.682175159905848,20.0,0.18
1,0.0,66.66666666666667,0.67,,,,,,
15,0.5162051047489141,1.4285714285714286,0.01,10.682175159905848,20.0,0.22,4.767707020457095,11.11111111111111,0.11
1,1.9146030690102511,5.0,0.02,,,,,,
35,0.0,0.0,0.24,0.0,0.0,0.17,0.0,0.0,0.27
6,45.48019047027906,83.33333333333333,0.71,6.818346002331206,9.859154929577464,0.07,7.020425720945272,10.144927536231885,0.05
14,1.8160849415439309,4.761904761904762,0.06,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.08
1,4.295382417831811,11.11111111111111,0.08,,,,,,
14,0.0,33.333333333333336,0.4,1.0559717178170818,2.857142857142857,0.03,10.682175159905848,20.0,0.29
1,4.891187874480726,12.5,0.17,,,,,,
14,15.97357760615681,25.0,0.33,1.0885011049519644,2.9411764705882355,0.03,0.0,33.333333333333336,0.5
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
8,30.65023517915967,36.58536585365854,0.45,56.959884327614766,63.63636363636363,0.23,33.431318185104686,40.54054054054054,0.35
35,0.5238546714708301,1.4492753623188406,0.03,3.0890553181566975,7.6923076923076925,0.18,0.0,0.0,0.17
3,0.9964194812460634,2.7027027027027026,0.09,0.8954307276600084,2.4390243902439024,0.1,2.627961710408444,6.666666666666667,0.17
1,0.918708060432945,2.5,0.02,,,,,,
35,3.0890553181566975,7.6923076923076925,0.24,3.0890553181566975,7.6923076923076925,0.24,0.0,0.0,0.15
11,0.9964194812460634,2.7027027027027026,0.02,3.0890553181566975,7.6923076923076925,0.07,4.196114906296549,10.0,0.09
14,3.3864985683445354,8.333333333333334,0.05,2.2869567780619007,5.882352941176471,0.05,2.2869567780619007,5.882352941176471,0.05
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
35,1.0885011049519644,2.9411764705882355,0.03,3.3864985683445354,8.333333333333334,0.05,4.767707020457095,11.11111111111111,0.08
11,1.0253311603116817,2.7777777777777777,0.02,2.1476912089159055,5.555555555555555,0.05,1.0885011049519644,2.9411764705882355,0.03
14,1.0253311603116817,2.7777777777777777,0.03,0.7291698644541256,2.0,0.02,1.0253311603116817,2.7777777777777777,0.02
1,1.6466642419110007,4.3478260869565215,0.02,,,,,,
35,1.123099644603982,3.0303030303030303,0.03,1.506189323093867,4.0,0.02,10.682175159905848,20.0,0.12
11,0.0,50.0,0.29,1.123099644603982,3.0303030303030303,0.03,0.8522452865706931,2.3255813953488373,0.02
14,1.1599713834969503,3.125,0.11,1.199348129252962,3.225806451612903,0.11,2.2869567780619007,5.882352941176471,0.18
1,0.0,33.333333333333336,0.29,,,,,,
35,1.286713095960916,3.4482758620689653,0.03,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5732934811145336,4.166666666666667,0.04,,,,,,
1,2.627961710408444,6.666666666666667,0.03,,,,,,
35,0.9964194812460634,2.7027027027027026,0.14,0.0,0.0,0.2,0.0,0.0,0.27
6,22.407508680204355,35.294117647058826,0.41,19.359517339258716,26.923076923076923,0.26,23.14734800742452,31.818181818181817,0.41
14,0.0,0.0,0.0,1.5732934811145336,4.166666666666667,0.04,1.5732934811145336,4.166666666666667,0.04
1,2.1476912089159055,5.555555555555555,0.05,,,,,,
14,1.8160849415439309,4.761904761904762,0.06,6.567274736060395,14.285714285714286,0.18,3.3864985683445354,8.333333333333334,0.06
1,4.196114906296549,10.0,0.17,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.5,3.3864985683445354,8.333333333333334,0.13
1,2.8398387225677895,7.142857142857143,0.03,,,,,,
1,0.0,50.0,0.4,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.17,0.0,33.333333333333336,0.94
9,0.0,0.0,0.0,0.0,50.0,0.67,0.0,50.0,0.67
1,0.0,100.0,1.0,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
