Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.08,2.627961710408444,6.666666666666667,0.17,2.1476912089159055,5.555555555555555,0.14
2,9.652434877402245,33.333333333333336,0.24,4.990049701936832,20.0,0.19,,,
1,1.4260027070852648,56.52173913043478,0.18,,,,,,
15,0.0,0.0,0.02,1.387819277861591,3.7037037037037037,0.06,0.9432284668356838,2.5641025641025643,0.04
4,0.0,0.0,0.25,0.0,0.0,0.42,0.0,0.0,0.06
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
17,0.0,0.0,0.03,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.3
4,1.123099644603982,3.0303030303030303,0.02,8.116697886877475,16.666666666666668,0.11,1.387819277861591,3.7037037037037037,0.02
2,0.5235960936517932,4.123711340206185,0.05,2.4426633221059637,18.181818181818183,0.18,,,
1,0.0,50.0,0.67,,,,,,
17,3.7477767366779213,9.090909090909092,0.21,0.0,0.0,0.0,0.0,0.0,0.17
4,0.0,33.333333333333336,0.22,0.0,33.333333333333336,0.33,2.8398387225677895,7.142857142857143,0.04
2,0.0,0.0,0.17,0.0,0.0,0.17,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.08,0.0,0.0,0.0,0.9964194812460634,2.7027027027027026,0.08
1,2.9518250928744507,27.659574468085108,0.14,,,,,,
15,0.0,0.0,0.12,0.0,0.0,0.06,0.0,0.0,0.12
4,2.0244462660665508,5.2631578947368425,0.03,3.0890553181566975,7.6923076923076925,0.04,0.0,0.0,0.0
1,0.0,0.0,0.0,,,,,,
2,0.0,0.0,0.02,0.0,0.0,0.0,,,
1,4.196114906296549,10.0,0.07,,,,,,
17,8.116697886877475,16.666666666666668,0.33,0.0,0.0,0.0,1.2414943415352928,3.3333333333333335,0.07
4,0.0,0.0,0.0,10.682175159905848,20.0,0.12,7.495553473355842,18.181818181818183,0.34
1,0.0,66.66666666666667,0.67,,,,,,
2,0.0,50.0,0.67,0.0,0.0,0.0,,,
1,5.522397783539471,12.5,0.11,,,,,,
17,0.8321783954793125,2.272727272727273,0.04,0.0,0.0,0.0,0.0,50.0,0.4
4,4.196114906296549,10.0,0.06,10.682175159905848,20.0,0.1,10.682175159905848,20.0,0.1
1,0.0,66.66666666666667,0.67,,,,,,
2,8.116697886877475,16.666666666666668,0.12,0.0,0.0,0.0,,,
1,0.0,50.0,0.67,,,,,,
17,8.116697886877475,16.666666666666668,0.38,0.0,0.0,0.14,1.3353534059549443,3.5714285714285716,0.08
4,0.0,0.0,0.0,0.0,0.0,0.0,16.233395773754953,33.333333333333336,0.47
1,0.0,66.66666666666667,0.67,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,4.767707020457095,11.11111111111111,0.08,,,,,,
17,0.0,33.333333333333336,0.46,0.0,0.0,0.0,10.682175159905848,20.0,0.35
4,10.682175159905848,20.0,0.13,0.0,0.0,0.0,16.233395773754953,33.333333333333336,0.47
1,0.0,33.333333333333336,0.57,,,,,,
2,0.0,50.0,0.67,0.0,0.0,0.0,,,
1,5.522397783539471,12.5,0.12,,,,,,
17,0.0,0.0,0.0,0.0,33.333333333333336,0.22,0.0,0.0,0.0
4,0.0,0.0,0.53,0.0,0.0,0.47,0.0,0.0,0.03
1,15.97357760615681,25.0,0.17,,,,,,
17,0.0,0.0,0.17,0.0,0.0,0.0,1.5732934811145336,4.166666666666667,0.09
4,0.0,0.0,0.18,8.116697886877475,16.666666666666668,0.52,10.682175159905848,20.0,0.24
1,0.0,100.0,1.0,,,,,,
17,0.0,0.0,0.0,10.682175159905848,20.0,0.07,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,6.567274736060395,14.285714285714286,0.41,1.176877973200725,9.090909090909092,0.24,1.205256842736819,9.30232558139535,0.23
17,0.8522452865706931,2.3255813953488373,0.09,0.0,0.0,0.11,0.0,0.0,0.13
2,0.0,0.0,0.18,8.745825313180626,20.0,0.13,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,33.333333333333336,0.33,,,,,,
24,10.682175159905848,20.0,0.67,0.0,0.0,0.05,0.0,0.0,0.05
19,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1,0.0,0.0,0.22,,,,,,
3,15.97357760615681,25.0,0.33,4.767707020457095,11.11111111111111,0.19,4.02724819242185,16.666666666666668,0.08
3,0.0,0.0,0.0,4.02724819242185,16.666666666666668,0.12,0.0,0.0,0.0
6,0.0,0.0,0.5,0.0,0.0,0.07,0.0,0.0,0.12
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.33,,,,,,
24,0.0,0.0,0.07,1.286713095960916,3.4482758620689653,0.05,1.5732934811145336,4.166666666666667,0.06
3,15.97357760615681,25.0,0.36,0.0,0.0,0.18,5.522397783539471,12.5,0.06
3,7.267884212102741,37.5,0.4,4.065425428798724,23.076923076923077,0.29,4.9323515694897075,27.272727272727273,0.29
15,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.22
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,5.522397783539471,12.5,0.06,0.0,33.333333333333336,0.29,8.116697886877475,16.666666666666668,0.13
1,0.0,0.0,0.0,,,,,,
1,0.0,0.0,0.0,,,,,,
24,3.7477767366779213,9.090909090909092,0.17,1.4445809981770859,3.8461538461538463,0.05,1.0559717178170818,2.857142857142857,0.04
3,35.35533905932737,75.0,0.7,0.0,0.0,0.13,6.837203339116283,23.076923076923077,0.31
3,11.415938068117505,80.0,0.61,3.7477767366779213,9.090909090909092,0.14,6.892168295481103,50.0,0.39
15,0.0,0.0,0.5,2.445593937240363,6.25,0.1,4.196114906296549,10.0,0.19
4,0.0,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.0
2,0.0,0.0,0.09,7.809849842300637,28.571428571428573,0.12,,,
16,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17
1,0.0,0.0,0.17,,,,,,
4,0.0,33.333333333333336,0.22,0.0,33.333333333333336,0.22,0.0,0.0,0.0
4,0.0,0.0,0.38,3.3864985683445354,8.333333333333334,0.12,8.116697886877475,16.666666666666668,0.25
1,0.0,50.0,0.67,,,,,,
1,2.0244462660665508,5.2631578947368425,0.04,,,,,,
24,1.3353534059549443,3.5714285714285716,0.07,0.7772751558853214,2.127659574468085,0.04,3.7477767366779213,9.090909090909092,0.12
3,6.567274736060395,14.285714285714286,0.17,11.044795567078939,25.0,0.26,0.0,0.0,0.1
3,36.72056269893591,54.54545454545455,0.58,36.72056269893591,54.54545454545455,0.58,11.339582221952005,44.44444444444444,0.31
15,0.0,0.0,0.29,0.0,0.0,0.21,0.0,0.0,0.22
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,8.116697886877475,16.666666666666668,0.08,15.97357760615681,25.0,0.25,10.682175159905848,20.0,0.22
4,0.0,66.66666666666667,0.57,39.76353643835252,60.0,0.86,30.213753973567677,50.0,0.8
1,0.0,50.0,0.67,,,,,,
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.01,,,,,,
3,0.0,0.0,0.0,0.0,33.333333333333336,0.11,0.0,0.0,0.0
2,0.0,100.0,1.0,4.5739135561238005,11.764705882352942,0.17,,,
3,24.384183193426086,58.333333333333336,0.42,0.0,0.0,0.0,2.5540496664715904,11.11111111111111,0.21
15,0.0,0.0,0.22,0.0,0.0,0.0,5.522397783539471,12.5,0.22
4,8.116697886877475,16.666666666666668,0.06,0.0,33.333333333333336,0.29,0.9432284668356838,2.5641025641025643,0.01
4,0.0,0.0,0.62,10.682175159905848,20.0,0.53,0.0,0.0,0.24
2,16.451929399933107,26.666666666666668,0.36,12.703318703865365,40.0,0.45,,,
16,15.97357760615681,25.0,0.4,0.0,0.0,0.22,2.8398387225677895,7.142857142857143,0.19
4,10.682175159905848,20.0,0.22,0.39952724108597504,1.1111111111111112,0.01,0.0,33.333333333333336,0.29
4,0.0,33.333333333333336,0.8,0.0,33.333333333333336,0.8,0.0,33.333333333333336,0.8
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.4,,,,,,
24,0.0,0.0,0.2,0.0,0.0,0.03,1.199348129252962,3.225806451612903,0.05
3,3.6321698830878617,9.523809523809524,0.16,0.0,0.0,0.24,0.9008643494904373,2.5,0.05
3,6.27465531099474,33.333333333333336,0.09,46.713797772819994,66.66666666666667,0.72,2.8265205879007453,16.666666666666668,0.11
15,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.22
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,8.116697886877475,16.666666666666668,0.08,15.97357760615681,25.0,0.25,5.522397783539471,12.5,0.11
4,59.460355750136046,75.0,0.92,39.76353643835252,60.0,0.86,39.76353643835252,60.0,0.86
1,0.0,50.0,0.67,,,,,,
1,4.196114906296549,10.0,0.06,,,,,,
24,0.0,0.0,0.07,1.0559717178170818,2.857142857142857,0.04,0.0,0.0,0.02
3,15.97357760615681,25.0,0.21,13.134549472120788,28.571428571428573,0.3,1.8160849415439309,4.761904761904762,0.09
3,32.523403430389784,61.53846153846154,0.75,0.0,0.0,0.25,17.026024721767097,47.05882352941177,0.45
15,0.0,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.13
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,2.627961710408444,6.666666666666667,0.03,2.1476912089159055,5.555555555555555,0.04,3.7477767366779213,9.090909090909092,0.06
4,59.460355750136046,75.0,0.92,13.950796967929138,27.272727272727273,0.31,12.605968092174914,25.0,0.3
