Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
19,0.0,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.0
3,0.0,0.0,0.27,0.0,0.0,0.11,3.7477767366779213,9.090909090909092,0.13
3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
6,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
1,10.682175159905848,20.0,0.25,,,,,,
1,15.97357760615681,25.0,0.22,,,,,,
24,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.1
19,0.0,0.0,0.14,4.196114906296549,10.0,0.21,0.0,0.0,0.0
3,3.7477767366779213,9.090909090909092,0.06,3.0890553181566975,7.6923076923076925,0.04,5.522397783539471,12.5,0.08
2,2.627961710408444,6.666666666666667,0.14,4.767707020457095,11.11111111111111,0.16,,,
1,10.682175159905848,20.0,0.12,,,,,,
15,0.0,100.0,1.0,24.446151121745054,42.857142857142854,0.82,20.556680845025987,37.5,0.78
1,10.682175159905848,20.0,0.15,,,,,,
24,2.627961710408444,6.666666666666667,0.16,0.0,0.0,0.03,1.387819277861591,3.7037037037037037,0.07
3,0.0,0.0,0.0,15.97357760615681,25.0,0.08,3.7477767366779213,9.090909090909092,0.05
2,0.8954307276600084,2.4390243902439024,0.06,0.7445292335166879,2.0408163265306123,0.05,,,
3,15.619699684601283,57.142857142857146,0.52,1.1498052049318417,8.88888888888889,0.09,0.0,66.66666666666667,0.25
15,0.0,0.0,0.27,0.8733042428534794,2.380952380952381,0.02,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,0.8321783954793125,2.272727272727273,0.05,0.0,100.0,1.0,0.0,0.0,0.11
1,0.8522452865706931,2.3255813953488373,0.01,,,,,,
1,0.9432284668356838,2.5641025641025643,0.01,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.24,0.0,0.0,0.06,0.0,0.0,0.18
3,14.058533129758727,60.0,0.42,4.492398578415928,12.121212121212121,0.16,0.0,66.66666666666667,0.22
15,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,33.333333333333336,0.25,0.0,50.0,0.4,0.0,33.333333333333336,0.29
4,0.0,50.0,0.86,0.0,33.333333333333336,0.75,0.0,33.333333333333336,0.75
1,0.0,50.0,0.67,,,,,,
1,15.97357760615681,25.0,0.12,,,,,,
24,6.567274736060395,14.285714285714286,0.13,1.8160849415439309,4.761904761904762,0.02,2.445593937240363,6.25,0.08
1,0.0,0.0,0.0,,,,,,
3,1.8160849415439309,4.761904761904762,0.17,0.7605497822189857,2.0833333333333335,0.04,3.7477767366779213,9.090909090909092,0.1
3,10.480021700672248,66.66666666666667,0.51,10.583814787289993,33.333333333333336,0.42,10.390302174233558,61.53846153846154,0.5
15,0.0,0.0,0.22,0.0,0.0,0.0,2.445593937240363,6.25,0.18
4,0.0,33.333333333333336,0.53,15.97357760615681,25.0,0.5,0.0,0.0,0.11
3,16.233395773754953,33.333333333333336,0.27,9.652434877402245,33.333333333333336,0.27,4.5739135561238005,11.764705882352942,0.09
1,3.3864985683445354,8.333333333333334,0.07,,,,,,
2,10.552670315936318,33.333333333333336,0.6,1.2437041056909581,6.8493150684931505,0.17,,,
16,31.947155212313625,50.0,0.6,0.0,0.0,0.27,0.0,66.66666666666667,0.75
1,0.0,0.0,0.0,,,,,,
4,4.02724819242185,16.666666666666668,0.24,11.369306152454815,19.047619047619047,0.38,5.061867434834413,17.647058823529413,0.26
1,1.0559717178170818,2.857142857142857,0.02,,,,,,
1,1.3353534059549443,3.5714285714285716,0.02,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.0,0.9044512123285878,4.166666666666667,0.03,0.6138747833681335,2.857142857142857,0.02
3,0.0,66.66666666666667,0.25,5.780839041831639,11.904761904761905,0.12,8.382475612465994,12.195121951219512,0.13
15,15.97357760615681,25.0,0.42,3.3864985683445354,8.333333333333334,0.26,3.3864985683445354,8.333333333333334,0.26
4,3.3864985683445354,8.333333333333334,0.04,3.7477767366779213,9.090909090909092,0.07,5.522397783539471,12.5,0.09
4,0.0,50.0,0.86,0.0,0.0,0.15,0.0,0.0,0.0
1,0.0,33.333333333333336,0.33,,,,,,
1,0.6488583831481832,1.7857142857142858,0.01,,,,,,
24,0.0,0.0,0.08,1.0253311603116817,2.7777777777777777,0.04,0.0,0.0,0.01
3,8.29519350710986,27.272727272727273,0.36,0.0,0.0,0.22,4.456882760699063,18.181818181818183,0.18
3,11.708995388048026,66.66666666666667,0.48,6.413885305524152,37.5,0.21,11.114924776032012,33.333333333333336,0.25
15,0.0,0.0,0.44,0.4562454050880755,1.2658227848101267,0.02,0.0,0.0,0.18
4,0.0,0.0,0.02,2.1476912089159055,5.555555555555555,0.16,0.0,0.0,0.22
2,68.037493331712,75.0,0.71,36.72056269893591,54.54545454545455,0.75,,,
16,10.682175159905848,20.0,0.5,0.0,0.0,0.14,3.7477767366779213,9.090909090909092,0.28
4,1.9146030690102511,5.0,0.03,6.567274736060395,14.285714285714286,0.18,10.682175159905848,20.0,0.22
4,15.97357760615681,25.0,0.73,0.0,0.0,0.04,6.567274736060395,14.285714285714286,0.44
