Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.11,0.0,0.0,0.21,0.0,0.0,0.07
3,0.0,33.333333333333336,0.33,11.622111816655842,16.666666666666668,0.31,1.6934096677198087,10.344827586206897,0.2
3,9.652434877402245,33.333333333333336,0.62,1.6504045595709425,7.407407407407407,0.16,2.719665272174911,11.764705882352942,0.31
15,0.0,0.0,0.5,15.97357760615681,25.0,0.23,0.0,0.0,0.04
4,1.6466642419110007,4.3478260869565215,0.16,0.0,0.0,0.44,4.196114906296549,10.0,0.3
1,0.0,50.0,0.67,,,,,,
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
24,3.3864985683445354,8.333333333333334,0.12,0.0,0.0,0.05,3.3864985683445354,8.333333333333334,0.12
3,0.0,0.0,0.09,0.0,0.0,0.23,0.0,0.0,0.02
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,0.0,100.0,0.86
15,0.0,0.0,0.21,10.682175159905848,20.0,0.44,10.682175159905848,20.0,0.44
1,0.7772751558853214,2.127659574468085,0.01,,,,,,
1,26.09488171621423,54.83870967741935,0.06,,,,,,
35,0.5657759656209534,1.5625,0.04,0.0,33.333333333333336,0.53,0.0,0.0,0.06
3,8.116697886877475,16.666666666666668,0.47,0.0,0.0,0.13,0.6609918289641935,1.8181818181818181,0.07
1,0.0,0.0,0.21,,,,,,
3,0.0,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.38
1,3.3864985683445354,8.333333333333334,0.04,,,,,,
35,0.4877178495671594,1.3513513513513513,0.02,0.0,0.0,0.2,0.0,0.0,0.05
3,0.0,0.0,0.12,0.0,0.0,0.03,3.0890553181566975,7.6923076923076925,0.23
1,6.178110636313396,15.384615384615385,0.27,,,,,,
3,0.6258807799153787,1.7241379310344827,0.05,0.6044751875664687,1.6666666666666667,0.05,0.5482271666382152,1.5151515151515151,0.04
1,0.0,0.0,0.04,,,,,,
3,0.6371624499564389,1.7543859649122806,0.04,0.0,0.0,0.29,0.6044751875664687,1.6666666666666667,0.04
1,0.5844855918911488,1.6129032258064515,0.01,,,,,,
35,0.6371624499564389,1.7543859649122806,0.04,3.3864985683445354,8.333333333333334,0.26,0.0,0.0,0.12
11,3.7477767366779213,9.090909090909092,0.07,10.682175159905848,20.0,0.17,15.97357760615681,25.0,0.33
14,15.97357760615681,25.0,0.18,0.0,0.0,0.01,0.0,0.0,0.0
1,3.7477767366779213,9.090909090909092,0.04,,,,,,
35,0.6735878102046051,1.8518518518518519,0.05,0.5482271666382152,1.5151515151515151,0.05,0.0,0.0,0.1
11,0.6488583831481832,1.7857142857142858,0.01,10.682175159905848,20.0,0.14,10.682175159905848,20.0,0.13
14,0.0,0.0,0.67,0.0,0.0,0.27,0.0,0.0,0.57
1,10.682175159905848,20.0,0.12,,,,,,
35,0.6149917424924614,1.694915254237288,0.04,15.97357760615681,25.0,0.57,0.0,0.0,0.05
11,0.0,33.333333333333336,0.33,15.97357760615681,25.0,0.29,15.97357760615681,25.0,0.29
14,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09
1,15.97357760615681,25.0,0.18,,,,,,
35,0.7291698644541256,2.0,0.08,0.0,0.0,0.09,0.0,0.0,0.27
6,3.482270899863668,12.5,0.07,1.7078913122953907,5.357142857142857,0.04,9.652434877402245,33.333333333333336,0.2
14,4.196114906296549,10.0,0.06,0.0,0.0,0.0,0.7772751558853214,2.127659574468085,0.01
1,15.97357760615681,25.0,0.4,,,,,,
1,2.8398387225677895,7.142857142857143,0.06,,,,,,
35,0.5943123208853887,1.639344262295082,0.07,0.0,0.0,0.21,0.0,0.0,0.27
6,2.1476912089159055,5.555555555555555,0.06,1.61391821076343,6.0,0.04,1.5499686563608683,5.769230769230769,0.04
14,1.727223799216787,4.545454545454546,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1,15.97357760615681,25.0,0.4,,,,,,
1,4.767707020457095,11.11111111111111,0.06,,,,,,
35,0.6488583831481832,1.7857142857142858,0.08,0.0,0.0,0.29,3.7477767366779213,9.090909090909092,0.4
11,0.7445292335166879,2.0408163265306123,0.01,10.682175159905848,20.0,0.12,0.6866732953963862,1.8867924528301887,0.01
14,15.97357760615681,25.0,0.48,3.7477767366779213,9.090909090909092,0.26,0.0,0.0,0.25
1,0.7605497822189857,2.0833333333333335,0.01,,,,,,
8,51.432138496248385,63.04347826086956,0.66,49.14611336973534,60.869565217391305,0.65,32.90569316133953,49.152542372881356,0.48
1,42.52397912411345,63.04347826086956,0.61,,,,,,
9,15.97357760615681,25.0,0.61,8.116697886877475,16.666666666666668,0.56,2.445593937240363,6.25,0.31
4,0.8321783954793125,2.272727272727273,0.01,0.0,66.66666666666667,0.36,13.134549472120788,28.571428571428573,0.15
